question	answer	opus	prompt
Dana a ka matha ka reiti ya lebelo ha nne ka potlako ho feta ha a tsamaya, empa a ka tlola ka reiti ya lebelo leo e leng halofo ka potlako ho feta ha a matha. Haeba a ka tlola ka dimaele tse 3 ka hora, ke dimaele tse kae tseo a ka di tsamayang ka dihora tse tsheletseng haeba a qeta nngwe-borarong ba nako eo a e mathang, le bobedi-borarong ba nako ya ho tsamaya?	18	[TextBlock(text='18', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nDana a ka matha ka reiti ya lebelo ha nne ka potlako ho feta ha a tsamaya, empa a ka tlola ka reiti ya lebelo leo e leng halofo ka potlako ho feta ha a matha. Haeba a ka tlola ka dimaele tse 3 ka hora, ke dimaele tse kae tseo a ka di tsamayang ka dihora tse tsheletseng haeba a qeta nngwe-borarong ba nako eo a e mathang, le bobedi-borarong ba nako ya ho tsamaya?\n'}]}]
iPhone ya Brendan ke ya kgale ha nne ho ya Ben. iPhone ya Ben ke ya kgale habedi ho ya Suzy. Haeba iPhone ya Suzy e le ya kgale ka selemo se le seng, iPhone ya Brendan e dilemo di kae?	8	[TextBlock(text='4', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \niPhone ya Brendan ke ya kgale ha nne ho ya Ben. iPhone ya Ben ke ya kgale habedi ho ya Suzy. Haeba iPhone ya Suzy e le ya kgale ka selemo se le seng, iPhone ya Brendan e dilemo di kae?\n'}]}]
Terakone e kgolo, Perg, e ne e dutse kahodima thaba Farbo, e tshwela mollo hodima ntho e nngwe le e nngwe ka bohole ba maoto a 1000. Polly a ka akgela javelini ya kgauta, sebetsa sona fela se tsejwang se ka sehang terakone, ka bohole ba maoto a 400, ho ka fihlela malakabe a terakone hantle. Empa ha Polly a ne a tshwere majwe a sapphire, o ne a ka lahlela javelini hararo holenyana ho feta ha a tshwere majwe. Haeba a tshwere majwe, ke bohole bo bokae moo Polly a ka emang ho fihlela malakabe a terakone mme a nne a kgone ho otla terakone ka javelini ya kgauta?	200	[TextBlock(text='1600', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nTerakone e kgolo, Perg, e ne e dutse kahodima thaba Farbo, e tshwela mollo hodima ntho e nngwe le e nngwe ka bohole ba maoto a 1000. Polly a ka akgela javelini ya kgauta, sebetsa sona fela se tsejwang se ka sehang terakone, ka bohole ba maoto a 400, ho ka fihlela malakabe a terakone hantle. Empa ha Polly a ne a tshwere majwe a sapphire, o ne a ka lahlela javelini hararo holenyana ho feta ha a tshwere majwe. Haeba a tshwere majwe, ke bohole bo bokae moo Polly a ka emang ho fihlela malakabe a terakone mme a nne a kgone ho otla terakone ka javelini ya kgauta?\n'}]}]
Nkgono Jones o bakile di-pie tse 5 tsa apole bakeng sa dijo tsa motsheare tsa setimamollo. O seha pie e nngwe le e nngwe dikotwana tse 8 mme a beha di-pie tse hlano tafoleng hore bamemuwa ba itsholele. Qetellong ya bosiu, kamora hoba bamemuwa ba nke le ho ja dikotwana tsa pie, ho ne ho na le dikotwana tse 14 tsa pie tse setseng. Ke dikotwana tse kae tse nkuweng ke bamemuwa?	26	[TextBlock(text='26', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nNkgono Jones o bakile di-pie tse 5 tsa apole bakeng sa dijo tsa motsheare tsa setimamollo. O seha pie e nngwe le e nngwe dikotwana tse 8 mme a beha di-pie tse hlano tafoleng hore bamemuwa ba itsholele. Qetellong ya bosiu, kamora hoba bamemuwa ba nke le ho ja dikotwana tsa pie, ho ne ho na le dikotwana tse 14 tsa pie tse setseng. Ke dikotwana tse kae tse nkuweng ke bamemuwa?\n'}]}]
Ho ya ka lesedi la phepo, mokotlana wa ditjhipisi o na le di-calories tse 250 mokotlana o le mong. Haeba mokotlana wa 300g o na le diphepo tse 5, o ka ja dikgeramo tse kae haeba calorie ya hao ya letsatsi e le 2000 mme o se o jele di-calori tse 1800? 	48	[TextBlock(text='80', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nHo ya ka lesedi la phepo, mokotlana wa ditjhipisi o na le di-calories tse 250 mokotlana o le mong. Haeba mokotlana wa 300g o na le diphepo tse 5, o ka ja dikgeramo tse kae haeba calorie ya hao ya letsatsi e le 2000 mme o se o jele di-calori tse 1800? \n'}]}]
Charlie o batla ho rekisa dikerese tsa beeswax. Bakeng sa khilokeramo e le nngwe ya beeswax, a ka etsa dikerese tse 10. Khilokeramo e le nngwe ya beeswax e bitsa R10.00. Haeba a rekisa kerese e le nngwe ka R2.00, phaello ya hae ke bokae ha a etsa le ho rekisa dikerese tse 20?	20	[TextBlock(text='20', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nCharlie o batla ho rekisa dikerese tsa beeswax. Bakeng sa khilokeramo e le nngwe ya beeswax, a ka etsa dikerese tse 10. Khilokeramo e le nngwe ya beeswax e bitsa R10.00. Haeba a rekisa kerese e le nngwe ka R2.00, phaello ya hae ke bokae ha a etsa le ho rekisa dikerese tse 20?\n'}]}]
Meredith ke mongodi a ikemetseng a ngolang ka dihlooho tsa bophelo ebe o di romela ho bareki letsatsi le letsatsi jwalo ka mosebetsi wa hae wa ka nako tsohle. Atikele ya mongodi e nka karolelano ya dihora tse 4 ho e fuputsa le ho  ngola ka yona. Beke e fetileng, o ngotse diatikele tse  5 ka Mantaha le makgetlo a 2/5 a diatikele tse eketsehileng ka Labobedi ho feta Mantaha. Ka Laboraro, o ngotswe palo e eketsehileng habedi ya diatikele tseo a di ngotseng ka Labobedi. Bala palo kaofela ya dihora tseo a di sebedisitseng a ngola diatikele matsatsing a mararo a fetileng.  	104	[TextBlock(text='76', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nMeredith ke mongodi a ikemetseng a ngolang ka dihlooho tsa bophelo ebe o di romela ho bareki letsatsi le letsatsi jwalo ka mosebetsi wa hae wa ka nako tsohle. Atikele ya mongodi e nka karolelano ya dihora tse 4 ho e fuputsa le ho  ngola ka yona. Beke e fetileng, o ngotse diatikele tse  5 ka Mantaha le makgetlo a 2/5 a diatikele tse eketsehileng ka Labobedi ho feta Mantaha. Ka Laboraro, o ngotswe palo e eketsehileng habedi ya diatikele tseo a di ngotseng ka Labobedi. Bala palo kaofela ya dihora tseo a di sebedisitseng a ngola diatikele matsatsing a mararo a fetileng.  \n'}]}]
Candice o kentse dinoutsu tse kgomaretswang mokotlaneng wa hae wa tjhelete pele a ya mosebetsing wa hae lebenkeleng la kofi. Tseleng, o ile a ema lebenkeleng mme a reka pakana ya dinoutsu tse kgomaretswang. Mosebetsing, a beha noutu e le nngwe e kgomaretswang dikoping tse ding le tse ding tse 220 tse fapaneng tsa kofi. Haeba a ne a na le dinoutsu tse kgomaretswang tse 23 tse setseng, ke dinoutsu tse kae tse kgomaretswang tse neng di le pakaneng eo a e rekileng?	163	[TextBlock(text='27', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nCandice o kentse dinoutsu tse kgomaretswang mokotlaneng wa hae wa tjhelete pele a ya mosebetsing wa hae lebenkeleng la kofi. Tseleng, o ile a ema lebenkeleng mme a reka pakana ya dinoutsu tse kgomaretswang. Mosebetsing, a beha noutu e le nngwe e kgomaretswang dikoping tse ding le tse ding tse 220 tse fapaneng tsa kofi. Haeba a ne a na le dinoutsu tse kgomaretswang tse 23 tse setseng, ke dinoutsu tse kae tse kgomaretswang tse neng di le pakaneng eo a e rekileng?\n'}]}]
John o reka ditae tse kgubedu tse eketsehileng habedi ho palo ya ditae tse bolou. Ditae tse kgubedu di bitsa 50% kahodimo ho ditae tse bolou. O ntsha R200 ho ditae tse bolou tse bitsang R40 tae ka nngwe. O sebedisitse bokae ho reka ditae?	800	[TextBlock(text='480', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nJohn o reka ditae tse kgubedu tse eketsehileng habedi ho palo ya ditae tse bolou. Ditae tse kgubedu di bitsa 50% kahodimo ho ditae tse bolou. O ntsha R200 ho ditae tse bolou tse bitsang R40 tae ka nngwe. O sebedisitse bokae ho reka ditae?\n'}]}]
Tracy o sebedisitse sekotwana sa terata bolelele ba maoto a 4 ho tshehetsa dijalo tsa tamati tshimong. Terata e ile ya kgaolwa dikotwana tse bolelele ba disenthimitara tse 6. O fumane dikotwana tse kae? 	8	[TextBlock(text='20', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nTracy o sebedisitse sekotwana sa terata bolelele ba maoto a 4 ho tshehetsa dijalo tsa tamati tshimong. Terata e ile ya kgaolwa dikotwana tse bolelele ba disenthimitara tse 6. O fumane dikotwana tse kae? \n'}]}]
Richard o dula moahong wa dintlo tse nang le difuluru tse 15. Fuluru e nngwe le e nngwe e na le diyuniti tse 8, mme 3/4 ya moaho e na le badudi. Ke palo e kae ya diyuniti tse se nang badudi moahong?	30	[TextBlock(text='30', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nRichard o dula moahong wa dintlo tse nang le difuluru tse 15. Fuluru e nngwe le e nngwe e na le diyuniti tse 8, mme 3/4 ya moaho e na le badudi. Ke palo e kae ya diyuniti tse se nang badudi moahong?\n'}]}]
Lloyd o na le polasi ya mahe. Dikgoho tsa hae di behela mahe a 252 ka letsatsi mme o a rekisa ka R2 tosene e le nngwe. Lloyd o etsa bokae ka mahe ka beke? 	294	[TextBlock(text='3528', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nLloyd o na le polasi ya mahe. Dikgoho tsa hae di behela mahe a 252 ka letsatsi mme o a rekisa ka R2 tosene e le nngwe. Lloyd o etsa bokae ka mahe ka beke? \n'}]}]
Sekepe sa Tom se ka tsamaya ka dimaele tse 10 ka hora. O sesa ho tloha ka 1 ho fihla ka 4PM. Ebe o kgutlela morao ka reiti ya 6 mph. Ho nka nako e kae ho kgutlela morao? 	5	[TextBlock(text='2', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nSekepe sa Tom se ka tsamaya ka dimaele tse 10 ka hora. O sesa ho tloha ka 1 ho fihla ka 4PM. Ebe o kgutlela morao ka reiti ya 6 mph. Ho nka nako e kae ho kgutlela morao? \n'}]}]
Mokotlana wa Uriah wa dibuka o ba bima ho yena. O hloka ho ntsha dikhilokeremo tse 15 ho ona. Dibuka tsa hae tsa metlae di bekga 1/4 pound e le nngwe mme dibapadiswa tsa hae di bekga khilokeramo e 1/2 ya sebapadiswa ka seng. Haeba a ntsha dibuka tse 30 tsa metlae, o hloka ho ntsha dibapadiswa tse kae? 	15	[TextBlock(text='20', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nMokotlana wa Uriah wa dibuka o ba bima ho yena. O hloka ho ntsha dikhilokeremo tse 15 ho ona. Dibuka tsa hae tsa metlae di bekga 1/4 pound e le nngwe mme dibapadiswa tsa hae di bekga khilokeramo e 1/2 ya sebapadiswa ka seng. Haeba a ntsha dibuka tse 30 tsa metlae, o hloka ho ntsha dibapadiswa tse kae? \n'}]}]
Molokisi o bitsa ditheko tse fapaneng ho lokisa dithaere tsa dilori le dikoloi. Bakeng sa thaere ya lori ka nngwe e lokiswang, molokisi o tla bitsa R60 mme bakeng sa thaere e nngwe le e nngwe ya thaere ya koloi e lokisitsweng, molokisi o tla bitsa R40. Ka Labone, molokisi o lokisa dithaere tse 6 tsa dilori le tse 4 tsa dikoloi. Ka Labohlano, molokisi o lokisa dithaere tse 12 tsa koloi mme ha a ka a lokisa dithaere tsa lori. Ke phaello e kae e eketsehileng eo molokisi a e fumaneng ka phaello e hodimo? 	40	[TextBlock(text='360', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nMolokisi o bitsa ditheko tse fapaneng ho lokisa dithaere tsa dilori le dikoloi. Bakeng sa thaere ya lori ka nngwe e lokiswang, molokisi o tla bitsa R60 mme bakeng sa thaere e nngwe le e nngwe ya thaere ya koloi e lokisitsweng, molokisi o tla bitsa R40. Ka Labone, molokisi o lokisa dithaere tse 6 tsa dilori le tse 4 tsa dikoloi. Ka Labohlano, molokisi o lokisa dithaere tse 12 tsa koloi mme ha a ka a lokisa dithaere tsa lori. Ke phaello e kae e eketsehileng eo molokisi a e fumaneng ka phaello e hodimo? \n'}]}]
boAusi ba Doubtfire ba kgannela hae ka madinyane a katse a 7 a amohetsweng ho tswa bodulong ba diphoofolo ha Mme wa bona a tla ba letsetsa ho ba tsebisa hore dikatse tsa bona tse pedi di qeta ho ba le madinyane. O re Patchy, katse ya pele, e bile le palo e menahaneng hararo ho madinyane a amohetsweng, ha Trixie, katse e nngwe, e bile le 12. Lelapa la Doubtfire le se le na le madinyane a makae?	40	[TextBlock(text='19', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nboAusi ba Doubtfire ba kgannela hae ka madinyane a katse a 7 a amohetsweng ho tswa bodulong ba diphoofolo ha Mme wa bona a tla ba letsetsa ho ba tsebisa hore dikatse tsa bona tse pedi di qeta ho ba le madinyane. O re Patchy, katse ya pele, e bile le palo e menahaneng hararo ho madinyane a amohetsweng, ha Trixie, katse e nngwe, e bile le 12. Lelapa la Doubtfire le se le na le madinyane a makae?\n'}]}]
Jean o na le di-lollipop tse 30. Jean o ja di-lollipop tse 2. Ka di-lollipop tse setseng, Jean o batla ho paka di-lollipop tse 2 ka mokotlaneng o le mong. Jean a ka tlatsa mekotlana e mekae?	14	[TextBlock(text='14', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nJean o na le di-lollipop tse 30. Jean o ja di-lollipop tse 2. Ka di-lollipop tse setseng, Jean o batla ho paka di-lollipop tse 2 ka mokotlaneng o le mong. Jean a ka tlatsa mekotlana e mekae?\n'}]}]
Peter o rera ho ya difiliming bekeng ena. O dula a fumana tekete ka R7 le diqhuqhume ka R7. Haeba a na le diranta tse 42 ka beke, a ka ya makgetlo a makae difiliming?	3	[TextBlock(text='3', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nPeter o rera ho ya difiliming bekeng ena. O dula a fumana tekete ka R7 le diqhuqhume ka R7. Haeba a na le diranta tse 42 ka beke, a ka ya makgetlo a makae difiliming?\n'}]}]
Borokgo ba mapolanka bo ka rwala ho sa feteng dikhilokgeramo tse 5000. Lori e tsamaisang thepa e tletseng mabokose a tshwanang, le leng le le leng le bekga dikhilokgeramo tse 15, e tlo feta borokgong. Boima bo kopaneng ba mokganni le lori e sa rwalang ke dikhilokgeramo tse 3755. Ke palo e kae ya mabokose a ka palamiswang hodima lori a sa fete tekanyo ya boima ba borokgo?	83	[TextBlock(text='83', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nBorokgo ba mapolanka bo ka rwala ho sa feteng dikhilokgeramo tse 5000. Lori e tsamaisang thepa e tletseng mabokose a tshwanang, le leng le le leng le bekga dikhilokgeramo tse 15, e tlo feta borokgong. Boima bo kopaneng ba mokganni le lori e sa rwalang ke dikhilokgeramo tse 3755. Ke palo e kae ya mabokose a ka palamiswang hodima lori a sa fete tekanyo ya boima ba borokgo?\n'}]}]
Stephen o entse peeletso ya dijo ka marangrang. Sekoloto sa hae sa ho qetela e bile R40.00. Hobane sena e ne e le ka motho a tsamaisang, ba kentse 25% ya tjhelete ho tjhelete kaofela mme a bitswa R3.000 ya tjhelete ya ho tsamaisa. Stephen o boetse a kenya thipi ya R4.00. Kamora tjhelete e eketsehileng, theko ya dijo tsa Stephen e bile bokae? 	57	[TextBlock(text='53', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nStephen o entse peeletso ya dijo ka marangrang. Sekoloto sa hae sa ho qetela e bile R40.00. Hobane sena e ne e le ka motho a tsamaisang, ba kentse 25% ya tjhelete ho tjhelete kaofela mme a bitswa R3.000 ya tjhelete ya ho tsamaisa. Stephen o boetse a kenya thipi ya R4.00. Kamora tjhelete e eketsehileng, theko ya dijo tsa Stephen e bile bokae? \n'}]}]
Moru wa raspberry o na le dihlopha tse 6 tsa ditholwana tse 20 sehlopha ka seng le tholwana e le nngwe tse 67 tse ikadileng ho parola moru. Ke di-raspberry tse kae kaofela moo? 	187	[TextBlock(text='187', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nMoru wa raspberry o na le dihlopha tse 6 tsa ditholwana tse 20 sehlopha ka seng le tholwana e le nngwe tse 67 tse ikadileng ho parola moru. Ke di-raspberry tse kae kaofela moo? \n'}]}]
Basekete e tshwere dilamunu tse 25 e le nngwe e senyehile, 20% ya tsona ha di a butswa, tse 2 di bodila mme tse ding kaofela di lokile. Ke dilamunu tse kae tse lokileng?	17	[TextBlock(text='17', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nBasekete e tshwere dilamunu tse 25 e le nngwe e senyehile, 20% ya tsona ha di a butswa, tse 2 di bodila mme tse ding kaofela di lokile. Ke dilamunu tse kae tse lokileng?\n'}]}]
Janet o rekela moradi wa hae boroutjhu. O patala R500 bakeng sa sebediswa sa ho e etsa le R800 e nngwe hore motho wa mabenyane a e ahe. Kamora moo, o patala 10% ya seo hore e kene inshorenseng. O lefile bokae?	1430	[TextBlock(text='1430', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nJanet o rekela moradi wa hae boroutjhu. O patala R500 bakeng sa sebediswa sa ho e etsa le R800 e nngwe hore motho wa mabenyane a e ahe. Kamora moo, o patala 10% ya seo hore e kene inshorenseng. O lefile bokae?\n'}]}]
Haeba Marcy a sebetsa femeng e le nngwe ka dilemo tse 40, o fumana phenshene ya selemo ya R50.000 ka selemo. Ho qala kamora dilemo tse 20, o ba le tokelo ho 5% ya boleng ba phenshene ka selemo. Haeba a dihela kamora dilemo tse 30, phenshene ya hae ya selemo e tla ba bokae?	25000	[TextBlock(text='75000', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nHaeba Marcy a sebetsa femeng e le nngwe ka dilemo tse 40, o fumana phenshene ya selemo ya R50.000 ka selemo. Ho qala kamora dilemo tse 20, o ba le tokelo ho 5% ya boleng ba phenshene ka selemo. Haeba a dihela kamora dilemo tse 30, phenshene ya hae ya selemo e tla ba bokae?\n'}]}]
Aleena o ingodisa ho tshebeletso ya streaming e mo bitsang R140 ka kgwedi. Haeba feme ya streaming e ne e mo bitsa theko eo halofong ya pele ya selemo ebe e mo bitsa tjhelete e ka tlase ho 10%  halofong e nngwe ya selemo, bala tjhelete yohle a e lefileng bakeng sa tshebeletso ya streaming ha selemo se fela.	1596	[TextBlock(text='1260', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nAleena o ingodisa ho tshebeletso ya streaming e mo bitsang R140 ka kgwedi. Haeba feme ya streaming e ne e mo bitsa theko eo halofong ya pele ya selemo ebe e mo bitsa tjhelete e ka tlase ho 10%  halofong e nngwe ya selemo, bala tjhelete yohle a e lefileng bakeng sa tshebeletso ya streaming ha selemo se fela.\n'}]}]
Sophia o nahana ho nka leeto la tsela ka koloi ya hae, mme o lakatsa ho tseba hore a ka kganna ho fihla kae ka tanka e le nngwe ya peterole. O tsamaile dimaele tse 100 ho tloha ka tanka ya hae ya pele, mme o ne a hloka ho tshela dilitara tse 4 tsa peterole ho e tlatsa hape. Manual wa koloi ya hae o re tanka ya hae e tshwara dilitara tse 12 tsa peterole. Sophia a ka kganna dimaele tse kae ka tanka e le nngwe ya peterole?	300	[TextBlock(text='300', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nSophia o nahana ho nka leeto la tsela ka koloi ya hae, mme o lakatsa ho tseba hore a ka kganna ho fihla kae ka tanka e le nngwe ya peterole. O tsamaile dimaele tse 100 ho tloha ka tanka ya hae ya pele, mme o ne a hloka ho tshela dilitara tse 4 tsa peterole ho e tlatsa hape. Manual wa koloi ya hae o re tanka ya hae e tshwara dilitara tse 12 tsa peterole. Sophia a ka kganna dimaele tse kae ka tanka e le nngwe ya peterole?\n'}]}]
Jim o qeta dihora tse 2 a shebeletse thelevishene mme a etsa qeto ya ho ya betheng a bale halofo ya hora. O etsa hona makgetlo a 3 ka beke. O qeta dihora tse kae thelevisheneng le ho bala ka dibeke tse 4? 	36	[TextBlock(text='30', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nJim o qeta dihora tse 2 a shebeletse thelevishene mme a etsa qeto ya ho ya betheng a bale halofo ya hora. O etsa hona makgetlo a 3 ka beke. O qeta dihora tse kae thelevisheneng le ho bala ka dibeke tse 4? \n'}]}]
Ho na le dikolo tse nne tse hlodisanang thonamenteng ya basketball. Sekolo ka seng se romela sehlopha sa banana sa basketball le sehlopha sa bashemane sa basketball mme sehlopha ka seng se na le dibapadi tse 5. Sekolo se seng le se seng se rometse mokwetlisi bakeng sa sehlopha ka seng. Kaofela, ke batho ba bakae bao dikolo di ba rometseng?	48	[TextBlock(text='40', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nHo na le dikolo tse nne tse hlodisanang thonamenteng ya basketball. Sekolo ka seng se romela sehlopha sa banana sa basketball le sehlopha sa bashemane sa basketball mme sehlopha ka seng se na le dibapadi tse 5. Sekolo se seng le se seng se rometse mokwetlisi bakeng sa sehlopha ka seng. Kaofela, ke batho ba bakae bao dikolo di ba rometseng?\n'}]}]
Motsumi wa letlotlo o thola ka lekase la letlotlo la majwe le patuweng. Ho ne ho na le ditaemane tse 175, di-ruby tse 35 katlase ho ditaemane, le palo ya di-emerald e habedi ho ya di-ruby. Ke majwe a makae a neng a le kahare ho lekase?	595	[TextBlock(text='385', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nMotsumi wa letlotlo o thola ka lekase la letlotlo la majwe le patuweng. Ho ne ho na le ditaemane tse 175, di-ruby tse 35 katlase ho ditaemane, le palo ya di-emerald e habedi ho ya di-ruby. Ke majwe a makae a neng a le kahare ho lekase?\n'}]}]
Ho na le palo e menahaneng habedi ya bashemane ho ya banana sekolong sa Dr. Wertz. Haeba ho na le banana ba 60 le baithuti ba 5 ho mosuwe e mong le e mong, mesuwe e mekae moo?	36	[TextBlock(text='12', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nHo na le palo e menahaneng habedi ya bashemane ho ya banana sekolong sa Dr. Wertz. Haeba ho na le banana ba 60 le baithuti ba 5 ho mosuwe e mong le e mong, mesuwe e mekae moo?\n'}]}]
Bailey o qala ka palo ya tjhelete e itseng. Ebe o fumana kabelo ya R5 ka dibeke tse 8. Qetellong ya dibeke tse 8, haeba a na le palo kaofela ya R100, ke tjhelete e kae eo Bailey a qadileng ka yona?	60	[TextBlock(text='60', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nBailey o qala ka palo ya tjhelete e itseng. Ebe o fumana kabelo ya R5 ka dibeke tse 8. Qetellong ya dibeke tse 8, haeba a na le palo kaofela ya R100, ke tjhelete e kae eo Bailey a qadileng ka yona?\n'}]}]
Judy o ruta diphaposi tse 5 tsa tantshe, kamehla, beke le beke le diphaposi tse 8 ka Moqebelo. Haeba phaposi ka nngwe e na le baithuti ba 15 mme a lefisa R15.00 moithuti ka mong, ke tjhelete e kae a e etsang ka beke e le nngwe?	7425	[TextBlock(text='1275', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nJudy o ruta diphaposi tse 5 tsa tantshe, kamehla, beke le beke le diphaposi tse 8 ka Moqebelo. Haeba phaposi ka nngwe e na le baithuti ba 15 mme a lefisa R15.00 moithuti ka mong, ke tjhelete e kae a e etsang ka beke e le nngwe?\n'}]}]
Kelian o na le diresepe tse pedi tsa ho lokisetsa dijo, e nngwe e na le ditaelo tse 20 ha e nngwe e na le ditaelo tse menahaneng habedi ho ya pele. Ke ditaelo tse kae tseo Kelian a lokelang ho di bala ho lokisetsa mefuta e mmedi ya dijo?	60	[TextBlock(text='60', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nKelian o na le diresepe tse pedi tsa ho lokisetsa dijo, e nngwe e na le ditaelo tse 20 ha e nngwe e na le ditaelo tse menahaneng habedi ho ya pele. Ke ditaelo tse kae tseo Kelian a lokelang ho di bala ho lokisetsa mefuta e mmedi ya dijo?\n'}]}]
Tommy o nyolla mokotla bakeng sa thekolohelo ya hae ka ho rekisa dikuku ka R3 selae se le seng le dikuku tsa cheese ka R4 selae se le seng. Haeba Tommy a rekisa dikuku tse 43 le diselae tse 23 tsa dikuku tsa cheese, ke tjhelete e kae eo Tommy a tla e etsa?	221	[TextBlock(text='221', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nTommy o nyolla mokotla bakeng sa thekolohelo ya hae ka ho rekisa dikuku ka R3 selae se le seng le dikuku tsa cheese ka R4 selae se le seng. Haeba Tommy a rekisa dikuku tse 43 le diselae tse 23 tsa dikuku tsa cheese, ke tjhelete e kae eo Tommy a tla e etsa?\n'}]}]
Sheila o rekile diselefouno tse hlano ka R150 ka nngwe ka setolomente sa dikgwedi tse tharo. Phaello ya 2% e tla lefuwa bakeng sa yuniti ka nngwe.Sheila o tla lefa bokae ka kgwedi bakeng sa dikgwedi tse tharo?	255	[TextBlock(text='1470', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nSheila o rekile diselefouno tse hlano ka R150 ka nngwe ka setolomente sa dikgwedi tse tharo. Phaello ya 2% e tla lefuwa bakeng sa yuniti ka nngwe.Sheila o tla lefa bokae ka kgwedi bakeng sa dikgwedi tse tharo?\n'}]}]
Artie o na le stand sa dipalesa Mmarakeng wa Polasi. O rekisa mefuta e meraro ya dipalesa: marigolds, petunias le begonias. Hangata o rekisa marigolds ka R2.74 poto ka nngwe, petunias ka R1.87 poto ka nngwe le begonias ka R2.12 poto ka nngwe. Artie ha a na tjhelete e kgutlileng kajeno, jwale o entse qeto ya ho potolosa ditheko tsa hae kaofela ho atamela ranta. Haeba Artie a rekisa dipoto tse 12 tsa marigolds, dipoto tse 9 tsa petunias le dipoto tse 17 tsa begonias, o tla etsa bokae kaofela?	88	[TextBlock(text='36\n33\n36\n105', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nArtie o na le stand sa dipalesa Mmarakeng wa Polasi. O rekisa mefuta e meraro ya dipalesa: marigolds, petunias le begonias. Hangata o rekisa marigolds ka R2.74 poto ka nngwe, petunias ka R1.87 poto ka nngwe le begonias ka R2.12 poto ka nngwe. Artie ha a na tjhelete e kgutlileng kajeno, jwale o entse qeto ya ho potolosa ditheko tsa hae kaofela ho atamela ranta. Haeba Artie a rekisa dipoto tse 12 tsa marigolds, dipoto tse 9 tsa petunias le dipoto tse 17 tsa begonias, o tla etsa bokae kaofela?\n'}]}]
