q_id,subject,split,question,translate_question,choice_A,translate_choice_A,choice_B,translate_choice_B,choice_C,translate_choice_C,choice_D,translate_choice_D,answer
85,high_school_geography,test,What family do most European languages belong to?,Lugha nyingi za Ulaya ni za familia gani?,Ural-Altaic,Ural-Altaic,Basque,Kibasque,Indo-European,Indo-Ulaya,Phoenician,Kifoinike,C
86,high_school_geography,test,"What do the terms apartheid, ethnic cleansing, and integration all have in common?","Je, maneno ubaguzi wa rangi, utakaso wa kikabila, na ushirikiano yote yana uhusiano gani?",They all occurred in Nazi Germany during World War I.,Yote yalitokea katika Ujerumani ya Nazi wakati wa Vita vya Kwanza vya Ulimwengu.,They are all forms of residential segregation.,Yote ni aina ya ubaguzi wa makazi.,They are all ways to integrate different ethnic populations in neighborhoods.,Zote ni njia za kuunganisha makabila tofauti katika vitongoji.,They are different expressions for the same concept.,Ni misemo tofauti ya dhana moja.,B
87,high_school_geography,test,Which one of the statements below correctly describes immigrants living in Europe?,Ni kauli gani kati ya zilizo hapa chini inaelezea kwa usahihi wahamiaji wanaoishi Ulaya?,Most find citizenship easy to get in host countries.,Wengi hupata uraia kwa urahisi katika nchi zinazowakaribisha.,Muslims immigrants from North Africa are well integrated in France.,Waislamu wahamiaji kutoka Afrika Kaskazini wameunganishwa vyema nchini Ufaransa.,Immigrants to European cities rarely bring their families.,Wahamiaji katika miji ya Ulaya mara chache huleta familia zao.,They are usually restricted to certain neighborhoods.,Kwa kawaida wao huzuiliwa na kuishi tu katika maeneo fulani.,D
88,high_school_geography,test,Which of the following activities are NOT secondary economic activities?,Ni shughuli zipi kati ya zifuatazo SI shughuli za kisekondari za kiuchumi?,Assembling automotive parts,Kuunganisha sehemu za magari,Sewing shirts,Kushona mashati,Mining copper,Uchimbaji shaba,Binding books,Kujalidi vitabu,C
89,high_school_geography,test,Johnny and Susie are moving to Scotland to renovate and live in the family castle. What makes their move a migration?,Johnny na Susie wanahamia Scotland ili kukarabati na kuishi katika kasri la familia. Ni nini hufanya kuhama kwao kuwa uhamiaji?,They are crossing another country's borders.,Wanavuka mipaka ya nchi nyingine.,They are not taking anything with them.,Hawabebi chochote wanapohama.,They are moving permanently.,Wanahama na kuishi hapo daima.,They will be gone more than one year.,Hawatakuwapo kwa zaidi ya mwaka mmoja.,C
90,high_school_geography,test,Which of the following entities is a state?,Gani kati ya zifuatazo ni jimbo?,Antarctica,Antaktika ,American Samoa,Samoa ya Marekani,Egypt,Misri,Marshall Islands,Visiwa vya Marshall,C
91,high_school_geography,test,What is the most abundant fossil fuel?,Ni fueli gani za visukuku zinazopatikana kwa wingi zaidi?,Phosphate,Fosfati,Oil,Mafuta,Petroleum,Petroli,Coal,Makaa ya mawe,D
92,high_school_geography,test,A rejection of or indifference to religion in a country is called,Kukataliwa au kutojali mambo ya kidini katika nchi kunaitwa,polytheism.,ushirikina.,animism.,Imani ya kwamba kila kitu kina roho au nafsi.,secularism.,usekula.,monotheism.,imani moja.,C
93,high_school_geography,test,"In a postindustrial economy, which of the following resources is considered most important to increase productivity?","Katika uchumi wa baada ya viwanda, ni rasilimali gani kati ya zifuatazo inachukuliwa kuwa muhimu zaidi ili kuongeza uzalishaji?",Energy,Nishati,Labor,Leba,Information,Maarifa,Specialization,Utaalamu,C
94,high_school_geography,test,A city that is more than twice as large as the next largest city in a country is called a,Mji ambao ni mkubwa zaidi ya mara mbili ya mji unaofuata kwa ukubwa katika nchi unaitwa,global city.,mji wa kilimwengu.,world leader city.,mji unaoongoza duniani.,megalopolis.,jiji kubwa.,primate city.,jiji kubwa zaidi nchini,D
95,high_school_geography,test,Every country with a seacoast has an exclusive economic zone (EEZ) under the UN Convention on the Law of the Sea. Which one of the following statements regarding the Law of the Sea and the EEZ is NOT correct?,Kila nchi yenye pwani ya bahari ina exclusive economic zone (EEZ) chini ya Mkataba wa UN wa Sheria ya Bahari. Ni kauli gani kati ya zifuatazo kuhusu Sheria ya Bahari na EEZ SI sahihi?,The EEZ extends up to 200 nautical miles (370 km) from the coastline.,EEZ inaenea hadi maili 200 za baharini (kilomita 370) kutoka ukanda wa pwani.,Countries have the right to exploit natural resources in their EEZ.,Nchi zina haki ya kutumia maliasili katika EEZ yao.,Countries can exploit resources on the continental shelf extending up to 350 nautical miles (560 km) beyond their EEZ.,Nchi zinaweza kutumia rasilimali kwenye rafu ya bara inayoenea hadi maili 350 za baharini (kilomita 560) zaidi ya EEZ yao.,A country does not have the right to exploit living resources in its EEZ.,Nchi haina haki ya kunyonya rasilimali hai katika EEZ yake.,D
96,high_school_geography,test,Which of the following is MOST likely to experience population pressure?,Ni ipi kati ya zifuatazo ina uwezekano mkubwa wa kupata shinikizo la idadi ya watu?,An industrial society with abundant natural resources and large imports of food,Jumuiya ya viwanda yenye maliasili nyingi na uagizaji mkubwa wa chakula kutoka nje,A society with a highly mechanized agricultural sector,Jumuiya yenye sekta ya kilimo yenye mitambo mingi,A non-ecumene,Maeneo yasiyo na watu au yenye watu wachache sana ulimwenguni.,A slash-and-burn agricultural society,Jumuiya ya kilimo ya kufyeka na kuchoma,D
97,high_school_geography,test,"Part of the boundary between the United States and Mexico is the Rio Grande, an example of","Sehemu ya mpaka kati ya Marekani na Mexico ni Rio Grande, ambayo ni mfano wa",a water divider.,kigawanyaji cha maji.,a watercourse.,njia ya maji.,an artificial boundary.,mpaka wa bandia.,a natural boundary.,mpaka wa asili.,D
98,high_school_geography,test,"When we talk about diffusion of a cultural trait, what do we mean by ""hearth""?","Tunapozungumza kuhusu kuenea kwa sifa ya kitamaduni, tunamaanisha nini kwa ""hearth""?",Destination,Kifiko,Origin point,Mahali pa Mwanzo,All locations along the diffusion path,Maeneo yote yaliyo kando ya njia ya uenezi,Axis point,Mahali pa mhimili,B
99,high_school_geography,test,The distance north and south of the equator is the,Umbali wa kaskazini na kusini mwa ikweta ni,global grid system.,mfumo wa gridi ya ulimwengu.,Prime Meridian,Meridiani Kuu,latitude.,latitudo.,longitude.,longitudo.,C
0,international_law,dev,What types of force does Article 2(4) of the UN Charter prohibit?,"Je, ni aina zipi za nguvu ambazo Kifungu cha 2(4) cha Mkataba wa UN kinakataza?",Article 2(4) encompasses only armed force,Kifungu cha 2(4) kinajumuisha nguvu za kijeshi pekee,"Article 2(4) encompasses all types of force, including sanctions","Kifungu cha 2(4) kinajumuisha aina zote za nguvu, ikiwa ni pamoja na mamlaka yaliyoidhinishwa",Article 2(4) encompasses all interference in the domestic affairs of States,Kifungu cha 2(4) kinajumuisha uingiliaji wote katika masuala ya ndani ya Mataifa,Article 2(4) encompasses force directed only against a State's territorial integrity,Kifungu cha 2(4) kinajumuisha nguvu inayoelekezwa tu dhidi ya uadilifu wa eneo la Jimbo,A
1,international_law,dev,What is the judge ad hoc?,Hakimu ad hoc ni nini?,"If a party to a contentious case before the ICJ does not have a national sitting as judge, it is entitled to nominate someone as a judge solely for that case, with the title of judge ad hoc","Ikiwa mhusika katika kesi yenye utata mbele ya ICJ hana kikao cha kitaifa kama jaji, ni haki kuteua mtu kama jaji kwa hali hiyo pekee, akiwa na cheo cha jaji ad hoc",Judge ad hoc is the member of the bench of the ICJ with a casting vote,Jaji ad hoc ni mwanachama wa benchi ya ICJ mwenye kura ya maoni,"Judge ad hoc is a surrogate judge, in case a judge is disqualified or passes away",Jaji ad hoc ni jaji mbadala iwapo jaji ataondolewa au kuaga dunia,Judge ad hoc is the judge that each party will always nominate in every contentious case,Jaji ad hoc ndiye jaji ambaye kila upande utamteua kila mara katika kila kesi yenye utata,A
2,international_law,dev,Would a reservation to the definition of torture in the ICCPR be acceptable in contemporary practice?,"Je, uhifadhi wa ufafanuzi wa mateso katika ICCPR unaweza kukubalika katika mazoezi ya kisasa?",This is an acceptable reservation if the reserving country's legislation employs a different definition,Huu ni uhifadhi unaokubalika ikiwa sheria ya nchi inayohifadhi itatumia ufafanuzi tofauti,This is an unacceptable reservation because it contravenes the object and purpose of the ICCPR,Huu ni uhifadhi usiokubalika kwa sababu unakiuka lengo na madhumuni ya ICCPR,This is an unacceptable reservation because the definition of torture in the ICCPR is consistent with customary international law,Hili ni uhifadhi usiokubalika kwa sababu ufafanuzi wa mateso katika ICCPR unalingana na sheria za kimila za kimataifa,This is an acceptable reservation because under general international law States have the right to enter reservations to treaties,Huu ni uhifadhi unaokubalika kwa sababu chini ya sheria ya jumla ya kimataifa Mataifa yana haki ya kuweka nafasi kwenye mikataba,B
3,international_law,dev,When 'consent' can serve as a circumstance precluding the wrongfulness of a State conduct?,Wakati 'idhini' inaweza kutumika kama hali inayozuia ubaya wa mwenendo wa Serikali?,Consent can serve as a circumstance precluding the wrongfulness whenever it is given,Idhini inaweza kutumika kama hali inayozuia ubaya wakati wowote inapotolewa,Consent can never serve as a circumstance precluding wrongfulness,Idhini haiwezi kamwe kutumika kama hali inayozuia makosa,"Consent can serve as a circumstance precluding wrongfulness, provided the consent is valid and to the extent that the conduct remains within the limits of the consent given","Idhini inaweza kutumika kama hali inayozuia makosa, mradi idhini ni halali na kwa kiwango ambacho mwenendo unabaki ndani ya mipaka ya idhini iliyotolewa","Consent can always serve as a circumstance precluding wrongfulness, no matter which organ of the State gives it","Idhini inaweza kutumika kila wakati kama hali inayozuia makosa, bila kujali ni chombo gani cha Serikali kinaipa",C
4,international_law,dev,How the consent to be bound of a State may be expressed?,"Je, idhini ya kufungwa kwa Serikali inaweza kuonyeshwaje?",The consent of a State to be bound is expressed only by ratification,Idhini ya Serikali kufungwa inaonyeshwa tu na udhibitisho,"The consent of a state to be bound by a treaty may be expressed by signature, ratification, acceptance, approval or accession","Idhini ya serikali kufungwa kwa mkataba inaweza kuonyeshwa kwa kutia saini, kuridhia, kukubali, kupitisha au kujiunga",The consent of a State to be bound is expressed by signature,Idhini ya serikali kufungwa inaonyeshwa kwa kutia saini,The consent of a State to be bound is expressed by whatever means they choose,Idhini ya serikali kufungwa inaonyeshwa kupitia njia yoyote wanayochagua,B
0,international_law,val,What kind of passage does qualify as 'innocent passage'?,Ni mapito aina gani yanayoweza kuitwa 'mapito yasiyo na hatia'?,Innocent passage is the passage that does not involve any criminal activity,Mapito yasiyo na hatia ni mapito ambayo hayahusishi shughuli zozote za uhalifu,"A vessel's passage is considered 'innocent' where it is not prejudicial to the peace, good order or security of the coastal State","Mapito ya meli yanachukuliwa kuwa 'yasiyo na hatia' ikiwa hayana madhara kwa amani, utaratibu mzuri au usalama wa jimbo la pwani",Innocent passage concerns only vessels of the same nationality with the coastal State,Mapito yasiyo na hatia yanahusu meli za utaifa sawa na Jimbo la pwani peke yake,Innocent passage concerns only the passage of merchant vessels and not of warships,Mapito yasiyo na hatia yanahusu tu kupita kwa meli za wafanyabiashara na sio meli za kivita,B
1,international_law,val,What kind of State practice is required?,"Je, ni aina gani ya mazoezi ya Serikali yanahitajika?","Widespread, consistent and uniform practice, consisting both of acts and omissions.","Mazoezi yaliyoenea, thabiti na yenye usawa, yanayojumuisha sheria zilizopendekezwa na ukosaji wa kutenda.","Only widespread, consistent and uniform acts and not omissions of States","Ni sheria zilizopendekezwa tu, ambazo ni thabiti na zenye usawa na sio ukosaji Mataifa wa kutenda ",Widespread acts and omissions of States but not necessarily consistent or uniform,"Sheria zilizopendekezwa zilizoenea pamoja na ukosaji Mataifa kutenda, lakini si lazima viwe thabiti au vilivyo na usawa","Consistent practice of few States, including both acts and omissions, which is met with protestation by the other States","Utaratibu thabiti wa baadhi ya nchi, ikiwa ni pamoja na sheria zilizopendekezwa na ukosefu wa utendaji ambao unakabiliwa na maandamano kutoka nchi nyingine",A
2,international_law,val,Which treaties are considered as 'source of international law' under article 38 ICJ Statute?,Ni mikataba gani inachukuliwa kuwa 'chanzo cha sheria za kimataifa' chini ya kifungu cha 38 cha Mkataba wa ICJ?,All treaties that are in force at the time of the dispute,Mikataba yote inayotumika wakati wa mzozo,Only the treaties that are in force and binding upon the parties to the dispute,Ni mikataba tu ambayo inatumika na inayofunga wahusika kwenye mzozo,"All treaties that have been concluded between the parties to the dispute, regardless whether they are in force","Mikataba yote ambayo imehitimishwa kati ya wahusika kwenye mzozo huo, bila kujali kama inatumika",Only treaties that are multilateral and of paramount significance,Mikataba tu ambayo ni ya kimataifa na yenye umuhimu mkubwa,B
3,international_law,val,What is the 'optional; clause' in the ICJ Statute?,"Je, 'kifungu cha hiari' ni nini katika Mkataba wa ICJ?","Optional clause is the clause in the ICJ Statute, which provides for the applicable law, according to the intention of the parties","Kifungu cha hiari ni kifungu katika Mkataba wa ICJ, ambacho kinatoa sheria inayotumika, kulingana na nia ya wahusika",Optional clause determines the intention of the parties to accept that the decision of the Court will be final and binding,Kifungu cha hiari huamua nia ya wahusika kukubali kwamba uamuzi wa Mahakama utakuwa wa mwisho na wa lazima,"Optional clause is the declaration deposited by a State, whereby it accepts the jurisdiction of the Court in respect of international legal disputes in relation to any other State accepting the same obligation.","Kifungu cha hiari ni tamko iliyowekwa na serikali, ambapo inakubali mamlaka ya Mahakama kuhusu migogoro ya kisheria ya kimataifa kwa kuhusiana na nchi nyingine yoyote inayokubaliana na wajibu huo.","Optional clause is the clause that the parties deposit, which sets out the procedure of the written and oral pleadings","Kifungu cha hiari ni kifungu ambacho wahusika huweka, ambacho hueleza utaratibu wa maombi yaliyoandikwa na yaliyonenwa",C
4,international_law,val,Can armed violence perpetrated by non-State actors ever amount to an armed attack under Article 51 UN Charter?,"Je, unyanyasaji wa silaha unaofanywa na wahusika wasio wa Kiserikali unaweza kuwa sawa na shambulio la silaha chini ya Kifungu cha 51 cha Mkataba wa UN?",The conduct of non-State actors can never amount to an armed attack,Mwenendo wa wahusika wasio wa serikali hauwezi kamwe kuwa shambulio la silaha,The Caroline case serves as precedent that non-State actors can under particular circumstances commit an armed attack,Kesi ya Caroline hutumika kama mfano kwamba wahusika wasio wa serikali wanaweza kufanya shambulio la silaha chini ya hali maalum,There is no precedent in international law for the proposition that non-State actors can commit an armed attack,Hakuna mfano katika sheria za kimataifa kwa unaopendekeza kwamba wahusika wasio wa serikali wanaweza kufanya shambulio la silaha,Non-State can both commit an armed attack and possess a right of self-defence under international law,Wahusika wasio wa serikali wanaweza kufanya mashambulizi ya silaha na kuwa na haki ya kujilinda chini ya sheria za kimataifa,B
5,international_law,val,Which of the following statements is inaccurate?,Ni kauli gani kati ya zifuatazo si sahihi?,Proportionality is a means of balancing the rights of an individual against the protection of the community as a whole,Uwiano ni njia ya kusawazisha haki za mtu binafsi dhidi ya ulinzi wa jamii kwa ujumla,"For an act to be proportionate, it should be linked to the legitimate aim of the state measure complained of","Ili sheria iliyopendekezwa iwe sawia, inapaswa kuhusishwa na lengo halali la hatua ya serikali inayolalamikiwa",Proportionality is the same as reasonableness,Uwiano ni sawa na usawaziko,Proportionality should mean the state takes the least intrusive action that is necessary,Uwiano unapaswa kumaanisha kuwa serikali inachukua hatua ndogo zaidi ya kuingilia ambayo ni muhimu,C
6,international_law,val,In the Grootboom case in South Africa the Supreme Court,Katika kesi ya Grootboom nchini Afrika Kusini Mahakama ya Juu,Found the state was responsible for the homelessness of the appellants and that they had to provide the appellants with a certain type of housing as soon as possible,Ilibainisha kuwa serikali ilihusika na ukosefu wa makazi wa warufani na kwamba walilazimika kuwapa warufani aina fulani ya makazi haraka iwezekanavyo,Found the state was responsible for the homelessness of the appellants but that the right to housing was not enforceable by the Court,Ilibainisha kuwa serikali ilihusika na ukosefu wa makazi wa warufani lakini haki ya makazi haikutekelezeka na Mahakama,Found that the state had to take reasonable steps to fulfil its obligation to the appellants under the right to housing in the Constitution,Ilibainisha kuwa serikali ilipaswa kuchukua hatua zinazofaa ili kutimiza wajibu wake kwa warufani chini ya haki ya makazi katika Katiba,Found the state was not responsible for the appellants' homelessness,Ilibainisha kuwa serikali haikuwajibika kwa ukosefu wa makazi wa warufani,C
7,international_law,val,Which rule of jus cogens was the first to be accepted explicitly as such by the ICJ?,Ni sheria gani ya jus cogens ilikuwa ya kwanza kukubaliwa kwa uwazi na ICJ?,The prohibition of the use of force,Marufuku ya matumizi ya nguvu,The prohibition of torture,Marufuku ya mateso,The prohibition of genocide,Marufuku ya mauaji ya kimbari,The principle of self-determination,Kanuni ya kujitegemea,C
8,international_law,val,In which cases may a non-injured State invoke the responsibility of the culprit State?,Ni katika hali zipi ambapo serikali isioathiriwa inaweza kudai kuwa serikali nyingine ni yenye hatia?,Only in cases that the injured State has authorized a non-injured one to invoke the responsibility on its behalf,Ni katika hali tu ambapo serikali iliyoathiriwa imeidhinisha serikali ambayo haijaathiriwa kutekeleza jukumu hilo kwa niaba yake,In cases of breaches of specific obligations protecting the collective interests of a group of States (obligations erga omnes partes) or the interests of the international community as a whole (obligations erga omnes),Katika hali ya ukiukaji wa majukumu mahususi yanayolinda maslahi ya pamoja ya kundi la Mataifa (majukumu ya erga omnes partes) au maslahi ya jumuiya ya kimataifa kwa ujumla (majukumu erga omnes),"In cases of violation of acts of international organizations, such as General Assembly Resolutions","Katika hali ya ukiukaji wa sheria iliyopendekezwa kwa mashirika ya kimataifa, kama vile Maazimio ya Mkutano Mkuu",In cases of non-compliance with a decision of an international court or tribunal,Katika kesi za kutofuata uamuzi wa kort ya kimataifa au mahakama,B
9,international_law,val,May States incur liability for the debts and wrongdoings attributable to an international organisation to which they are parties?,"Je, Mataifa yanaweza kuwajibika kwa madeni na makosa yanayotokana na shirika la kimataifa ambalo linahusika nayo?",Member States cannot hide behind an organisation's corporate veil,Nchi zenye uanachama haziwezi kujificha nyuma ya pazia la shirika,The legal person of the organisation is distinct from that of its member States,Mtu wa kisheria wa shirika ni tofauti na yule wa nchi wanachama wa shirika hilo,Organisations and their member States are equally liable for any wrongdoings attributable to the organisation,Mashirika na nchi wanachama wao wanawajibika sawa kwa makosa yoyote yanayotokana na shirika ,Member States are alone liable for debts and wrongdoings attributable to the organisation,Nchi ambazo ni wanachama wa shirika pekee ndizo zinazowajibika kwa madeni na makosa yanayotokana na shirika,B
10,international_law,val,What is required for a general rule of customary law to be formed?,Ni nini kinachohitajika ili kanuni ya jumla ya sheria za kimila iundwe?,"Only general, widespread and consistent practice on the part of States is required","Mazoezi ya jumla tu, yaliyoenea na thabiti kwa upande wa Mataifa ndiyo yanayohitajika",The consistent practice of few States is sufficient,Mazoezi thabiti ya Mataifa machache yanatosha,The legal conviction that a certain practice of a State is in accordance with international law is the most significant requirement,Hukumu ya kisheria kwamba utendaji fulani wa Serikali ni kwa mujibu wa sheria za kimataifa ndilo hitaji muhimu zaidi,Both the elements of widespread and consistent State practice and of the opinio juris are required,Vipengele vyote viwili vya mazoezi ya Serikali yaliyoenea na thabiti na vya opinio juris vinahitajika,D
11,international_law,val,What is 'material breach' of the treaty?,"Je, 'ukiukaji wa nyenzo' katika mkataba ni nini?",Material breach' is a ground for the invalidation of a treaty,Ukiukaji wa nyenzo' ni sababu ya kubatilishwa kwa mkataba,Material breach' is the repudiation or a significant violation of the treaty and serves as a ground for the unilateral termination of the treaty,Ukiukaji wa nyenzo' ni ukataaji au ukiukaji mkubwa wa mkataba na hutumika kama msingi wa kusitishwa kwa mkataba huo kwa upande mmoja,Material breach' is an insignificant violation of a treaty,Ukiukaji wa nyenzo' ni ukiukaji mdogo wa mkataba,Material breach' is a significant violation of the treaty which can never lead to the termination of the treaty,Ukiukaji wa nyenzo' ni ukiukaji mkubwa wa mkataba ambao hauwezi kamwe kusababisha kusitishwa kwa mkataba,B
12,international_law,val,What does the 'fundamental change of circumstances' entail for the treaty?,Mabadiliko ya msingi ya hali' yanahusisha nini kwa mkataba?,A fundamental change of circumstances concerns the object and purpose of the treaty and it leads to its amendment,Mabadiliko ya kimsingi ya hali yanahusu lengo na madhumuni ya mkataba na husababisha marekebisho yake,A fundamental change of circumstances has no bearing on the life of treaties,Mabadiliko ya kimsingi ya hali hayana uhusiano wowote na maisha ya mikataba,"Mabadiliko ya kimsingi ya hali ambayo yalikuwa yenye msingi muhimu wa idhini ya wahusika kufungwa kwa mkataba na ambayo hayakutarajiwa na wahusika, yanaweza kutumika kama sababu ya kusitisha au kujiondoa kwenye mkataba","Mabadiliko ya kimsingi ya hali ambayo yalikuwa ya msingi muhimu wa ridhaa ya wahusika kufungwa na mkataba na ambayo hayakutarajiwa na wahusika, yanaweza kutumika kama sababu ya kusitisha au kujiondoa kwenye mkataba",A fundamental change of circumstances leads to the automatic termination of the treaty,Mabadiliko ya msingi ya hali husababisha kumalizika moja kwa moja kwa mkataba,C
0,international_law,test,Which State ordinarily exercises jurisdiction in respect of crimes committed on board vessels?,Ni Jimbo gani ambalo kwa kawaida hutumia mamlaka kulingana na uhalifu unaofanywa kwenye meli?,The coastal State,Jimbo la Pwani,The flag State,Jimbo la bendera,All States enjoy such jurisdiction,Mataifa yote yanafurahia mamlaka kama hayo,The International Tribunal for the Law of the Sea,Mahakama ya Kimataifa ya Sheria ya Bahari,B
2,international_law,test,In what way is Responsibility to Protect (R2P) different from humanitarian intervention?,"Je, ni kwa njia gani Responsibility to Protect (R2P) ni tofauti na uingiliaji kati wa kibinadamu?",R2P is essentially the same as humanitarian intervention,R2P kimsingi ni sawa na uingiliaji kati wa kibinadamu,R2P requires a call for assistance by the State in distress,R2P inahitaji wito kwa msaada na Serikali ilito katika dhiki,R2P is less arbitrary because it requires some UNSC input and its primary objective is to avert a humanitarian crisis,R2P haina uholela kwa sababu inahitaji maoni fulani ya UNSC na lengo lake kuu ni kuepusha mzozo wa kibinadamu,"R2P always involves armed force, whereas humanitarian intervention does not","R2P daima inahusisha jeshi, ilhali uingiliaji kati wa kibinadamu hauhusishi jeshi",C
3,international_law,test,What is the 'Lotus principle'?,Kanuni ya Lotus' ni gani'?,"The so-called Lotus principle is that 'restrictions upon the independence of States cannot therefore be presumed', or, as it has been construed, 'whatever is not prohibited is permitted in international law'","Kinachojulikana kama kanuni ya Lotus ni kwamba 'vizuizi juu ya uhuru wa Mataifa kwa hiyo haviwezi kudhaniwa', au, kama ilivyofafanuliwa, 'chochote kisichokatazwa kinaruhusiwa katika sheria za kimataifa'",The so-called Lotus principle is that States are free to choose the Court that they will submit their disputes,Kinachojulikana kama kanuni ya Lotus ni kwamba Mataifa yako huru kuchagua Mahakama ambako yatawasilisha migogoro yao,The so-called Lotus principle is that States are not prohibited to assert their enforcement jurisdiction on the high seas,Kinachojulikana kama kanuni ya Lotus ni kwamba Mataifa hayaruhusiwi kudai mamlaka yao ya utekelezaji kwenye bahari kuu,The so-called Lotus principle is that customary law derives from the combination of State practice and opinio juris,Kinachojulikana kama kanuni ya Lotus ni kwamba sheria ya kimila inatokana na mchanganyiko wa mazoezi ya Serikali na ya opinio juris,A
4,international_law,test,Which of these statements best describes the UK Constitution?,Ni kauli gani kati ya hizi inayoelezea vyema Katiba ya Uingereza?,The UK Constitution's only source of power is that of the sovereign,Chanzo pekee cha mamlaka ya Katiba ya Uingereza ni kile cha mamlaka,The UK Constitution gives the judiciary the power to overturn acts of parliament,Katiba ya Uingereza inaipa mahakama mamlaka ya kubatilisha sheria ziliyopendekezwa na bunge,The UK Constitution is uncodified and can be found in a number of sources,Katiba ya Uingereza haijaratibiwa na inaweza kupatikana katika vyanzo kadhaa,The UK Constitution is based on a Bill of Rights,Katiba ya Uingereza inategemea Sheria ya Haki,C
5,international_law,test,What is the obligation of the peaceful settlement of disputes?,Ni nini wajibu wa utatuzi wa amani ya migogoro?,"It is an obligation of result, that is, States are under a strict obligation to resolve their disputes as soon as possible","Ni wajibu wa matokeo, yaani, Mataifa yako chini ya wajibu mkali wa kutatua migogoro yao haraka iwezekanavyo","It is an obligation of conduct, ie States have an obligation to try to resolve their disputes through peaceful means. This does not entail an obligation to resolve their disputes","Ni wajibu wa maadili, yaani Mataifa yana wajibu wa kujaribu kutatua migogoro yao kwa njia za amani. Hii haijumuishi wajibu wa kutatua migogoro yao",It is a peremptory norm of international law and all States have a legal interest to safeguard its application in any given dispute,Ni kanuni ya msingi ya sheria za kimataifa na Mataifa yote yana nia ya kisheria ya kulinda matumizi yake katika mzozo wowote,It is an obligation which concerns solely international courts and tribunals,Ni wajibu ambao unahusu mahakama na korti za kimataifa pekee,B
6,international_law,test,Which one of the following statements is false?,Ni kauli gani kati ya zifuatazo ni za uwongo?,Protocol 14 changed the committee that hears admissibility cases from a three judge to a one judge formation,Itifaki ya 14 ilibadilisha kamati inayosikiliza kesi za kukubalika kutoka kwa muundo wa majaji watatu hadi muundo wa jaji mmoja,Protocol 14 added a new criterion for admissibility,Itifaki ya 14 iliongeza kigezo kipya cha ukubalifu,Protocol 14 abolished the Commission of Human Rights,Itifaki ya 14 ilifuta Tume ya Haki za Kibinadamu,Protocol 14 extended the judicial term of office for the European Court of Human Rights,Itifaki ya 14 iliongeza muda wa mahakama wa ofisi kwa Mahakama ya Ulaya ya Haki za Kibinadamu,C
7,international_law,test,Which is a 'rock' under the UN Convention of the Law of the Sea (UNCLOS)?,Ni gani 'mwamba' chini ya UN Convention of the Law of the Sea (UNCLOS)?,Rocks are the islands that are less than 10 square miles,Miamba ni visiwa ambavyo ni chini ya maili 10 za mraba,Rocks are the islands that do not have any maritime zone,Miamba ni visiwa ambavyo havina eneo lolote la baharini,Rocks are the islands which cannot sustain human habitation or economic life of their own and according to article 121 (3) have no Exclusive Economic Zone or continental shelf.,Miamba ni visiwa ambavyo haviwezi kuendeleza makazi ya binadamu au maisha yao ya kiuchumi na kulingana na kifungu cha 121 (3) havina Eneo la Kiuchumi la Kipekee au rafu ya bara.,Rocks are the small islands that can sustain human habitation,Miamba ni visiwa vidogo vinavyoweza kuendeleza makazi ya binadamu,C
8,international_law,test,What is the meaning of international legal personality?,Nini maana ya haiba ya kisheria ya kimataifa?,It means that only States are considered subjects of international law,Ina maana kwamba ni Mataifa pekee yanachukuliwa kuwa chini ya sheria za kimataifa,It means having rights and duties under international law and a capacity to enforce these by or against the relevant actor,Inamaanisha kuwa na haki na wajibu chini ya sheria za kimataifa na uwezo wa kutekeleza haya na au dhidi ya mhusika husika,It means that an entity may challenge the authority of States,Inamaanisha kuwa kipengee halisi kinaweza kupinga mamlaka ya Mataifa,"It is a term that is meant to denote legal, as opposed, to physical persons under international law","Ni neno ambalo ni maana ya kuonyesha kisheria, kinyume na watu walio chini ya sheria ya kimataifa",B
9,international_law,test,Which of the following is a treaty-based human rights mechanism?,Ni ipi kati ya zifuatazo ni utaratibu wa haki za binadamu unaotegemea mkataba?,The UN Human Rights Committee,Kamati ya Haki za Kibinadamu ya UN,The UN Human Rights Council,Baraza la Haki za Kibinadamu la UN,The UN Universal Periodic Review,Mapitio ya Mara kwa Mara ya UN,The UN special mandates,Mamlaka maalum ya UN,A
10,international_law,test,The UN Vienna Declaration 1993 declared that,Azimio la UN la Vienna mwaka wa 1993 lilitangaza,Third generation rights are of primary importance,Haki za kizazi cha tatu ni muhimu sana,Civil and political rights are core rights,Haki za kiraia na kisiasa ni haki za msingi,"All types of rights are indivisible, interrelated and interdependent","Aina zote za haki hazigawanyiki, zinahusiana na zinategemeana",Social and economic rights are non-enforceable,Haki za kijamii na za kiuchumi hazitekelezeki,C
11,international_law,test,What is the principal source of immunity in respect of international organisations (IOs)?,Ni nini chanzo kikuu cha kinga inayohusiana na international organisations (IOs)?,The principal source of immunity for IOs is the UN Charter,Chanzo kikuu cha kinga kwa IOs ni Mkataba wa UN,The principal sources of immunity for IOs are headquarters agreements and multilateral treaties providing specific immunities,Vyanzo vikuu vya kinga kwa IOs ni makubaliano ya makao makuu na mikataba ya kimataifa inayotoa kinga maalum,The principal source of immunity for IOs is customary law,Chanzo kikuu cha kinga kwa IOs ni sheria za kimila,The principal source of immunity for IOs is the Vienna Convention on Diplomatic Immunities,Chanzo kikuu cha kinga kwa IOs ni Mkataba wa Vienna wa Kinga za Kidiplomasia,B
