question	answer	prompt	gpt_4	verbalized
Ngokolwazi ngokudla okunempilo, isikhwama samashibusi sinamakhalorizi angu 250 ngasinye. Uma isikhwama esingu 300g sidliwa kawu 5, mangaki ama-gram ongawadla uma amakhalorizi owahlosile ngosuku engu 2000 futhi usudle amakhalorizi angu 1800?	48	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nNgokolwazi ngokudla okunempilo, isikhwama samashibusi sinamakhalorizi angu 250 ngasinye. Uma isikhwama esingu 300g sidliwa kawu 5, mangaki ama-gram ongawadla uma amakhalorizi owahlosile ngosuku engu 2000 futhi usudle amakhalorizi angu 1800?\n'}]	60	60
UCharlie ufuna ukudayisa amakhandlela ekhekhe zezinyosi.Ngephawundi ngalinye lekhekhe lezinyosi engenza amakhandla angu 10. Iphawundi eyodwa yekhekhe lezinyosi nezintambo kungabiza u$10 kubadayisi. Uma edayisa ikhandlela ngalinye ngo $2.00 yimalini inzuzo ngqo uma enza adayise amakhandlela angu 20?	20	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUCharlie ufuna ukudayisa amakhandlela ekhekhe zezinyosi.Ngephawundi ngalinye lekhekhe lezinyosi engenza amakhandla angu 10. Iphawundi eyodwa yekhekhe lezinyosi nezintambo kungabiza u$10 kubadayisi. Uma edayisa ikhandlela ngalinye ngo $2.00 yimalini inzuzo ngqo uma enza adayise amakhandlela angu 20?\n'}]	10	10
UMeredith ungumbhali okwenza ngesikhathi sakhe obhala ngezihloko zezempilo bese ehambisa kumakhasimende njalo ngosuku njengomsebenzi wakhe.Isihloko sokubhaliwe sithatha isilinganiso samahora awu 4 ukwenza ucwaningo bese uyabhala ngaso. Ngesonto eledlule ubhale ngezihloko ezingu 5 ngoMsombuluko kanye nezindatshana eziphindwe ka-2/5 ngoLwesibili kunangoMsombuluko. NgoLwesithathu ubhale waphindaphinda kabili inamba yamaphepha awabhale ngoLwesibili. Bala isamba senamba yamahora awachithile ukubhala amaphepha ezinsukwini ezintathu.	104	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUMeredith ungumbhali okwenza ngesikhathi sakhe obhala ngezihloko zezempilo bese ehambisa kumakhasimende njalo ngosuku njengomsebenzi wakhe.Isihloko sokubhaliwe sithatha isilinganiso samahora awu 4 ukwenza ucwaningo bese uyabhala ngaso. Ngesonto eledlule ubhale ngezihloko ezingu 5 ngoMsombuluko kanye nezindatshana eziphindwe ka-2/5 ngoLwesibili kunangoMsombuluko. NgoLwesithathu ubhale waphindaphinda kabili inamba yamaphepha awabhale ngoLwesibili. Bala isamba senamba yamahora awachithile ukubhala amaphepha ezinsukwini ezintathu.\n'}]	60	60
UCandice ubeke izitikha zamanothi ezingu 80 esikhwameni semali ngaphambi kokuthi ahambe aye emsebenzini esitolo sekhofi. Endleleni umile estolo wathenga iphakethe lezitikha zamanothi. Emsebenzini ubeke isitikha samanothi esisodwa ezinkomishini ezahlukene zekhofi ngayinye ezingu 220. Ukube ubenezitikha zamanothi ezingu 23 ezisele, zingaki izitikha zamanothi ebezikhona ephaketheni alithengile?	163	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUCandice ubeke izitikha zamanothi ezingu 80 esikhwameni semali ngaphambi kokuthi ahambe aye emsebenzini esitolo sekhofi. Endleleni umile estolo wathenga iphakethe lezitikha zamanothi. Emsebenzini ubeke isitikha samanothi esisodwa ezinkomishini ezahlukene zekhofi ngayinye ezingu 220. Ukube ubenezitikha zamanothi ezingu 23 ezisele, zingaki izitikha zamanothi ebezikhona ephaketheni alithengile?\n'}]	43	43
UJohn uthenga okuphindwe kabili othayi ababomvu ukunothayi abaluhlaza. Othayi ababomvu babiza u50% ukunothayi abaluhlaza. Usebenzise u$200 kothayi abaluhlaza ababiza u$40 ngamunye. Usebenzise malini kothayi?	800	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUJohn uthenga okuphindwe kabili othayi ababomvu ukunothayi abaluhlaza. Othayi ababomvu babiza u50% ukunothayi abaluhlaza. Usebenzise u$200 kothayi abaluhlaza ababiza u$40 ngamunye. Usebenzise malini kothayi?\n'}]	280	280
UTracy usebezise uphisi kasefa ubude ongango 4 fithi ukuze aseke izihlahla zikatamatisi engadini. Usefa uwunqume kwaba ngamaphisi angu 6 ubude. Uthole ophisi abangaki?	8	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUTracy usebezise uphisi kasefa ubude ongango 4 fithi ukuze aseke izihlahla zikatamatisi engadini. Usefa uwunqume kwaba ngamaphisi angu 6 ubude. Uthole ophisi abangaki?\n'}]	24	24
URichard uhlala endlini esebhilidini elinezitezi ezingu 15. Isitezi ngasinye sinezindlu ezingu 8 no 3/4 webhilidi unabantu. Zingaki izindlu ezingenabantu ebhilidini?	30	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nURichard uhlala endlini esebhilidini elinezitezi ezingu 15. Isitezi ngasinye sinezindlu ezingu 8 no 3/4 webhilidi unabantu. Zingaki izindlu ezingenabantu ebhilidini?\n'}]	90	90
ULlyod unefamu yamaqanda. Izinkukhu zakhe zikhiqiza amaqanda angu 252 ngosuku bese ewadayisa ngo$ 2 idazini ngalinye. Wenza malini uLlyod ngamaqanda ngesonto?	294	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nULlyod unefamu yamaqanda. Izinkukhu zakhe zikhiqiza amaqanda angu 252 ngosuku bese ewadayisa ngo$ 2 idazini ngalinye. Wenza malini uLlyod ngamaqanda ngesonto?\n'}]	294	294
UMkhumbi kaTom ungahamba amamayela angu 10 ngehora. Uzohamba ngo1 kuya ku 4 ntambama. Angahamba abuye ezingeni lika 6mph. Kuzomthatha isikhathi esingakanani ukubuya?	5	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUMkhumbi kaTom ungahamba amamayela angu 10 ngehora. Uzohamba ngo1 kuya ku 4 ntambama. Angahamba abuye ezingeni lika 6mph. Kuzomthatha isikhathi esingakanani ukubuya?\n'}]	2	2
Isikhwama sezincwadi zika Uriah sesiqala ukumsinda. Udinga ukukhipha amaphawundi angu 15 kusona. Incwadi yakhe yamahlaya inesisindo samaphawundi ayi 1/4 ngayinye namathoyizi akhe asinda amaphawundi angu 1/2 ngalinye. Uma ekhipha izincwadi zamahlaya ezingu 30, mangaki amathoyizi adinga ukuwakhipha?	15	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nIsikhwama sezincwadi zika Uriah sesiqala ukumsinda. Udinga ukukhipha amaphawundi angu 15 kusona. Incwadi yakhe yamahlaya inesisindo samaphawundi ayi 1/4 ngayinye namathoyizi akhe asinda amaphawundi angu 1/2 ngalinye. Uma ekhipha izincwadi zamahlaya ezingu 30, mangaki amathoyizi adinga ukuwakhipha?\n'}]	10	10
Umakhenikha ukhokhisa ngokwahlukana ukukhanda amathayi amaloli nezimoto.Ngethayi ngalodwa leloli alikhandile, umakhenikha uzokukhokhisa u$60 bese ithayi ngalinye lemoto alikhandile, umakhenikha ukhokhisa u$40. NgoLwesine umakhenikha wakhanda amathayi amaloli awu 6 namathayi ezimoto ezingu 4. NgoLwesihlanu, umakhenikha ukhande amathayi ezimoto ezingu 12, akazange akhande amathayi amaloli. Imalini ingenisonzuzo umakhenikha ayitholile ngosuku lwengenisonzuzo ephakeme?	40	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUmakhenikha ukhokhisa ngokwahlukana ukukhanda amathayi amaloli nezimoto.Ngethayi ngalodwa leloli alikhandile, umakhenikha uzokukhokhisa u$60 bese ithayi ngalinye lemoto alikhandile, umakhenikha ukhokhisa u$40. NgoLwesine umakhenikha wakhanda amathayi amaloli awu 6 namathayi ezimoto ezingu 4. NgoLwesihlanu, umakhenikha ukhande amathayi ezimoto ezingu 12, akazange akhande amathayi amaloli. Imalini ingenisonzuzo umakhenikha ayitholile ngosuku lwengenisonzuzo ephakeme?\n'}]	800	800
Osisi bakaDoubtfire bayashayela baya ekhaya namakati amancane awu 7 abawathengile endaweni yendawo yezilwane uma umama wabo efona ukubatshela ukuthi amakati abo amabili anyelezele amakati amancane. Uthi uPatchy,ikati lokuqala, libe namakathi amathathu ukuphindaphinda lawa abawathengile ngesikhathi uTrixie elinye ikati libe na 12. Mangaki amakati amancane umndeni wakaDoubtfire osunawo manje?	40	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nOsisi bakaDoubtfire bayashayela baya ekhaya namakati amancane awu 7 abawathengile endaweni yendawo yezilwane uma umama wabo efona ukubatshela ukuthi amakati abo amabili anyelezele amakati amancane. Uthi uPatchy,ikati lokuqala, libe namakathi amathathu ukuphindaphinda lawa abawathengile ngesikhathi uTrixie elinye ikati libe na 12. Mangaki amakati amancane umndeni wakaDoubtfire osunawo manje?\n'}]	34	34
UJean unoswidi owu 30. Ujean udla oswidi abawu 2.Ngoswidi osele, uJean ufuna ukufaka uswidi owu 2 esikhwameni. Zingaki izikhwama uJean angazigcwalisa?	14	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUJean unoswidi owu 30. Ujean udla oswidi abawu 2.Ngoswidi osele, uJean ufuna ukufaka uswidi owu 2 esikhwameni. Zingaki izikhwama uJean angazigcwalisa?\n'}]	14	14
UPeter uhlele ukuya kubhayisikobho kulelisonto. Uhlezi ethola ithikithi lika $7 namakibukibu ngo $17. Uma enamadola angu 42 esonto,angaya kangaki kubhayisikobho?	3	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUPeter uhlele ukuya kubhayisikobho kulelisonto. Uhlezi ethola ithikithi lika $7 namakibukibu ngo $17. Uma enamadola angu 42 esonto,angaya kangaki kubhayisikobho?\n'}]	2	2
Ibhuloho lamapulangwe lingathwala ngaphezu kwamaphawundi angu 5000. Iloli elizoletha impahla eligcwele amabhokisi afanayo, ngalinye lisinda amaphawundi angu 15, lizodlula phezu kwebhuloho. Isisindo esihlangene nesikamshayeli kanye neloli elingenalutho kungamaphawundi angu 3755. Mangaki amabhokisi enani eliphezulu angalayishwa kuleli loli ngesikhathi kungezodlula kumkhawulo wesisindo sebhuloho?	83	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nIbhuloho lamapulangwe lingathwala ngaphezu kwamaphawundi angu 5000. Iloli elizoletha impahla eligcwele amabhokisi afanayo, ngalinye lisinda amaphawundi angu 15, lizodlula phezu kwebhuloho. Isisindo esihlangene nesikamshayeli kanye neloli elingenalutho kungamaphawundi angu 3755. Mangaki amabhokisi enani eliphezulu angalayishwa kuleli loli ngesikhathi kungezodlula kumkhawulo wesisindo sebhuloho?\n'}]	164	164
UStephen ufake isicelo sokuthenga ukudla ku-inthanethi. Ibhili yakhe yokugcina ifike ku$40 00. Ngoba lokhu wayekwenza ngokulethelwa akuthegile,bafake inkokhelo ya 25% kusamba sakhe sokugcina futhi bamukhokhisa u$3.00 imali yokulethelwa akuthengile. UStephen uphinde wengeza u$4.00 abapha wona. Ngemva kwezimali ezengeziwe, yimalini imali yokugcina yokuthengwe ngu Stephen?	57	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUStephen ufake isicelo sokuthenga ukudla ku-inthanethi. Ibhili yakhe yokugcina ifike ku$40 00. Ngoba lokhu wayekwenza ngokulethelwa akuthegile,bafake inkokhelo ya 25% kusamba sakhe sokugcina futhi bamukhokhisa u$3.00 imali yokulethelwa akuthengile. UStephen uphinde wengeza u$4.00 abapha wona. Ngemva kwezimali ezengeziwe, yimalini imali yokugcina yokuthengwe ngu Stephen?\n'}]	57	57
Isikhotha samajikijolo sinezixheke ezingu 6 ezinezithelo ezingu 20 ngasinye nezithelo ezingazodwana ezingu 67 ezihlakazekile isikhotha sonke. Mangaki amajikijolo akhona eseyisamba?	187	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nIsikhotha samajikijolo sinezixheke ezingu 6 ezinezithelo ezingu 20 ngasinye nezithelo ezingazodwana ezingu 67 ezihlakazekile isikhotha sonke. Mangaki amajikijolo akhona eseyisamba?\n'}]	187	187
Ibhakede elinama orintshi angu 25 phakathi kwawo kukhona 1 ongalungile, 20% awuvuthiwe, u2 umuncu bese amanye alungile. Mangaki ama-orintshi alungile?	17	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nIbhakede elinama orintshi angu 25 phakathi kwawo kukhona 1 ongalungile, 20% awuvuthiwe, u2 umuncu bese amanye alungile. Mangaki ama-orintshi alungile?\n'}]	19	19
UJanethi uthengele indodakazi yakhe ibhuloshi. Uthe ukhokhe u$500 wezinto zokulenza kanye nomunye u$800 kusobucwebe ozolihlanganisa. Ngemva kwalokho ukhokha u10% wokuthi lifakelwe umshwalense. Ukhokhe malini?	1430	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUJanethi uthengele indodakazi yakhe ibhuloshi. Uthe ukhokhe u$500 wezinto zokulenza kanye nomunye u$800 kusobucwebe ozolihlanganisa. Ngemva kwalokho ukhokha u10% wokuthi lifakelwe umshwalense. Ukhokhe malini?\n'}]	1310	1310
Uma uMarcy esebenzela inkampani efanayo iminyaka engu 40, uthola impesheni yonyaka ya$50000 ngonyaka. Uqala emva kweminyaka engu 20, unelungelo lokuthola u 5% wenani lempesheni ngonyaka. Uma eyeka umsebenzi ngemva kweminyaka engu 30, kungaba yimalini impesheni yonyaka wakhe?	25000	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUma uMarcy esebenzela inkampani efanayo iminyaka engu 40, uthola impesheni yonyaka ya$50000 ngonyaka. Uqala emva kweminyaka engu 20, unelungelo lokuthola u 5% wenani lempesheni ngonyaka. Uma eyeka umsebenzi ngemva kweminyaka engu 30, kungaba yimalini impesheni yonyaka wakhe?\n'}]	62500	62500
UAleena wenza uhlelokuvuma lomsebenzi wokuvezwa okhokhisa u$140 ngenyanga. Uma ukuvezwa kwenkampani kubiza inani lakhe lasekuqaleni ngohhafu wokuqala wonyaka bese kubiza u10 % ngaphansi wemali komunye uhhafu wonyaka. Bala inani eliphelele aselikhokhile lokuvezwa komsebenzi uma sekuphele unyaka.	1596	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUAleena wenza uhlelokuvuma lomsebenzi wokuvezwa okhokhisa u$140 ngenyanga. Uma ukuvezwa kwenkampani kubiza inani lakhe lasekuqaleni ngohhafu wokuqala wonyaka bese kubiza u10 % ngaphansi wemali komunye uhhafu wonyaka. Bala inani eliphelele aselikhokhile lokuvezwa komsebenzi uma sekuphele unyaka.\n'}]	1680	1680
USophia ucabanga ukuthatha uhambo lwasemgwaqeni ngemoto yakhe, futhi angathanda ukwazi ukuthi angashayela ibanga elide kangakanani ngethange elilodwa legesi.Usehambe amamayela angu 100 elokhu agcina ukugcwalisa ithange lakhe futhi udinga ukufaka amagaloni egesi awu 4 ukuze agcwalise futhi. Incwajana yomnikazi wemoto yakhe ithi ithange lakhe lifaka amagalani wegesi awu 12. Mangaki amamayela angawashayela uSophia ngethange elilodwa legesi?	300	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUSophia ucabanga ukuthatha uhambo lwasemgwaqeni ngemoto yakhe, futhi angathanda ukwazi ukuthi angashayela ibanga elide kangakanani ngethange elilodwa legesi.Usehambe amamayela angu 100 elokhu agcina ukugcwalisa ithange lakhe futhi udinga ukufaka amagaloni egesi awu 4 ukuze agcwalise futhi. Incwajana yomnikazi wemoto yakhe ithi ithange lakhe lifaka amagalani wegesi awu 12. Mangaki amamayela angawashayela uSophia ngethange elilodwa legesi?\n'}]	300	300
UJim uchitha isikhathi esingamahora awu 2 enbukela iTV bese ekhetha ukuyolala bese efunda okunguhhafu ubude. Ukwenza ka 3 ngesonto lokhu. Mangaki amahora awachitha ukubuka iTV nokufunda emasontweni angu 4?	36	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUJim uchitha isikhathi esingamahora awu 2 enbukela iTV bese ekhetha ukuyolala bese efunda okunguhhafu ubude. Ukwenza ka 3 ngesonto lokhu. Mangaki amahora awachitha ukubuka iTV nokufunda emasontweni angu 4?\n'}]	36	36
Kunezikole ezine eziqhudelanayo emncintiswaneni webhaskhethibholi. Isikole ngasinye sithumele iqembu lebhaskhethibholi lamantombazane kanye neqembu lebhaskhethibholi yabafana futhi iqembu ngalinye linabadlali abawu 5. Ngokwesamba, bangaki abantu abathunyelwe izikole zonke?	48	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nKunezikole ezine eziqhudelanayo emncintiswaneni webhaskhethibholi. Isikole ngasinye sithumele iqembu lebhaskhethibholi lamantombazane kanye neqembu lebhaskhethibholi yabafana futhi iqembu ngalinye linabadlali abawu 5. Ngokwesamba, bangaki abantu abathunyelwe izikole zonke?\n'}]	40	40
Umcebi ongumzingeli uthole umcebo ogqitshiwe ngesitsha kugcwele ukungcola. Bekunamadayimani angu 175, amarubi ambalwa ukunadayimani angu 35, inamba ephindeke kabili yama-emaralds ukunamarabizi. Kungakanani ukugcola obekukhona lapha esitsheni?	595	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUmcebi ongumzingeli uthole umcebo ogqitshiwe ngesitsha kugcwele ukungcola. Bekunamadayimani angu 175, amarubi ambalwa ukunadayimani angu 35, inamba ephindeke kabili yama-emaralds ukunamarabizi. Kungakanani ukugcola obekukhona lapha esitsheni?\n'}]	210	210
Baphindeke kabili ubuningi abafana ukunamantombazane esikoleni iDr Wertz. Uma kunamantombazane angu 60 nabafundi abawu 5 kuthisja ngamunye, bangaki othisha abakhona?	36	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nBaphindeke kabili ubuningi abafana ukunamantombazane esikoleni iDr Wertz. Uma kunamantombazane angu 60 nabafundi abawu 5 kuthisja ngamunye, bangaki othisha abakhona?\n'}]	12	12
UBaily uqale ngenani lemali elithize,Uthola nemali masonto onke engu $5 emasontweni angu 8. Ekupheleni kwamasonto angu 8 uma enesamba sa$ 100, imalini uBaily aqale ngayo?	60	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUBaily uqale ngenani lemali elithize,Uthola nemali masonto onke engu $5 emasontweni angu 8. Ekupheleni kwamasonto angu 8 uma enesamba sa$ 100, imalini uBaily aqale ngayo?\n'}]	60	60
UJudy ufundisa amakilasi okudansa angu 5 zonke izinsuku ngezimpelasonto namakilasi awu 8 ngoMgqibelo. Uma ikilasi ngalinye linabafundi abawu 15 ebabiza u $15.00 umfundi ngamunye, wenza malini ngesonto elilodwa?	7425	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUJudy ufundisa amakilasi okudansa angu 5 zonke izinsuku ngezimpelasonto namakilasi awu 8 ngoMgqibelo. Uma ikilasi ngalinye linabafundi abawu 15 ebabiza u $15.00 umfundi ngamunye, wenza malini ngesonto elilodwa?\n'}]	1725	1725
UKelian unamaresiphi amabili okulungiselela ukudla, eyodwa inemiyalelo engu 20 eyesibili inemiyalelo ephindeke kabili kule yokuqala. Unemiyalelo emingaki uKelian okumele aifunde ukuze alungiselele ukupheka lokudla?	60	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUKelian unamaresiphi amabili okulungiselela ukudla, eyodwa inemiyalelo engu 20 eyesibili inemiyalelo ephindeke kabili kule yokuqala. Unemiyalelo emingaki uKelian okumele aifunde ukuze alungiselele ukupheka lokudla?\n'}]	60	60
UTommy uqongelela imali yesihawu sakhe ngokuthengisa amakhekhe ka$3 isilayisi namashizikhekhe angu $4 isilayisi. Uma uTommy edayisa amakhekhe awu 43 nezilayi ezingu 23 zamashizikhekhi, uqongelele imali engakanani uTommy?	221	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUTommy uqongelela imali yesihawu sakhe ngokuthengisa amakhekhe ka$3 isilayisi namashizikhekhe angu $4 isilayisi. Uma uTommy edayisa amakhekhe awu 43 nezilayi ezingu 23 zamashizikhekhi, uqongelele imali engakanani uTommy?\n'}]	191	191
USheila uthenge amafoni amahlanu ngo $150 ngayinye ezoyikhokhela kancane kancane izinyanga ezintathu.U 2% wenzuzo izobalwa ifoni ngayinye. Uzokhokha malini uSheila inyanga ngayinye kulezinyanga ezintathu?	255	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUSheila uthenge amafoni amahlanu ngo $150 ngayinye ezoyikhokhela kancane kancane izinyanga ezintathu.U 2% wenzuzo izobalwa ifoni ngayinye. Uzokhokha malini uSheila inyanga ngayinye kulezinyanga ezintathu?\n'}]	1550	1550
UArtie unendawo yezimbali eMakethe yayaFama. Udayisa izinhlobo ezintathu zezimbali: ama-marigolds, ama-petunias ne-begonias. Ujwayele ukudayisa amamarigolds ngo $2.74 ibhodwe ngalinye,amapetunias ngo$1.87 ibhodwe ngalinye nebegonias ngo $2.12 ibhodwe ngalinye. uArtie akanawo ushintshi namhlanje, ngakho usenqume ukuhlanganisa wonke amanani akhe kudola eliseduze. Uma uArtie edayisa amabhodwe angu 12 emarigold, awu 9 epetunia nangu 17 ebegonias, uzokwenza malini?	88	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUArtie unendawo yezimbali eMakethe yayaFama. Udayisa izinhlobo ezintathu zezimbali: ama-marigolds, ama-petunias ne-begonias. Ujwayele ukudayisa amamarigolds ngo $2.74 ibhodwe ngalinye,amapetunias ngo$1.87 ibhodwe ngalinye nebegonias ngo $2.12 ibhodwe ngalinye. uArtie akanawo ushintshi namhlanje, ngakho usenqume ukuhlanganisa wonke amanani akhe kudola eliseduze. Uma uArtie edayisa amabhodwe angu 12 emarigold, awu 9 epetunia nangu 17 ebegonias, uzokwenza malini?\n'}]	76	76
ULuke uchitha isikhathi esolwandle akha izindlu zesihlabathi. Ekugcineni uyaqaphela ukuthi ileveli ngayinye yendlu yesihlabathi izoba nohhafu wesikwele njengeleveli engaphansi kwayo. Uma enza amaleveli awu 4 endlu yesihlabathi solwandle lapho ileveli ephezulu inesikwele sokuhamba sa 16, sithini isilinganiso sesikwele saleleveli?	60	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nULuke uchitha isikhathi esolwandle akha izindlu zesihlabathi. Ekugcineni uyaqaphela ukuthi ileveli ngayinye yendlu yesihlabathi izoba nohhafu wesikwele njengeleveli engaphansi kwayo. Uma enza amaleveli awu 4 endlu yesihlabathi solwandle lapho ileveli ephezulu inesikwele sokuhamba sa 16, sithini isilinganiso sesikwele saleleveli?\n'}]	256	256
UCecilia uthenge umdlwane omusha. Ngokukadokotela wezilwane, kumele anike umdlwane ukudla inkomishi eyodwa yokudla kwezinja zonke izinsuku ezinsukwini zokuqala ezingu 180. Emva kwalokho uyobe eseyiphakela izinkomishi ezimbili zokudla kwezinja zonke izinsuku impilo yayo yonke. Uma iskhwama esisodwa sokudla kwezinja sinezinkomishi ezingu 110, zingaki izikhwama zokudla kwezinja azozisebenzisa uCecilia ngonyaka wokuqala?	5	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUCecilia uthenge umdlwane omusha. Ngokukadokotela wezilwane, kumele anike umdlwane ukudla inkomishi eyodwa yokudla kwezinja zonke izinsuku ezinsukwini zokuqala ezingu 180. Emva kwalokho uyobe eseyiphakela izinkomishi ezimbili zokudla kwezinja zonke izinsuku impilo yayo yonke. Uma iskhwama esisodwa sokudla kwezinja sinezinkomishi ezingu 110, zingaki izikhwama zokudla kwezinja azozisebenzisa uCecilia ngonyaka wokuqala?\n'}]	3	3
Uma uRaymond ewasha izingubo ezinguhhafu ukunoSarah, futhi uSarah wenza 4 ngaphezulu ukunoDavid, bala umehluko kunani lewashingi kaRaymond noDavid abayenzayo uma uSarah enza iwashingi ngamaphawundi awu 400	100	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUma uRaymond ewasha izingubo ezinguhhafu ukunoSarah, futhi uSarah wenza 4 ngaphezulu ukunoDavid, bala umehluko kunani lewashingi kaRaymond noDavid abayenzayo uma uSarah enza iwashingi ngamaphawundi awu 400\n'}]	280	280
UVincent angathenga izimbali ngamaphekheji awu 3 abiza u$2.50 noma ngamaphekheji awu 2 abiza u$1. Wonga imali engakanani ngokuthenga izimbali ezingu 18 ngemali engcono?	6	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUVincent angathenga izimbali ngamaphekheji awu 3 abiza u$2.50 noma ngamaphekheji awu 2 abiza u$1. Wonga imali engakanani ngokuthenga izimbali ezingu 18 ngemali engcono?\n'}]	6	6
UJohn uthenga inja. Uyayithatha uyiyisa kumqeqeshi ozobiza u $100. Umqeqeshi umnikeza isephulelo sika 30% ngokuba yikhasimende elisha. Kubiza malini ukuqeqesha?	70	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUJohn uthenga inja. Uyayithatha uyiyisa kumqeqeshi ozobiza u $100. Umqeqeshi umnikeza isephulelo sika 30% ngokuba yikhasimende elisha. Kubiza malini ukuqeqesha?\n'}]	70	70
Amantombazane amabili eyodwa ino 1/6 wamalitha angu 24 amanzi. Umfana uthole amalitha angu 6 amanzi. Mangaki amalitha amanzi asele.?	10	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nAmantombazane amabili eyodwa ino 1/6 wamalitha angu 24 amanzi. Umfana uthole amalitha angu 6 amanzi. Mangaki amalitha amanzi asele.?\n'}]	17	17
UCharlie ubenezitikha ezingu 10. Uthenge izitikha ezingu 21 esitolo esisenxanxatheleni yezitolo futhi wathola izitikha ezingu 23 zosuku lwakhe lokuzalwa.Ucharlie unikeze izitikha zakhe ezingu 9 usisi wakhe futhi wasebenzisa ezingu 28 ukuhlobisa ikhadi lokubingelela. Usesalelwe izitikha ezingaki ?	17	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUCharlie ubenezitikha ezingu 10. Uthenge izitikha ezingu 21 esitolo esisenxanxatheleni yezitolo futhi wathola izitikha ezingu 23 zosuku lwakhe lokuzalwa.Ucharlie unikeze izitikha zakhe ezingu 9 usisi wakhe futhi wasebenzisa ezingu 28 ukuhlobisa ikhadi lokubingelela. Usesalelwe izitikha ezingaki ?\n'}]	17	17
UGrace usinda amaphawundi angu 125. Ualex usinda amaphawundi awu 2 ngaphansi kwezikhathi eziwu 4 kokusindwa kuGace. Singakanani isisindo sabo sihlanganisiwe ngamaphawundi?	623	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUGrace usinda amaphawundi angu 125. Ualex usinda amaphawundi awu 2 ngaphansi kwezikhathi eziwu 4 kokusindwa kuGace. Singakanani isisindo sabo sihlanganisiwe ngamaphawundi?\n'}]	498	498
UDan utshale isixheke sezimbali eziwu 3. Isixheke sezimbali ngasinye sinezimbali ezingu 25. Imbali ngayinye inameva awu 8. Mangaki ameva akhona eseyisamba?	600	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUDan utshale isixheke sezimbali eziwu 3. Isixheke sezimbali ngasinye sinezimbali ezingu 25. Imbali ngayinye inameva awu 8. Mangaki ameva akhona eseyisamba?\n'}]	600	600
Iqembu lebhola lidlale imidlalo ewu 22. Banqobe engu 8 kunabayiluzile. Banqobe emingaki?	15	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nIqembu lebhola lidlale imidlalo ewu 22. Banqobe engu 8 kunabayiluzile. Banqobe emingaki?\n'}]	8	8
