Unnamed: 0	question	answer	gpt-4
145	Jean has a pineapple plantation of 10 hectares. If each hectare produces 100 pineapples and Jean harvests them every 3 months, how much can he harvest each year?	4000	40,000 pineapples
146	Johnny removes all the tiles in the room. He removes a 500-foot tile, a 3-foot tile, and a 4-foot tile. How many tiles does Johnny remove in total?	2,125	johnny removes 3 tiles in total.
147	Debra tries to keep track of how many of the puppies are entering and exiting the nest. After seeing 30 puppies leave the nest in the first 6 hours, she discovers that when another puppy leaves the nest in the next 6 hours, she sees twice as many flying puppies as the first time it left the nest. Also, in the next 6 hours, all the puppies that left and never came home are back in the nest. How many of the puppies did Debra see return to the nest in the last 6 hours of the day?	75	60 puppies
148	Brittany and her mother are sitting at the table. The entrance fee is $12 for adults and $10 for children. Brittany's mother gives the vendor money for one baby and one adult ticket. If the difference is $8, how many dollars does she give the vendor?	30	$22
149	Charlie's Facebook page is three times larger than Dorothy's. Jacques's friends are four times larger than Dorothy's. If Charlie has 12 Facebook pages, how many does Jacques have?	16	16 facebook pages
150	Steve and Tim were looking for someone who would be able to finish school as soon as possible. Steve's hometown was more convenient than Tim's, so he was able to pick up his bike. Steve's hometown is 3 kilometers away from the school, 440 feet from the hospital. Tim's hometown is 2 kilometers away from the school. If Kim took a skateboard knowing that the bike was 264 feet away from the hospital, how long would it take the young rider to sit down for the rider to arrive?	4	the question does not provide enough information to determine how long it would take the rider to arrive.
151	Shawnda hopes that the whale show will celebrate the well-being of the children in her care. She is the first to win each pony. The value of each pony is 25 fistins. On the first day, 5 people made the wind their pony whale, 3 people made the wind their three-pony whale. In the end, one person came and won one pony. How much money did you make that day?	5	150 fistins
152	Carl bought ten packets of cookies. Each package contains six cookies. Each cookie costs $0.10. How much would Carl get back if he gave away a $10 gift?	4	$4.00
153	Dave buys a large bag of chips, and eats nineteen of them from the hands of a crooked man. When the crooked man eats them, he destroys almost half of the chips Dave has eaten. Eventually, he is kicked out of the bag by three dogs, each of whom ends up eating three chips. After a while, a small demon steals three of the chips from the other dogs. The British take one and leave the five. How many chips were in the package when Dave got it?	48	76 chips
154	Kimo's classes are three one-hour classes; Tuesdays and Thursdays are two two-hour classes each day. If there are sixteen elementary school classes every six months, how many hours does Kimo study in six months?	272	kimo studies 96 hours in six months.
155	Every day, Bill makes 300 small loaves of bread, 120 chocolate loaves of bread, and 60 bagels of bread. Small loaves of bread, measured by the length of 4 fingers, are about the same size, chocolate loaves are about the same size, chocolate loaves are about the same size, and bagels are about 2 feet long. If Bill were to calculate the total amount of bread he makes for the entire company, how big would it be?	280	the question does not provide enough information to calculate the total size of all the bread made.
156	In order to sustain the wild bananas, the caretaker must harvest bananas from a nearby field every 2 months. If there are 200 bananas for small bananas, 400 for small bananas and 100 for large bananas, how many must be harvested in 2 months?	1400	700 bananas
157	Blake and Kelly compete to see who can run 15 laps. We decide to do it in a 100-yard football game. Blake runs 15 laps, Kelly runs one and then announces that he doesn't want to run next to Blake. He starts running back and forth around the 40-yard line. He does it 34 times. How many chances does the winner have over the loser?	80	blake wins by 1 chance.
158	Raphael went shopping for school supplies. he bought 4 bicycles worth $1.5 each, 2 shoes worth $4 each and a house worth $20. how much did Raphael spend for this?	34	$34
159	Finn observes 11 tetras floating in the lake. If he sees 6 of them emerge from an ice shelf, then he has to hide two of them in the ice. How many tetras can Finn now see in the lake?	15	9 tetras
160	There is a pool of water 17 feet deep at the bottom. On the top, there is another 7 feet of water. The average water depth is about 2/3 of the average water depth. What is the average water depth on the bottom of the pool?	16	12 feet
161	Anakin and Locsin went to sea together. Anakin caught 10 starfish, 6 hippopotamuses and 3 species of fish. Locsin caught 5 starfish more than Anakin, 3 hippopotamuses more than Anakin and 2 species of fish more than Anakin. How many fish did they both catch?	32	anakin and locsin caught a total of 11 fish species together.
162	If a $20 bag costs 20% more every two months to store, how much does a $36 bag cost?	92	$36 bag costs 80% more.
163	a number of dolls are displayed in a room: 5 red dolls, 3 dolls and a doll. the doll is worth 3 dolls, one red doll is worth $4. if it is clear that a doll is worth $5, how much will it cost to buy all the dolls?	50	$62
164	Jackie wonders if she should publicize her wealth or hire a copywriter. If she does it herself, she will be able to do 3 menial jobs, which can cost her $35 an hour. The copywriter asks for $90. how much will she earn in addition to her salary if she hires the copywriter?	15	$15
165	In her 30s, Elvira bought a new computer with a lot of equipment. €1500, which was given to her by her relatives, she also felt that she should be able to buy things. She went to a pharmacy and chose a device with a screen, a calculator and a scanner for €1090. She also bought a scanner for €157, a CD player for €74, and a handwritten signature for €102.	77	elvira spent €1423.
166	Sandra's neighbor gave her a 9-cent piece of paper every time she handed it to her daughter. To make a mistake in español. Sandra needed 3 coins. If we had made her a 15-cent piece of paper with a password for their school's computer. how many times would she have handed it to the kid?	5	5 times
167	Seth is twice as old as Brooke. In two years, they will be 28 years old. What is Seth's age?	16	18 years old
168	Jimmy has $2 more money than Ethel. If Ethel has $8, how much money does Jimmy have?	18	jimmy has $10.
169	at the end of the week you know that it's 10 kilometers. Pancho runs 20 kilometers a day. How many kilometers does he walk in a week?	120	140 kilometers
170	we haven't opened any new hotels yet. we have a restaurant that costs $25, a western that's three times the price, and a restaurant that's half the price of a western. what's a restaurant like that?	150	$37.50
171	Jake walks around the table knowing that a dog is there. He finds 80 8-legged lizards, and 3 that have no shape-shifting bones and are difficult to find that have 10 legs. How many legs does Jake see in total?	1210	jake sees 674 legs in total.
172	There are four birds in Caboose. Sally Two is three years older than Granny Red. Granny Red is twice as old as Sally Four. If Sally Four and Sally Thirtytwo are the same age, and Sally Thirtytwo is 8, what are the four birds?	51	sally four and sally thirtytwo are 8 years old, granny red is 16 years old, and sally two is 19 years old.
173	Jessica's monthly mortgage payment is $300 a month, her credit card is $200 a month, and her mortgage is $500 a month. If Jessica wanted to pay off the other 50% of her mortgage, how much would she have to pay in five years?	18000	$30,000
174	Billy cooks and cuts potatoes for his brother's big barbecue. As an important event, he has 60 potatoes to cook. The potatoes are quick enough, so the time to cook them and cut them is the same. Billy needs about the same amount of chicken and shrimp to cook the potato, but 5 pieces of chicken to cut it. How much time does Billy need to make the potato?	95	billy needs 10 minutes to make the potato.
175	Juan and his brother Carlos sell lemonade. So each of us spends $3 on mangoes and $2 on sugar. We have 20 months of lemonade and sell them for $0.50 each month. If we make a bond of $25, how much will it cost to buy the mangoes?	15	$60
176	In a rally that gathered 240 Asians, 80 of them were shepherds, and the rest were Chinese. If the number of men in the Chinese group was 60, how many women were in that group?	100	100
177	Zaid used 1/4 of his salary to pay for his apartment, 1/3 to pay for his wife and then gave it to his favorite charity fundraiser. He gave $200 to his daughter for her weekly medical expenses, and then $700 to his wife for toiletries and other household items. Since Zaid earns $6,000 a month, would you ask him to pay for the wedding and then give him all of that and everything else?	350	no.
178	Rani is 10 carats better than Monique. Bo is 40 carats better than her, how many carats are there?	122	50 carats
179	Lord earns $10 an hour for teaching Sunday school. He teaches 5 hours during the first week and 8 hours the following week. How much did he earn in the first two weeks?	130	$130
180	Two students compete for the leadership of the class in the school of Sarai. If the winner receives 3/4 of the votes and the total number of votes is 80, what is the number of votes for the loser?	20	20 votes
181	Sandra, who is shaking a piece of paper next to her, is very upset by the incompleteness of the paper that Fred has unrolled. Sandra has unrolled more than 4 times on red paper than on white paper. She has also unrolled 200 lists of colors, which is five times the amount of white paper. Sandra threatens to leave the seller if the seller doesn't return her with 17 hours of red paper left. While Sandra is at her clinic, which of the red papers does Sadra have to unroll before 17 hours?	160	40 hours
182	Jean was married to Marc for two years, Marc was 5 years older than Jean. If Jean is 30 years old, what will become of Jean?	23	jean will be 31 years old next year.
183	two teams compete in a 4x400 meter relay race, a challenge in which each team consists of four runners who race around the course safely. one of the teams is very fast, its runners run 400 meters in 55 seconds of light. the other team is very fast. the first of its runners runs 400 meters in 60 seconds of light, and then the others, each one faster than the previous one by 3 seconds of light. based on these data, which of the four seconds of light did the team run the fastest?	2	the team with runners who run 400 meters in 55 seconds of light ran the fastest.
184	Jerry tosses a six-sided die. What is the probability that a die has a value greater than 3 as opposed to a die that does not have at least two consecutive digits?	25	the probability that a six-sided die has a value greater than 3 is 1/2.
185	Jenna and her mother harvested apples from their garden. Jenna harvested twice as many apples as her mother. If her mother had 20 apples, how many pumps did she use to harvest them all?	30	the question does not provide enough information to determine the number of pumps used, as it focuses on the number of apples harvested.
186	Russell works in a veterinary clinic, distributing small animals with grass. The animals are weighed in 3 cups according to their size. For each animal we give him 6 pieces of grass. He has 10 pieces of hamsters. Each one has a coat on its head. We give him 5 pieces of grass. There is also a rule where we distribute 20 pieces of grass. We don't use a single piece of grass anywhere except in the clinic. If we distribute 160 pieces of grass to the small animals, what are the pieces of grass in the cup?	5	53⅓ pieces of grass in each cup.
187	Mandy owes Benedict $100. We're approaching a 2% interest rate. If Mandy can pay off that money in 3 months, how much should Benoit pay?	106	benoit should not pay anything; mandy owes benedict.
188	a salesman buys bags from a farmer for $20 each. If you take a bag from the farm to the store for $2, and all the bags are sold for $30 each to get a bonus of $400, how many bags do you sell?	50	100 bags
189	three friends spent $20, $25 for three meals to go to a business meeting. we also spent $4, $50 on food. that's less than we spent on meals. we also made two bags of manicures for $33 each. if we're right about the distribution of bags in the middle, how much will each of us make?	34	$6.67
190	Jean wears a mask for 3 hours. He wears 2 masks each. How many masks does he wear?	360	6 masks
191	Chickens need to eat 3.5 kilos of coconut per week to survive. how many kilos of coconut does a flock of 10 chickens need?	5	35 kilos
192	Tom plants 10 trees a year. He also prunes 2 trees a year. He started with 50 trees. In 10 years, 30% of the trees died. How many trees are left?	91	74 trees
193	Sue lives in a very peaceful environment. Within a few hours, her neighbors convince her that she is to blame. On Friday morning, they put about 18 green coffee beans in her fridge. Late in the morning, the neighbors picked up one of the three 18 green coffee beans that we had painted white and returned to Sue's fridge. The next morning, we added another 18 green coffee beans. At 12 o'clock in the morning, how many more green coffee beans were there than white coffee beans?	24	35 green coffee beans more than white coffee beans.
194	Violetta wants to buy a new pair of shoes. She needs 5 different sizes of shoes, for which she spends $20. If a pair of shoes costs $2, how much will they cost?	10	$10
195	If a cart is worth $1, a cart is worth $20, a cart is worth $0, and a cart is worth $30, how much is 8 bikes worth?	12	$0
196	If we distribute 200 kilotons of fuel to 40 regional railway stations. If each station receives 2 kilotons of fuel, how many kilotons of fuel are not used?	120	160 kilotons
197	The population of the village of Soda is 23786, of which 8 417 are men and 9092 are women. The rest are children. How many children does Soda have?	6277	6277
198	In the beginning, Elaine had 20 Pokemon cards. She collected more than three times in a month. During the second month, she collected more than 20 cards than she had in the first month. Finally, during the third month, she collected twice as many as she had in the first two months. How many Pokemon cards have you collected now?	320	elaine has collected 320 pokemon cards in total.
199	Marc is a mathematician. He calculates the number of hours per week for two different accounting firms that have different prices. The number of hours Marc spends with Accountant B is twice the number of hours Marc spends with Accountant A. Marc averages 1,000 hours per week. If Accountant A spends 5 fifty hours per week, how much money does Marc make in a week, in fifty?	7500	marc makes 20,000 in fifty.
200	Baldur pours water from a well. He pours at 5 o'clock in the morning, 6 o'clock in the afternoon. If he pours 5 liters of water, how many liters of water does he pours per day?	55	10 liters
201	Jean received a bonus for her work: a bonus of $5,000 and a 5% pay increase. If she earned $2,000 a week, and if she received the bonus the previous day of the year, how much money did she make this year?	114,200	$109,000
202	Josie produces grapes on her 10-hectare plantation. 5 tons of grapes are harvested per year per hectare. A ton of grapes produces 2 bottles of wine. How many bottles of wine does her plantation produce per year?	100	100 bottles of wine.
203	Formas is Carl's favourite dish. Every week he makes a sandwich with a different recipe. He uses 2 slices of formas in the same recipe. He eats an omelet with a formas and a slice of bread in the same recipe for 3 days a week, which means he uses one more slice of formas than I do in the recipe. He makes a pasta dish with a large portion of formas to save a lot of food during the week. Which means he uses 8 slices of formas in his cooking. How many formas does he use?	31	18 slices of formas.
204	Janet had 22 white bikes and 10 black bikes. The buyer bought 6 red bike bags and 2 red bike bags. Each white bike bag made 9 bikes, the red bikes made 6. How many bikes does Janet have now?	98	janet has 32 bikes now.
205	Brinley is in Mr. Bert's tent class. He makes six tents every six months. He doesn't accept the odds we set for their worst goal every six months. Given that in the first five tents, Brinley scored 89, 71, 92, 100, and 86, what score would it take to complete, in the sixth tent, goal 93?	98	95
206	Michael likes to run fast. Every week he runs at least 5 times at a speed of 25 kilometers per hour. He did it for four weeks, when he first started running twice a week, but 60 kilometers per hour, he did it for 3 weeks. How many kilometers did Michael run in total?	860	michael ran a total of 700 kilometers.
207	A bag of Joe's Halloween candy contains 25 bars of chocolate and 80 apples. Each bar of chocolate is twice the size of an apple. If the bar of chocolate weighs 40 g, what is the weight of the bag of Joe's candy?	2600	the weight of the bag of joe's candy is 5,000 g.
208	Alternatively, Rose went to buy 4 cakes in one store. However, she bought 3 times more than she bought in another store. However, she went to another store and bought there 5 times more than she bought cakes. How much did she buy in a cake in 3 days?	76	rose bought 44 cakes in 3 days.
209	Two dozen packs of 12 cups cost $1,200 each. That's more than half the price of a palace dozen, which costs $6,000 each. How about a cup?	145	$50
210	Sarah wants to buy a new vest and 2 pairs of shoes. The vest she chooses is worth $30 and the pair of shoes are worth $20. Sarah works at her neighbor's house 4 times a week, earning her $5 a day. Her parents give her $4 every time she makes a dress with a wig. If Sarah saves $10 she'll start a baby shower. How much does a dress with a wig cost to buy a vest and shoes?	10	$14
211	Jerry hunts a tiger. Red tigers hunt three tigers a day, white tigers hunt five a day. Jerry hunts 42 tigers a day. If the number of white tigers is more than the number of red tigers, how many red tigers are there?	4	6
212	Gary likes to walk along the edge of an area that has a curve of 1.5 meters on a circle of 6. If he walks 3 meters per hour, how long will it take him to walk?	5	2 hours
213	At the one-dollar store, Sloane had 100 customers come in. The next day, there were 50 more customers than the previous day. If on the third day the number of customers was 500, how many customers did she lose that day?	250	0
214	There are two reservoirs, both of which have a source of polluted water, and each of them receives 4 cubic meters of water. During the passage of 4 cubic meters, the volume of the larger reservoir is equal to the volume of the smaller reservoir. Here, it is equal to 4. What is the volume of the smaller reservoir now?	8	8 cubic meters
215	Lori is willing to pay $32,000 for a pair of shoes and $32,000 for a pair of jeans. Her salary is $8.00 per hour. How many hours does she have to work to pay for these shoes?	44	4,000 hours
216	Janet owed $2,000 and then promised to pay back 10% of what she owed. If she owed $165 a month for 12 months, how much money would Janet have left over?	220	$1,020
217	There are 4 floors in the lake and 7 other floors that are not related to the floors. How many floors are there in the lake?	15	4 floors
218	Adrian's age is three times that of Harriet, who is about half the age of Zack. What are the ages of these three and these three, given that Harriet is 21 years old?	45	adrian is 63 years old, harriet is 21 years old, and zack is approximately 42 years old.
219	Naomi scored 68. Yuri scored 10 points higher than Naomi's average, and Brianna scored 17 points higher than Naomi. How many points did Jojo score?	54	you haven't provided information on how many points jojo scored.
220	Sister Carmen did 10 puzzles to end a sentence (it's a poem), 5 puzzles for a Sudoku poem. Between a chicken and a bear, she traveled 3 different languages and 8 different Sudoku languages. How many hours did she spend on these puzzles?	70	the information provided does not allow for a calculation of the number of hours spent on these puzzles.
221	A water tank produces 120 litres of water. Céline uses 90 litres to water the parched garden. She then collects twice as much rainfall. How many litres of water is left in the tank now?	90	150 litres
222	Andy has planted 90 geraniums and 40 petaniums in addition to the geraniums . How many of these beautiful trees has he planted in total ?	140	130
223	A company office earns 15000$ in advertising revenue in a year, and then earns money from the company that took it over in a year. How much has the office earned in advertising revenue in two years?	20000	$30,000
224	Carlos and Benji are in the office. Carlos rented an office for $30 an hour. Benji rented a big boat for $18 an hour. If Carlos uses a big boat for three hours, and Benji uses his boat for five hours, how much money do they make?	180	this question does not provide enough information to determine how much money carlos and benji make, as it only specifies the cost of renting an office and a boat, not any income they might generate from using these.
225	André is planning a trip to New Jersey from Rochester. It will take him 6 days to travel on empty shoulders and half an hour to travel on empty shoulders. How long will it take him to travel to Rochester with empty shoulders and return empty-handed?	9	6 days and 1 hour
226	James collects Pokémon cards. There are 30 of them from indigenous peoples, 20 from herb-speaking peoples and 40 from water-speaking peoples. If he loses 8 of the water-speaking peoples and then buys 14 of the herb-speaking peoples, what is the probability that he chooses, without thinking, a water-speaking peoples?	33	\[ \frac{32}{96} \]
227	When he was young, Chad bought a burrito. The burrito cost 6,50 §. He added meat costing 2 §, 1,00 § cheese, 1,00 § avocado and 2 sausages costing 0,25 § sausage. He chose the best price, which was more than 3,00 §, so he could add some fries and a snack. He received a 5,00 § complimentary card upon completion of the purchase.	9	11.00 §
228	Kalinda tries to solve a 360-degree puzzle with her mother. She can put 4 pieces of the puzzle together. Her mother puts a new piece together twice each time. How long does it take to put the puzzle together?	1	it takes 5 turns to put the puzzle together.
229	Ashlyn went to the farm for two months. She found that about 30% of the chickens we had raised were able to be weaned, so she took them home. When she returned, two weeks later, she weaned the rest of the chickens, which was 3/4 of the chickens we had raised. How many of the chickens hadn't been weaned for two weeks?	21	70% of the chickens hadn't been weaned for two weeks.
230	Marc bought 12 sets of shoes for his company's offices. Each pair was worth 20000§. He paid the shoes 10% of the leempo, and added another 1000 § for each pair of shoes. How much did it all cost?	276,000	276,000§
231	Kylie and Robert are constantly making cookies in the kitchen. Altogether, Kylie has made 5 more cookies than Robert. Robert has 20 more cookies. For example, Kylie's cookie count is twice as high as his cookie count. How many cookies does Kylie make?	50	kylie makes 40 cookies.
232	He went to the orchard to look for apples. He noticed that the number of apples in the orchard was twice the number of apples in the orchard. If he found 50 apples, what would be the number of apples in the orchard?	75	100 apples
233	There are 36 penguins bathing in the pool. Three of them swim in the sea. The other three go to the cliffs to feed. How many penguins continue to bathe in the pool?	12	30 penguins continue to bathe in the pool.
234	Steve wants to eat more tomatoes, so he decides to eat tomatoes and cherries. His diet consists of twice his normal diet of 6 per day. If it is assumed that one tomato will produce 3 tomatoes per week, how many tomatoes will it take?	21	it will take 4 tomatoes.
235	Jean buys pizzas to share with her friends. She has 20 friends, and Jean wants one of them to have four portions. If the pizzas are equally divided into 8 portions, how many pizzas should Jean buy?	10	jean should buy 3 pizzas.
236	Ram uses a variety of bikes. He figured out how to save money by mixing the ingredients of five finished bikes to make a full bike. If he had to buy 25 bikes he uses to make new bikes when they were finished, how many bikes would he have?	31	45 bikes
237	Johnny took his $20 bill, and added $10 to it. After he worked on the bill, the bill tripled in a year. How much money did he make in a year?	90	$90
238	Marie has been married to Jeanne for two years. She has been married to Jessa for ten years. If Jessa is 20 years old, how old are the girls?	68	marie is 30 years old, jeanne's age is unspecified, and jessa is 20 years old.
239	The building has 3 entrances and exits A, B and C. If, for example, before an assembly, 30% of the students leave through door A, 3/5 exit through door B, the rest exit through door C, how many students leave through door C?	280	10% of the students leave through door c.
240	Jacques has 6 points more than Robert. Jean has twice as many as Robert. If Jean has 54 points, how many points does she have more than Jacques?	21	24 points
241	Dolly has two books. Pandora has only one book. If Dolly and Pandora each read each other's books and their own books, how many books would they list in a row?	6	6 books
242	Mike was the brother of five people, and soon he was the brother of two. The others sent him a letter for five dollars a week. His response to them was the same. If he could write a letter for six dollars a week, how long would it take him to write it?	3	it would still take him a week to write the letter.
243	Jason has a likeness of 1000 likenesses each month. Each day, he joins his likeness for 15 likenesses, and this month, he joins 300 likenesses of other people. How many likenesses does Jason have if the month is 30 days long?	250	jason has 1450 likenesses.
244	Griffin scored 24 points, but Kyle scored 5 points. Billy's score was second to Kyle's. Ginger gave Griffin an extra point, especially since Colby scored 3 points less than Kyle's. If, in the end, Griffin had 27 points, how many points did Ginger give Griffin?	20	3 points
245	There are 4 fish in one tank and 32 in the other. The difference in the number of fish in each tank is twice the number of fish in the tank. How many fish are in each tank?	7	18 fish in one tank, 36 fish in the other.
246	Jeanne was paid $250 per hour by her director. She needed a professional director for one of her films, which took her 6 hours a day. She had to do it 4 times a week. The film lasted 5 weeks. When the film was finished, the director reduced Jeanne's salary by 10% because of the limitations of her work.	27000	$54,000
247	Isabelle purchased items for her sister's birthday party. The total amount she received was $12 for the luggage to the cat, $43 for the birthday party, $15 for the beauty pageant, $4 for the gifts and $22 for the bags we made and gave to the guests. She divided the purchase into three parts between herself and her family. How much did each person pay?	32	$32
248	An executive bought four bags of soap worth fifteen pounds each. If a pound of soap is worth $1.50, how much is it worth?	300	$90
249	Altogether, Sue ate four times as many cookies as her brother. Altogether, she ate twice as many cookies as her brother. Altogether, her brother ate five cookies in the morning and thirteen cookies in the morning. If one cookie has two hundred fruits, how many fruits does Sue eat more than her brother?	5,600	18,000 fruits
