question	choices	answer	subject	command_r	prompt
Ni iki muri ibi bikurikira cyaba gituma habaho imidugudu yabantu benshi nabantu benshi batuye ku nkombe zinyanja no ku migezi? 	['Ikirere cyinyanja ya Mediterane  ', 'Amashyamba make  ', 'Ukwiyongera kwinganda zikora ibintu  ', 'Kwinjira mu nzira zubucuruzi  ']	D	high_school_geography	A) Ikirere cyinyanja ya Mediterane	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about high_school_geography. Return the correct option only
user: Ni iki muri ibi bikurikira cyaba gituma habaho imidugudu yabantu benshi nabantu benshi batuye ku nkombe zinyanja no ku migezi? 
 A)Ikirere cyinyanja ya Mediterane   B)Amashyamba make   C)Ukwiyongera kwinganda zikora ibintu   D)Kwinjira mu nzira zubucuruzi  "
Icyiciro cya mbere cyimpinduka mu mibare yabaturage  	['umubare munini wabana bavuka, ariko umubare wabapfa ukagenda uhinduka.', 'igabanuka ryumubare wabana bavuka numubare wabapfa ukomeje kwiyongera.', 'umubare muto wabana bavuka ariko umubare munini wabapfa ukomeza kwiyongera.', 'umubare munini wabana bavuka ariko umubare wabapfa ugabanuka.']	A	high_school_geography	C) igabanuka ryumubare wabana bavuka numubare wabapfa ukomeje kwiyongera.	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about high_school_geography. Return the correct option only
user: Icyiciro cya mbere cyimpinduka mu mibare yabaturage  
 A)umubare munini wabana bavuka B)ariko umubare wabapfa ukagenda uhinduka. C)igabanuka ryumubare wabana bavuka numubare wabapfa ukomeje kwiyongera. D)umubare muto wabana bavuka ariko umubare munini wabapfa ukomeza kwiyongera."
Ni iyihe mibare yabaturage itubwira igipimo cyuburumbuke aho umubare wabana bazavuka uzaba uhagije kugira ngo usimbure ababyeyi no kwishyura impfu zabana bapfa bakiri bato? 	"['Umubare wabana bavutse   ', ""Igipimo cyo gusimbuza   Umujyi rwagati n'uturere tuwukikije."", ""Umubare w'abapfa  .  "", 'Umubare wabana bose bavuka   ']"	B	high_school_geography	C)Umubare w'abapfa	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about high_school_geography. Return the correct option only
user: Ni iyihe mibare yabaturage itubwira igipimo cyuburumbuke aho umubare wabana bazavuka uzaba uhagije kugira ngo usimbure ababyeyi no kwishyura impfu zabana bapfa bakiri bato? 
 A)Umubare wabana bavutse    B)Igipimo cyo gusimbuza   Umujyi rwagati n'uturere tuwukikije. C)Umubare w'abapfa  .   D)Umubare wabana bose bavuka   "
Ni irihe dini rifite abayoboke benshi muri Leta Zunze Ubumwe  ZAmerika muri iki gihe? 	['Idini rya Isilamu  ', 'Ubukristo  ', 'Idini ryAbahindu  ', 'Idini ryAbabuda  ']	A	high_school_geography	C	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about high_school_geography. Return the correct option only
user: Ni irihe dini rifite abayoboke benshi muri Leta Zunze Ubumwe  ZAmerika muri iki gihe? 
 A)Idini rya Isilamu   B)Ubukristo   C)Idini ryAbahindu   D)Idini ryAbabuda  "
Akarere ka kure gakoreshwa numujyi kazwi nkikigo cyumujyi wa 	['agace gafite umurongo utukura. ', 'igipimo ntarengwa. ', 'intera', 'mu turere twimbere. ']	D	high_school_geography	B) igipimo ntarengwa	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about high_school_geography. Return the correct option only
user: Akarere ka kure gakoreshwa numujyi kazwi nkikigo cyumujyi wa 
 A)agace gafite umurongo utukura.  B)igipimo ntarengwa.  C)intera D)mu turere twimbere. "
Igisobanuro cyiza cyakarere kumujyi ni 	['Umujyi nuturere twawo twateye imbere.', 'Umujyi rwagati nuturere tuwukikije.', 'Umujyi nakarere kawo.', 'Umujyi rwagati nuturere tuwukikije. ']	B	high_school_geography	D) Umujyi rwagati nuturere tuwukikije.	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about high_school_geography. Return the correct option only
user: Igisobanuro cyiza cyakarere kumujyi ni 
 A)Umujyi nuturere twawo twateye imbere. B)Umujyi rwagati nuturere tuwukikije. C)Umujyi nakarere kawo. D)Umujyi rwagati nuturere tuwukikije. "
Ni irihe dini ryabayeho mbere yandi? 	['Idini ryAbabuda  ', 'Ubukristo  ', 'Idini rya Isilamu  ', 'Idini ryabahindu  ']	D	high_school_geography	C	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about high_school_geography. Return the correct option only
user: Ni irihe dini ryabayeho mbere yandi? 
 A)Idini ryAbabuda   B)Ubukristo   C)Idini rya Isilamu   D)Idini ryabahindu  "
Muri ibi bikurikira, ni ikihe kitagaragara mu mijyi yo ku isi? 	['Imigi yo ku isi yose irimo icyicaro gikuru cyimiryango myinshi yubucuruzi mpuzamahanga.  ', 'Imijyi yisi ihujwe neza nimijyi yisi yo ku rwego rwa kabiri.  ', 'Imigi yo ku isi yose irimo ibiro byinshi byimiryango mpuzamahanga.  ', 'Imijyi yisi iboneka mu gice cyisi cyamajyaruguru nicyiburengerazuba gusa.  ']	D	high_school_geography	C) Imigi yo ku isi yose irimo ibiro byinshi byimiryango mpuzamahanga.	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about high_school_geography. Return the correct option only
user: Muri ibi bikurikira, ni ikihe kitagaragara mu mijyi yo ku isi? 
 A)Imigi yo ku isi yose irimo icyicaro gikuru cyimiryango myinshi yubucuruzi mpuzamahanga.   B)Imijyi yisi ihujwe neza nimijyi yisi yo ku rwego rwa kabiri.   C)Imigi yo ku isi yose irimo ibiro byinshi byimiryango mpuzamahanga.   D)Imijyi yisi iboneka mu gice cyisi cyamajyaruguru nicyiburengerazuba gusa.  "
Ni ubuhe buryo bwo gutwara abantu nibintu bwatumye habaho imijyi ifite imiterere yinyenyeri?  	['Imihanda minini ijya ku bibuga byindege ihuza imigi', 'Imihanda minini ihuza imigi', 'Imihanda ikikije imijyi', 'Imihanda ya gari ya moshi na trolley ituruka muri CBD']	D	high_school_geography	D) Imihanda ya gari ya moshi na trolley ituruka muri CBD	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about high_school_geography. Return the correct option only
user: Ni ubuhe buryo bwo gutwara abantu nibintu bwatumye habaho imijyi ifite imiterere yinyenyeri?  
 A)Imihanda minini ijya ku bibuga byindege ihuza imigi B)Imihanda minini ihuza imigi C)Imihanda ikikije imijyi D)Imihanda ya gari ya moshi na trolley ituruka muri CBD"
Ni mu yihe mijyi yo muri Leta Zunze Ubumwe zAmerika yiburengerazuba wakwitega gusangamo imijyi iteguye? 	['Amazu yimpunzi  ishyaka.', ' Imigi yo mu nkengero zumujyi  ', 'CBDs  ', ' Uturere twinzibacyuho  ']	B	high_school_geography	C) CBDs	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about high_school_geography. Return the correct option only
user: Ni mu yihe mijyi yo muri Leta Zunze Ubumwe zAmerika yiburengerazuba wakwitega gusangamo imijyi iteguye? 
 A)Amazu yimpunzi  ishyaka. B) Imigi yo mu nkengero zumujyi   C)CBDs   D) Uturere twinzibacyuho  "
Ibipimo byuburebure ratitude nuburebure ronjitide ni urugero rwa 	['akarere kagenzurwa.', 'akarere gakora.', 'ahantu nyaburanga.', 'ahantu runaka.']	C	high_school_geography	B) akarere gakora	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about high_school_geography. Return the correct option only
user: Ibipimo byuburebure ratitude nuburebure ronjitide ni urugero rwa 
 A)akarere kagenzurwa. B)akarere gakora. C)ahantu nyaburanga. D)ahantu runaka."
Ishyirahamwe ryubushake ryibihugu bitatu cyangwa birenzeho byemera kureka ubwigenge mu rugero runaka ryitwa 	['gukunda igihugu', 'gusaranganya ububasha.', 'ubutegetsi bwibihugu. ', 'ubwuzuzanye.']	C	high_school_geography	C	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about high_school_geography. Return the correct option only
user: Ishyirahamwe ryubushake ryibihugu bitatu cyangwa birenzeho byemera kureka ubwigenge mu rugero runaka ryitwa 
 A)gukunda igihugu B)gusaranganya ububasha. C)ubutegetsi bwibihugu.  D)ubwuzuzanye."
Ikintu cyingenzi Thomas Malthus yananiwe kumenya mu nyigisho ye yibarura ryabaturage ni 	"[""abaturage bagarukwaho n'uburyo bwabo bwo kubaho.  "", ""Abaturage bose bafite ubushobozi bwo kwiyongera cyane kurusha umuvuduko w'ubwiyongere.  "", ""Intambara n'inzara bigabanya ubushobozi bw'abaturage bwo kubyara.   "", 'ubushobozi bwikoranabuhanga bwo kuzamura ubushobozi bwisi bwo gutwara ibintu.  ']"	D	high_school_geography	B)Abaturage bose bafite ubushobozi bwo kwiyongera cyane kurusha umuvuduko w'ubwiyongere.	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about high_school_geography. Return the correct option only
user: Ikintu cyingenzi Thomas Malthus yananiwe kumenya mu nyigisho ye yibarura ryabaturage ni 
 A)abaturage bagarukwaho n'uburyo bwabo bwo kubaho.   B)Abaturage bose bafite ubushobozi bwo kwiyongera cyane kurusha umuvuduko w'ubwiyongere.   C)Intambara n'inzara bigabanya ubushobozi bw'abaturage bwo kubyara.    D)ubushobozi bwikoranabuhanga bwo kuzamura ubushobozi bwisi bwo gutwara ibintu.  "
Ni ayahe madini abiri ari amadini agera ku bantu bose? 	['Isilamu nidini rya Kiyahudi', 'Idini ryabayahudi niryababuda', 'Abahindu nababuda', 'Ubukristo nidini ryababuda']	D	high_school_geography	C) Abahindu nababuda	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about high_school_geography. Return the correct option only
user: Ni ayahe madini abiri ari amadini agera ku bantu bose? 
 A)Isilamu nidini rya Kiyahudi B)Idini ryabayahudi niryababuda C)Abahindu nababuda D)Ubukristo nidini ryababuda"
Ni iyihe mimerere yo mu mijyi ivuga ko uturere dutuwe nabantu bafite amafaranga menshi yo gukodesha dukura tugana hanze yumujyi,tukagera ku mihanda minini, maze abaturage batagira amafaranga menshi bakagenda biyongera? 	['Icyitegererezo cyakarere gakoraniye hamwe ', ' Icyitegererezo cyahantu', 'Igishushanyo mbonera cyimijyi', ' Icyitegererezo cyurwego']	D	high_school_geography	Icyitegererezo cyakarere gakoraniye hamwe	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about high_school_geography. Return the correct option only
user: Ni iyihe mimerere yo mu mijyi ivuga ko uturere dutuwe nabantu bafite amafaranga menshi yo gukodesha dukura tugana hanze yumujyi,tukagera ku mihanda minini, maze abaturage batagira amafaranga menshi bakagenda biyongera? 
 A)Icyitegererezo cyakarere gakoraniye hamwe  B) Icyitegererezo cyahantu C)Igishushanyo mbonera cyimijyi D) Icyitegererezo cyurwego"
Iyo igihugu gihuje idini ryacyo na leta yacyo, byitwa  	['ubutegetsi bwigitugu.', 'ubutegetsi bwImana.', 'demokarasi.', 'ubutegetsi bwigitugu.']	B	high_school_geography	D) ubutegetsi bwigitugu	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about high_school_geography. Return the correct option only
user: Iyo igihugu gihuje idini ryacyo na leta yacyo, byitwa  
 A)ubutegetsi bwigitugu. B)ubutegetsi bwImana. C)demokarasi. D)ubutegetsi bwigitugu."
Ni irihe dini ryiganje mu Burayi? 	[' Ubukristo ', ' Idini rya Isilamu  ', 'Idini ryabahindu ', 'Imyizerere yibinyabuzima ']	A	high_school_geography	A) Ubukristo	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about high_school_geography. Return the correct option only
user: Ni irihe dini ryiganje mu Burayi? 
 A) Ubukristo  B) Idini rya Isilamu   C)Idini ryabahindu  D)Imyizerere yibinyabuzima "
Ni irihe tsinda ryashyizeho itegeko rya mbere ryemezaga ko abantu batuye mu burasirazuba bwa Leta Zunze Ubumwe zAmerika? 	['Igifaransa ', 'Abongereza (Icyongereza, Scotch-Irish, Welsh, Scottish)', 'Ikirusiya ', ' Igishinwa']	B	high_school_geography	C	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about high_school_geography. Return the correct option only
user: Ni irihe tsinda ryashyizeho itegeko rya mbere ryemezaga ko abantu batuye mu burasirazuba bwa Leta Zunze Ubumwe zAmerika? 
 A)Igifaransa  B)Abongereza (Icyongereza C)Scotch-Irish D)Welsh"
Pyramide yabaturage, cyangwa imiterere yimyaka nibitsina, igaragaza amakuru yose akurikira ku baturage bigihugu Uretse 	['ibyifuzo byabaturage byigihe kizaza mu bijyanye nubwiteganyirize.', 'ingaruka ziterwa no kwiyongera kumubare wabana babyara.', 'ingaruka intambara zigira ku baturage.', ' igishushanyo mbonera cyihuse cyibarurishamibare ryigihugu.']	B	high_school_geography	C) ingaruka intambara zigira ku baturage	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about high_school_geography. Return the correct option only
user: Pyramide yabaturage, cyangwa imiterere yimyaka nibitsina, igaragaza amakuru yose akurikira ku baturage bigihugu Uretse 
 A)ibyifuzo byabaturage byigihe kizaza mu bijyanye nubwiteganyirize. B)ingaruka ziterwa no kwiyongera kumubare wabana babyara. C)ingaruka intambara zigira ku baturage. D) igishushanyo mbonera cyihuse cyibarurishamibare ryigihugu."
Uruzi rwa Rhin rwagaragazaga uruhe rugabano? 	['Ibyimiterere  ', 'Ibyakozwe nabantu  ', 'Ibidukikije  ', 'Ibisigazwa']	C	high_school_geography	B) Ibyakozwe nabantu	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about high_school_geography. Return the correct option only
user: Uruzi rwa Rhin rwagaragazaga uruhe rugabano? 
 A)Ibyimiterere   B)Ibyakozwe nabantu   C)Ibidukikije   D)Ibisigazwa"
Ni ubuhe bwoko bwibikorwa byubukungu bufitanye isano ya bugufi nibidukikije? 	['Icyiciro cya mbere', 'Icya kabiri', 'Amashuri yisumbuye', ' Icya kane ']	A	high_school_geography	C) Amashuri yisumbuye	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about high_school_geography. Return the correct option only
user: Ni ubuhe bwoko bwibikorwa byubukungu bufitanye isano ya bugufi nibidukikije? 
 A)Icyiciro cya mbere B)Icya kabiri C)Amashuri yisumbuye D) Icya kane "
Abenshi mu bakozi bo mu bihugu biri mu nkengero zisi bashobora kuba bakora mu yihe mirimo? 	[' Icyiciro cya mbere', 'Icya kabiri ', 'Amashuri yisumbuye ', 'Icya kane ']	A	high_school_geography	B)Icya kabiri	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about high_school_geography. Return the correct option only
user: Abenshi mu bakozi bo mu bihugu biri mu nkengero zisi bashobora kuba bakora mu yihe mirimo? 
 A) Icyiciro cya mbere B)Icya kabiri  C)Amashuri yisumbuye  D)Icya kane "
Ibikurikira byose ni imirimo itari iyibanze mu mujyi HAMWE  	['umukozi wo mu mujyi ushinzwe kuzimya umuriro.', 'umukozi ushinzwe imibereho myiza yabaturage.', 'igikoresho cyo kumesa', 'Umukozi wo mu ruganda rwimyenda.']	D	high_school_geography	D) Umukozi wo mu ruganda rwimyenda	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about high_school_geography. Return the correct option only
user: Ibikurikira byose ni imirimo itari iyibanze mu mujyi HAMWE  
 A)umukozi wo mu mujyi ushinzwe kuzimya umuriro. B)umukozi ushinzwe imibereho myiza yabaturage. C)igikoresho cyo kumesa D)Umukozi wo mu ruganda rwimyenda."
Amashyirahamwe mpuzamahanga akwirakwiza ibikorwa byayo 	"[""gutunganya ibicuruzwa aho ibiciro by'umusaruro biri hejuru.   "", 'gukora ibikorwa byibaruramari nubushakashatsi aho bishoboka.  ', ' bishingiye ku nyungu zigereranywa.', 'ifite icyicaro gikuru mu bihugu bikiri mu nzira amajyambere.']"	C	high_school_geography	D) ifite icyicaro gikuru mu bihugu bikiri mu nzira amajyambere	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about high_school_geography. Return the correct option only
user: Amashyirahamwe mpuzamahanga akwirakwiza ibikorwa byayo 
 A)gutunganya ibicuruzwa aho ibiciro by'umusaruro biri hejuru.    B)gukora ibikorwa byibaruramari nubushakashatsi aho bishoboka.   C) bishingiye ku nyungu zigereranywa. D)ifite icyicaro gikuru mu bihugu bikiri mu nzira amajyambere."
Muri ibi bikurikira, ni ikihe cyagaragaye ko kigira mu buryo bwibanze mu birebana nimiterere yibidukikije? 	['Igifuniko cyimbitse cyibikoresho bidakabije ', 'Imisozi yibitaka iri ku nkombe zimisozi', 'Imyuzure ihoraho', 'Gukata no kwangirika cyane']	D	high_school_geography	C) Imyuzure ihoraho	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about high_school_geography. Return the correct option only
user: Muri ibi bikurikira, ni ikihe cyagaragaye ko kigira mu buryo bwibanze mu birebana nimiterere yibidukikije? 
 A)Igifuniko cyimbitse cyibikoresho bidakabije  B)Imisozi yibitaka iri ku nkombe zimisozi C)Imyuzure ihoraho D)Gukata no kwangirika cyane"
Muri ibi bikurikira, ni ikihe muri ibi gifite ubushobozi bwo kwihaza mu bikenerwa nibidukikije mu nganda zo muri iki gihe? 	['Leta Zunze Ubumwe zAmerika ', 'U Buyapani', 'U Bufaransa', 'U Bwongereza']	B	high_school_geography	U Bwongereza	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about high_school_geography. Return the correct option only
user: Muri ibi bikurikira, ni ikihe muri ibi gifite ubushobozi bwo kwihaza mu bikenerwa nibidukikije mu nganda zo muri iki gihe? 
 A)Leta Zunze Ubumwe zAmerika  B)U Buyapani C)U Bufaransa D)U Bwongereza"
Imwe mu ngaruka zicyerekezo cyuburasirazuba nuburengerazuba bwimisozi miremire ya Alpine nibibaya byo mu majyaruguru yuburengerazuba nuburayi bwo hagati, ni uko 	"[""Ikumira ikirere cy'inyanja y'u Burayi mu turere two ku nkombe z'inyanja "", 'itanga inzira yitumanaho hagati yamajyepfo namajyaruguru yu Burayi', 'bituma ikirere kimeze nkicyinyanja kigera mu burasirazuba bwu Budage na Polonye ', 'mu buryo bwingirakamaro bubuza abaturage kwimukira hagati yibice byakarere ka Mediterane']"	C	high_school_geography	C)bituma ikirere kimeze nkicyinyanja kigera mu burasirazuba bwu Budage na Polonye	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about high_school_geography. Return the correct option only
user: Imwe mu ngaruka zicyerekezo cyuburasirazuba nuburengerazuba bwimisozi miremire ya Alpine nibibaya byo mu majyaruguru yuburengerazuba nuburayi bwo hagati, ni uko 
 A)Ikumira ikirere cy'inyanja y'u Burayi mu turere two ku nkombe z'inyanja  B)itanga inzira yitumanaho hagati yamajyepfo namajyaruguru yu Burayi C)bituma ikirere kimeze nkicyinyanja kigera mu burasirazuba bwu Budage na Polonye  D)mu buryo bwingirakamaro bubuza abaturage kwimukira hagati yibice byakarere ka Mediterane"
Urusengero rukomeye cyane rwabahindu rwigeze kubakwa, ruri i 	['Umujyi wa Calcutta ', 'Bombay.', 'Kamboje.', 'Ibirwa bya Bali. ']	C	high_school_geography	A	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about high_school_geography. Return the correct option only
user: Urusengero rukomeye cyane rwabahindu rwigeze kubakwa, ruri i 
 A)Umujyi wa Calcutta  B)Bombay. C)Kamboje. D)Ibirwa bya Bali. "
Ni irihe jambo risobanura imbaraga zituma igihugu cyunga ubumwe kandi kikagira imbaraga? 	['Kwirakwizwa', 'Ibya centrifuge', 'Ibisigazwa byibinyabuzima', 'Gushyira imbere amoko ']	C	high_school_geography	C)Ibisigazwa byibinyabuzima	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about high_school_geography. Return the correct option only
user: Ni irihe jambo risobanura imbaraga zituma igihugu cyunga ubumwe kandi kikagira imbaraga? 
 A)Kwirakwizwa B)Ibya centrifuge C)Ibisigazwa byibinyabuzima D)Gushyira imbere amoko "
Ni ayahe magambo akurikira asobanura neza uko S-curve ikoreshwa?  	['Igishushanyo cyubwimukira bwa Bantu', 'Igishushanyo cyubwiyongere bwabaturage kuva bagaragaye bwa mbere ku Isi', 'Igishushanyo cyerekana uburyo imijyi ihuza hamwe hashingiwe ku bunini bwabaturage bayo', 'Igishushanyo kigaragaza igabanuka ryubwiyongere bwabaturage mu bihugu byinshi nyuma yo kwiteza imbere']	D	high_school_geography	C) Igishushanyo cyerekana uburyo imijyi ihuza hamwe hashingiwe ku bunini bwabaturage bayo	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about high_school_geography. Return the correct option only
user: Ni ayahe magambo akurikira asobanura neza uko S-curve ikoreshwa?  
 A)Igishushanyo cyubwimukira bwa Bantu B)Igishushanyo cyubwiyongere bwabaturage kuva bagaragaye bwa mbere ku Isi C)Igishushanyo cyerekana uburyo imijyi ihuza hamwe hashingiwe ku bunini bwabaturage bayo D)Igishushanyo kigaragaza igabanuka ryubwiyongere bwabaturage mu bihugu byinshi nyuma yo kwiteza imbere"
Muri ibi bintu bikurikira, ni ikihe kitabangamiye leta? 	"[""Ibigo by'ubucuruzi mpuzamahanga . .   "", 'Umuryango wubumwe bwu Burayi ', 'Umuryango Mpuzamahanga wubucuruzi  .   ', 'Umuyoboro mwiza wo gutwara abantu nibintu']"	D	high_school_geography	C)Umuryango Mpuzamahanga wubucuruzi	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about high_school_geography. Return the correct option only
user: Muri ibi bintu bikurikira, ni ikihe kitabangamiye leta? 
 A)Ibigo by'ubucuruzi mpuzamahanga . .    B)Umuryango wubumwe bwu Burayi  C)Umuryango Mpuzamahanga wubucuruzi  .    D)Umuyoboro mwiza wo gutwara abantu nibintu"
Amakipe yigihugu yimikino, amabendera, indirimbo zigihugu niminsi mikuru yigihugu, byose bishyigikira 	['gukunda igihugu', 'amadini namadini. ', 'imvururu zishingiye kuri politiki.', 'amakimbirane ashingiye ku mirimo. ']	A	high_school_geography	C) imvururu zishingiye kuri politiki	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about high_school_geography. Return the correct option only
user: Amakipe yigihugu yimikino, amabendera, indirimbo zigihugu niminsi mikuru yigihugu, byose bishyigikira 
 A)gukunda igihugu B)amadini namadini.  C)imvururu zishingiye kuri politiki. D)amakimbirane ashingiye ku mirimo. "
Uko abimukira bamenya amahame, ururimi nimigenzo byigihugu gishya bimukiyemo, byitwa 	['kwihuza', 'kwimakaza umuco', 'guhuza', 'guhuza hamwe']	B	high_school_geography	D) guhuza hamwe	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about high_school_geography. Return the correct option only
user: Uko abimukira bamenya amahame, ururimi nimigenzo byigihugu gishya bimukiyemo, byitwa 
 A)kwihuza B)kwimakaza umuco C)guhuza D)guhuza hamwe"
Muri ibi bikurikira, ni ikihe gishobora kugaragaza neza cyane intera nyakuri iri hagati yisi, icyerekezo nyakuri, ubunini nyakuri nimiterere nyakuri? 	['Igishushanyo cya Mercator', 'Isi yisi  ', 'Igishushanyo cyurusobe', 'Igishushanyo mbonera ']	B	high_school_geography	A)Igishushanyo cya Mercator	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about high_school_geography. Return the correct option only
user: Muri ibi bikurikira, ni ikihe gishobora kugaragaza neza cyane intera nyakuri iri hagati yisi, icyerekezo nyakuri, ubunini nyakuri nimiterere nyakuri? 
 A)Igishushanyo cya Mercator B)Isi yisi   C)Igishushanyo cyurusobe D)Igishushanyo mbonera "
Muri ibi bikurikira, ni ikihe gishobora kubonwa ko ari umwanya wingenzi wo mu rwego rwo hejuru? 	"[""Ububiko bw'ibiribwa bwa Winn-Dixie "", 'Ubucuruzi bwa Mercedes-Benz', 'Iduka ricuruza inkweto', 'Umuganga wumuryango ']"	B	high_school_geography	D)Umuganga wumuryango	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about high_school_geography. Return the correct option only
user: Muri ibi bikurikira, ni ikihe gishobora kubonwa ko ari umwanya wingenzi wo mu rwego rwo hejuru? 
 A)Ububiko bw'ibiribwa bwa Winn-Dixie  B)Ubucuruzi bwa Mercedes-Benz C)Iduka ricuruza inkweto D)Umuganga wumuryango "
Ni uwuhe muhanga mu byubumenyi bwisi wabonye ko imijyi yo muri Leta Zunze Ubumwe zamerika yo mu myaka ya 1920 yari igizwe nimijyana yibyuma byamabuye yagaciro ituruka mu gice cyibanze cyayo? 	['Rostow', 'Umujyi wa Ravenstein', 'Von Thünen ', 'Burgess']	D	high_school_geography	D)Burgess	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about high_school_geography. Return the correct option only
user: Ni uwuhe muhanga mu byubumenyi bwisi wabonye ko imijyi yo muri Leta Zunze Ubumwe zamerika yo mu myaka ya 1920 yari igizwe nimijyana yibyuma byamabuye yagaciro ituruka mu gice cyibanze cyayo? 
 A)Rostow B)Umujyi wa Ravenstein C)Von Thünen  D)Burgess"
Kugira ngo tujye ku ishuri mu gitondo, twese dukurikiza iki nkikerekezo:  	['Igitabo cyitwa Rand-McNally Road Atlas.  ', ' isi yose.', 'Ikarita yinzira.', 'Ikarita yo mu bwenge.']	D	high_school_geography	A) Igitabo cyitwa Rand-McNally Road Atlas	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about high_school_geography. Return the correct option only
user: Kugira ngo tujye ku ishuri mu gitondo, twese dukurikiza iki nkikerekezo:  
 A)Igitabo cyitwa Rand-McNally Road Atlas.   B) isi yose. C)Ikarita yinzira. D)Ikarita yo mu bwenge."
Muri ibi,ikarita ikoresha igipimo gito cyikarita izaba ikarita ya 	"[""ku isi hose. iby'isi. . "", 'Atlanta muri Jeworujiya  ', 'Umuhanda uzwi, mu mugi muto wa Ohio.', 'Leta ya Pennsylvania.']"	A	high_school_geography	D) mu mugi muto wa Ohio	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about high_school_geography. Return the correct option only
user: Muri ibi,ikarita ikoresha igipimo gito cyikarita izaba ikarita ya 
 A)ku isi hose. iby'isi. .  B)Atlanta muri Jeworujiya   C)Umuhanda uzwi D)mu mugi muto wa Ohio."
Umupaka wa mbere washyizweho mbere yuko ubumenyi bwihariye bwibidukikije no gucapa amakarita biboneka bizwi nka 	['Umupaka wicyo gihe. ', 'imipaka yo mu rwego rwa geometriya.', 'Umupaka wibisigazwa.', 'umuganura ukurikira.']	A	high_school_geography	C) Umupaka wibisigazwa	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about high_school_geography. Return the correct option only
user: Umupaka wa mbere washyizweho mbere yuko ubumenyi bwihariye bwibidukikije no gucapa amakarita biboneka bizwi nka 
 A)Umupaka wicyo gihe.  B)imipaka yo mu rwego rwa geometriya. C)Umupaka wibisigazwa. D)umuganura ukurikira."
