question	choices	answer	subject	command_r+	prompt
Sԑ wɔretwe wɔnho dendenden efiri ԑsom nyinaa ho no de sԑn?	['Wiasesԑm', 'Abosomsom', 'woogu biibi ho fi', 'ɔman ho ahohoahoa']	A	high_school_geography	A)Wiasesԑm	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about high_school_geography. Return the correct option only
user: Sԑ wɔretwe wɔnho dendenden efiri ԑsom nyinaa ho no de sԑn?
 A)Wiasesԑm B)Abosomsom C)woogu biibi ho fi D)ɔman ho ahohoahoa"
Mantam nyinaa kyԑ saa su yi GYE SԐ	"['Ahyeԑ', 'nsɛsoɔ a obiara wɔ', 'beaeɛ a ɛben baabi foforɔ ho', ""wombrɛ na w'akyerɛ aseɛ""]"	D	high_school_geography	D)wombrɛ na w'akyerɛ aseɛ	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about high_school_geography. Return the correct option only
user: Mantam nyinaa kyԑ saa su yi GYE SԐ
 A)Ahyeԑ B)nsɛsoɔ a obiara wɔ C)beaeɛ a ɛben baabi foforɔ ho D)wombrɛ na w'akyerɛ aseɛ"
U.S atubra kwan pɔtee ntotoho yi a ԑdi soɔ yi mu bԑn na ԑnnyԑ nokorԑ?	['Asetena a ԑdi kan kosi 1870, Germanfoɔ, Engrisifoɔ, ScotchɛIrishfoɔ, Afrikafoɔ', '1870–1914– Asiafoɔ', '1870–1914– Atɔeɛ ne Anaafoɔ Europefoɔ', '1965–ɛnne mmerɛ mu – Hispanicfoɔ']	B	high_school_geography	A)Asetena a ԑdi kan kosi 1870	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about high_school_geography. Return the correct option only
user: U.S atubra kwan pɔtee ntotoho yi a ԑdi soɔ yi mu bԑn na ԑnnyԑ nokorԑ?
 A)Asetena a ԑdi kan kosi 1870 B)Germanfoɔ C)Engrisifoɔ D)ScotchɛIrishfoɔ"
Nsԑm a ԑwɔ aseԑ ha yi bԑn na ԑnnyԑ su bi a ԑwɔ Afrika nkuro mu?	['Wɔwɔ mantam a ԑkɔ nkan na ahonedie nso wɔ mu', 'Adwuma bebree wɔ hɔ ma ntubrafoɔ a wɔfri nkuraseɛ ɛɛba kuro kɛseɛ mu', 'Wɔwɔ nnwuma mpotam mmiԑnsa soronko', 'Wɔwɔ nhyehyɛeɛ a atu mpɔn']	C	high_school_geography	A)Wɔwɔ mantam a ԑkɔ nkan na ahonedie nso wɔ mu	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about high_school_geography. Return the correct option only
user: Nsԑm a ԑwɔ aseԑ ha yi bԑn na ԑnnyԑ su bi a ԑwɔ Afrika nkuro mu?
 A)Wɔwɔ mantam a ԑkɔ nkan na ahonedie nso wɔ mu B)Adwuma bebree wɔ hɔ ma ntubrafoɔ a wɔfri nkuraseɛ ɛɛba kuro kɛseɛ mu C)Wɔwɔ nnwuma mpotam mmiԑnsa soronko D)Wɔwɔ nhyehyɛeɛ a atu mpɔn"
Ͻman bԑn na ɔnnya mfasoɔ keseԑ wɔ dwadie mu esiane beaeԑe a ԑwɔ?	['Singapore', 'Italy', 'Spain', 'Mongolia']	D	high_school_geography	D) Mongolia	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about high_school_geography. Return the correct option only
user: Ͻman bԑn na ɔnnya mfasoɔ keseԑ wɔ dwadie mu esiane beaeԑe a ԑwɔ?
 A)Singapore B)Italy C)Spain D)Mongolia"
Wɔ ɔfa bԑn wɔ Burgess kanko beaeԑe nhwԑsoɔ yi na baako bԑhu adan papa, ankonam abusua adan, anaa sԑ adan a wɔde han a ne boɔ wɔ soro paa?	['Deԑ ԑdi kan', 'Deԑ ԑtɔ so mmienu', 'Deԑ ԑtɔ so mmiԑnsa', 'Deԑ ԑtɔ so nnan']	C	high_school_geography	D)Deԑ ԑtɔ so nnan	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about high_school_geography. Return the correct option only
user: Wɔ ɔfa bԑn wɔ Burgess kanko beaeԑe nhwԑsoɔ yi na baako bԑhu adan papa, ankonam abusua adan, anaa sԑ adan a wɔde han a ne boɔ wɔ soro paa?
 A)Deԑ ԑdi kan B)Deԑ ԑtɔ so mmienu C)Deԑ ԑtɔ so mmiԑnsa D)Deԑ ԑtɔ so nnan"
Adwenkyerԑ a ԑse nipakuo biara nyini wɔ sikasԑm mu wɔ ԑnyini ho anammɔn-num nhwԑsoɔ no firi hwana hɔ	['Rostow.', 'Ravenstein.', 'von Thünen.', 'Burgess.']	A	high_school_geography	C)von Thünen.	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about high_school_geography. Return the correct option only
user: Adwenkyerԑ a ԑse nipakuo biara nyini wɔ sikasԑm mu wɔ ԑnyini ho anammɔn-num nhwԑsoɔ no firi hwana hɔ
 A)Rostow. B)Ravenstein. C)von Thünen. D)Burgess."
Deԑ ԑdi soɔ yi mu bԑn na w’ɔnfa no sԑ akwansideԑ ma amammerԑ su nterԑeԑ?	['Kasa', 'Ԑsom', 'Ԑpo', 'Temanmufoɔ a wɔgye nipa']	D	high_school_geography	D) Temanmufoɔ a wɔgye nipa	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about high_school_geography. Return the correct option only
user: Deԑ ԑdi soɔ yi mu bԑn na w’ɔnfa no sԑ akwansideԑ ma amammerԑ su nterԑeԑ?
 A)Kasa B)Ԑsom C)Ԑpo D)Temanmufoɔ a wɔgye nipa"
Ͻkwan a nipa bi bԑtu aba nipa foforo bi man so na w’abԑdi wɔn adeԑ yԑ ԑkwan a ԑfa ntubra ho na wɔbԑtumi akyerԑ mu yie sԑ	"['Wɔn a wabԑtena hɔ foforo no bԑbubu na wasi adan', ""wɔn a w'aba foforɔ no tumi ne wɔn a wɔwɔ hɔ deda no tena asomdwoeԑ mu "", ""wɔn a w'aba foforɔ no tumi de wɔnho fra wɔn a wɔwɔ hɔ deda no yie "", ""wɔn a w'aba foforɔ no tu kɔtena mmeaeɛ a wɔn a wɔwɔ hɔ deda no te""]"	D	high_school_geography	A) Wɔn a wabԑtena hɔ foforo no bԑbubu na wasi adan	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about high_school_geography. Return the correct option only
user: Ͻkwan a nipa bi bԑtu aba nipa foforo bi man so na w’abԑdi wɔn adeԑ yԑ ԑkwan a ԑfa ntubra ho na wɔbԑtumi akyerԑ mu yie sԑ
 A)Wɔn a wabԑtena hɔ foforo no bԑbubu na wasi adan B)wɔn a w'aba foforɔ no tumi ne wɔn a wɔwɔ hɔ deda no tena asomdwoeԑ mu  C)wɔn a w'aba foforɔ no tumi de wɔnho fra wɔn a wɔwɔ hɔ deda no yie  D)wɔn a w'aba foforɔ no tu kɔtena mmeaeɛ a wɔn a wɔwɔ hɔ deda no te"
Deԑ ԑdi soɔ yi mu bԑn na ԑkyerԑ nkyerԑmu a ԑwɔ mantam a ԑyԑ adwumu?	['Akyerԑkyerԑkwan a ԑkyerԑ Atlanta sԑ beaeԑ a Delta Airlines di dwuma', 'Nsԑmtwerԑ a ԑkyerԑ beaeԑ a ɔfrԑ no Anaafoɔ no', 'Akwankyerԑadeԑ a ԑkyerԑ Carolina Atifi Afam aman ɔha no', 'Krataatwerɛ a ɛkyerɛ beaeɛ a wɔfrɛ noTwerɛ kronkron Abɔsoɔ no']	A	high_school_geography	D) Krataatwerɛ a ɛkyerɛ beaeɛ a wɔfrɛ noTwerɛ kronkron Abɔsoɔ no	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about high_school_geography. Return the correct option only
user: Deԑ ԑdi soɔ yi mu bԑn na ԑkyerԑ nkyerԑmu a ԑwɔ mantam a ԑyԑ adwumu?
 A)Akyerԑkyerԑkwan a ԑkyerԑ Atlanta sԑ beaeԑ a Delta Airlines di dwuma B)Nsԑmtwerԑ a ԑkyerԑ beaeԑ a ɔfrԑ no Anaafoɔ no C)Akwankyerԑadeԑ a ԑkyerԑ Carolina Atifi Afam aman ɔha no D)Krataatwerɛ a ɛkyerɛ beaeɛ a wɔfrɛ noTwerɛ kronkron Abɔsoɔ no"
Adetɔnbea afoforɔ a ԑbue wɔ dwam kԑseԑ ano no kyerԑ nteԑaseԑ bԑn?	['Ahoɔden a ԑtwe nneԑma bԑn wɔnho adwenkyerԑ', 'Kwan ntam porɔeɛ', 'Aboafoɔ', 'Anamɔntuo ntɛnkyea']	D	high_school_geography	A)Ahoɔden a ԑtwe nneԑma bԑn wɔnho adwenkyerԑ	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about high_school_geography. Return the correct option only
user: Adetɔnbea afoforɔ a ԑbue wɔ dwam kԑseԑ ano no kyerԑ nteԑaseԑ bԑn?
 A)Ahoɔden a ԑtwe nneԑma bԑn wɔnho adwenkyerԑ B)Kwan ntam porɔeɛ C)Aboafoɔ D)Anamɔntuo ntɛnkyea"
Kuro akԑseԑ adwumayԑkuo wɔ Europe awoɔ no de dԑn ho mfitiaseԑ na ԑbaaԑ	['Akuayԑ Nsesaԑ a edi kan', 'Akuayԑ Nsesaԑ a ԑtɔ so mmienu', 'Akuayԑ Nsesaԑ a ԑtɔ so mmiԑnsa', 'Akuayԑ Nsesaԑ a ԑtɔ so nnan']	B	high_school_geography	D)Akuayԑ Nsesaԑ a ԑtɔ so nnan	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about high_school_geography. Return the correct option only
user: Kuro akԑseԑ adwumayԑkuo wɔ Europe awoɔ no de dԑn ho mfitiaseԑ na ԑbaaԑ
 A)Akuayԑ Nsesaԑ a edi kan B)Akuayԑ Nsesaԑ a ԑtɔ so mmienu C)Akuayԑ Nsesaԑ a ԑtɔ so mmiԑnsa D)Akuayԑ Nsesaԑ a ԑtɔ so nnan"
Asԑm a ԑdi soɔ yi mu bԑn a ԑfa Asia Atɔԑ afam adwumayԑ mantam no na ԑyԑ nokawre?	"['Japan wɔ deԑ efiri abɔdeԑ mu mmoano a ԑdi mu', 'China nni abɔdeԑ mu nneԑma nanso wɔwɔ nipadɔm a ԑtumi yԑ nsano nnwuma', 'China de mfidiennwuma bebree ԑԑba hɔ ntԑmntԑm', ""Taiwan nni  mfidiennwuma nnwumakuo ne adwuamayɛfoɔ a w'akɔ sukuu""]"	C	high_school_geography	D)Taiwan nni  mfidiennwuma nnwumakuo ne adwuamayɛfoɔ a w'akɔ sukuu	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about high_school_geography. Return the correct option only
user: Asԑm a ԑdi soɔ yi mu bԑn a ԑfa Asia Atɔԑ afam adwumayԑ mantam no na ԑyԑ nokawre?
 A)Japan wɔ deԑ efiri abɔdeԑ mu mmoano a ԑdi mu B)China nni abɔdeԑ mu nneԑma nanso wɔwɔ nipadɔm a ԑtumi yԑ nsano nnwuma C)China de mfidiennwuma bebree ԑԑba hɔ ntԑmntԑm D)Taiwan nni  mfidiennwuma nnwumakuo ne adwuamayɛfoɔ a w'akɔ sukuu"
Asԑm a ԑdi soɔ yi mu bԑn na ԑkyere Amanaman Nkabom kuo no ase yie?	['UN no wɔ apolisifoɔ kuo a ԑwɔ wiase nyinaa', 'wɔn a wɔka kuo no ho gyaa wɔn tumidie mu ma UN no', 'UN hyɛ wiase mmara mu kena', 'UN no tae de wɔnho gye wiase ntɔkwa mu']	D	high_school_geography	D)UN no tae de wɔnho gye wiase ntɔkwa mu	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about high_school_geography. Return the correct option only
user: Asԑm a ԑdi soɔ yi mu bԑn na ԑkyere Amanaman Nkabom kuo no ase yie?
 A)UN no wɔ apolisifoɔ kuo a ԑwɔ wiase nyinaa B)wɔn a wɔka kuo no ho gyaa wɔn tumidie mu ma UN no C)UN hyɛ wiase mmara mu kena D)UN no tae de wɔnho gye wiase ntɔkwa mu"
Deԑ ԑdi soɔ yi mu bԑn na ԑyԑ mantam a w’agye atomu?	['Dixie', 'Pennsylvania', 'Winn Dixie dwam', 'Pacific Atifi Apueɛ afam']	B	high_school_geography	Pennsylvania	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about high_school_geography. Return the correct option only
user: Deԑ ԑdi soɔ yi mu bԑn na ԑyԑ mantam a w’agye atomu?
 A)Dixie B)Pennsylvania C)Winn Dixie dwam D)Pacific Atifi Apueɛ afam"
Sԑ wɔɔboa ndwuma adeyԑ nyinaa ano ne nipa ntam kwan na ԑho aba mfasoɔ ama oibara no de sԑn	['Nsiananmu gyidie fapem', 'Nneɛma ntetemu', 'Nneɛma nkabom', 'adansie']	C	high_school_geography	D)adansie	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about high_school_geography. Return the correct option only
user: Sԑ wɔɔboa ndwuma adeyԑ nyinaa ano ne nipa ntam kwan na ԑho aba mfasoɔ ama oibara no de sԑn
 A)Nsiananmu gyidie fapem B)Nneɛma ntetemu C)Nneɛma nkabom D)adansie"
Kasa abusua bԑn na ԑwɔ Italy, Spain, Portugal ne Romania foɔ kasa?	['Europeni', 'Slavic', 'Germanic', 'Romance']	D	high_school_geography	D)Romance	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about high_school_geography. Return the correct option only
user: Kasa abusua bԑn na ԑwɔ Italy, Spain, Portugal ne Romania foɔ kasa?
 A)Europeni B)Slavic C)Germanic D)Romance"
Ankara, Turkey and Islamabad, Pakistan mmienu yi nyinaa yԑ nhwԑsoɔ ma	"['Kuro a ԑwɔ serԑ so', ""Ahenkuro a ɛtu kɔ n'anim"", 'nkoayɛ berɛ ahenkuro deda ', 'Nkuro a ɛtwe kora']"	B	high_school_geography	C)nkoayɛ berɛ ahenkuro deda	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about high_school_geography. Return the correct option only
user: Ankara, Turkey and Islamabad, Pakistan mmienu yi nyinaa yԑ nhwԑsoɔ ma
 A)Kuro a ԑwɔ serԑ so B)Ahenkuro a ɛtu kɔ n'anim C)nkoayɛ berɛ ahenkuro deda  D)Nkuro a ɛtwe kora"
Deԑ ԑdi soɔ yi mu bԑn na ԐNNYԐ nhwԑsoɔ ma ɔkwan a ɔfaso ka gyidie ne adwene ahoroɔ bɔ mu?	"['Halloween', ""Ahɔhoɔ aduane a w'asesa no sɛneɛ Amerikafoɔ kɔn bɛdɔ"", 'Hasidic Judaism', 'Katolik som wɔ Louisiana']"	C	high_school_geography	D) Katolik som wɔ Louisiana	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about high_school_geography. Return the correct option only
user: Deԑ ԑdi soɔ yi mu bԑn na ԐNNYԐ nhwԑsoɔ ma ɔkwan a ɔfaso ka gyidie ne adwene ahoroɔ bɔ mu?
 A)Halloween B)Ahɔhoɔ aduane a w'asesa no sɛneɛ Amerikafoɔ kɔn bɛdɔ C)Hasidic Judaism D)Katolik som wɔ Louisiana"
Adwenekyerԑ a ԑbaa sԑ nipa biara a na ɔwɔ tumi wɔ Europe asaase so na ɔbԑdi wiase so no de sԑn?	['Tumi a efiri nipa kԑseԑ kɔ nipa ketewa hɔ adwenekyerԑ', 'nneɛma ntoatoasoɔ ho adwenkyerɛ', 'heartland adwenkyerɛ', 'rimland adwenekyerɛ']	C	high_school_geography	D)rimland adwenkyerɛ	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about high_school_geography. Return the correct option only
user: Adwenekyerԑ a ԑbaa sԑ nipa biara a na ɔwɔ tumi wɔ Europe asaase so na ɔbԑdi wiase so no de sԑn?
 A)Tumi a efiri nipa kԑseԑ kɔ nipa ketewa hɔ adwenekyerԑ B)nneɛma ntoatoasoɔ ho adwenkyerɛ C)heartland adwenkyerɛ D)rimland adwenekyerɛ"
Kuo bԑn na ԑgyina hɔ ma Persia (Iran) nsonsonoeԑ a ԑwɔ Nkramosom mo na wɔgye di sԑ tumi a ԑfri Onyankopɔn hɔ sԑ Imam no ԑnfom no yԑ wɔn a wɔyԑ Ali asefoɔ?	['Sunni', 'Shiite', 'Imam', 'Deɛ wɔnfa wɔnsa nka wɔn']	B	high_school_geography	Shiite	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about high_school_geography. Return the correct option only
user: Kuo bԑn na ԑgyina hɔ ma Persia (Iran) nsonsonoeԑ a ԑwɔ Nkramosom mo na wɔgye di sԑ tumi a ԑfri Onyankopɔn hɔ sԑ Imam no ԑnfom no yԑ wɔn a wɔyԑ Ali asefoɔ?
 A)Sunni B)Shiite C)Imam D)Deɛ wɔnfa wɔnsa nka wɔn"
Mmɔho nsunsuansoɔ no yԑ	['Wɔde adwumayԑfoɔ a wɔnka fapem no ho bԑka kuro kԑseԑ a wɔde adwumayԑfoɔ a wɔka fapem no ho bebree aka ho', 'Ntotoho a ɛwɔ nkuraseɛ ne kurokɛseɛ adwumayɛfoɔ wɔ ɔman no mu', 'Ntotoho a ɛwɔ kurom adwumayɛfoɛ ne akuafoɔ wɔ ɔman no mu', 'Nkuraseɛ nnwuma a ebi abɛka ho esiane kurokɛseɛ sikasɛm mu']	A	high_school_geography	D)Nkuraseɛ nnwuma a ebi abɛka ho esiane kurokɛseɛ sikasɛm mu	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about high_school_geography. Return the correct option only
user: Mmɔho nsunsuansoɔ no yԑ
 A)Wɔde adwumayԑfoɔ a wɔnka fapem no ho bԑka kuro kԑseԑ a wɔde adwumayԑfoɔ a wɔka fapem no ho bebree aka ho B)Ntotoho a ɛwɔ nkuraseɛ ne kurokɛseɛ adwumayɛfoɔ wɔ ɔman no mu C)Ntotoho a ɛwɔ kurom adwumayɛfoɛ ne akuafoɔ wɔ ɔman no mu D)Nkuraseɛ nnwuma a ebi abɛka ho esiane kurokɛseɛ sikasɛm mu"
Hindufoɔ nnwoma kronkron no de sԑn	['Talmud.', 'Nyame Asem', 'Torah.', 'Veda.']	D	high_school_geography	D)Veda.	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about high_school_geography. Return the correct option only
user: Hindufoɔ nnwoma kronkron no de sԑn
 A)Talmud. B)Nyame Asem C)Torah. D)Veda."
Deԑ ԑdi soɔ yi mu bԑn na ԑyԑ su soronko bi a ԑwɔ Europe Atɔԑ fam kuro?	['Agodibea a ԑwɔ mfimfini', 'Ԑsom dan a ɛyɛ okukudam', 'Ahinanan kɛseɛ a ɛwɛ mfimfini na aban ne ntotoɛ adan atwa ho ahyia', 'Mfie a nebo ɛyɛ den']	C	high_school_geography	D)Mfie a nebo ɛyɛ den	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about high_school_geography. Return the correct option only
user: Deԑ ԑdi soɔ yi mu bԑn na ԑyԑ su soronko bi a ԑwɔ Europe Atɔԑ fam kuro?
 A)Agodibea a ԑwɔ mfimfini B)Ԑsom dan a ɛyɛ okukudam C)Ahinanan kɛseɛ a ɛwɛ mfimfini na aban ne ntotoɛ adan atwa ho ahyia D)Mfie a nebo ɛyɛ den"
Aman a ԑdi soɔ yi mu bԑn na ԑԑbɔ mmɔden paa sԑ wɔbԑbɔ wɔn kasa ne ho ban efiri nkekaԑ biara a Engrisi anaa sԑ kasa foforo biara de bano?	['Italy', 'Russia', 'Japan', 'Brazil']	C	high_school_geography	Japan	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about high_school_geography. Return the correct option only
user: Aman a ԑdi soɔ yi mu bԑn na ԑԑbɔ mmɔden paa sԑ wɔbԑbɔ wɔn kasa ne ho ban efiri nkekaԑ biara a Engrisi anaa sԑ kasa foforo biara de bano?
 A)Italy B)Russia C)Japan D)Brazil"
Deԑ ԑdi soɔ yi mu bԑn na ԑyԑ nhwԑsoɔ ma adwuma a n’adwadeԑ no kɔ soro yie?	['apagyadeɛ', 'Ankaa nsa a ɔde agu toa mu', 'krataa', 'kɔbere']	B	high_school_geography	A)apagyadeɛ	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about high_school_geography. Return the correct option only
user: Deԑ ԑdi soɔ yi mu bԑn na ԑyԑ nhwԑsoɔ ma adwuma a n’adwadeԑ no kɔ soro yie?
 A)apagyadeɛ B)Ankaa nsa a ɔde agu toa mu C)krataa D)kɔbere"
Deԑ ԑdi soɔ yi mu bԑn na ԑnnyԑ su bi a ԑwɔ Nneԑma-maneԑ nhyehyԑeԑ beaԑe (EPZ)?	"[""Neԑma kra ho sika tua a w'ate so"", ""Abɔdeԑ mu nneԑma a w'akra a w'antua ho sika na w'ayi"", ""Nneԑma a ԑtra hyeԑ bi ho sikatua a w'ayi efiri mu"", ""Fiiyɛ mmara a w'ahyɛ no ketee""]"	D	high_school_geography	D)Fiiyɛ mmara a w'ahyɛ no ketee	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about high_school_geography. Return the correct option only
user: Deԑ ԑdi soɔ yi mu bԑn na ԑnnyԑ su bi a ԑwɔ Nneԑma-maneԑ nhyehyԑeԑ beaԑe (EPZ)?
 A)Neԑma kra ho sika tua a w'ate so B)Abɔdeԑ mu nneԑma a w'akra a w'antua ho sika na w'ayi C)Nneԑma a ԑtra hyeԑ bi ho sikatua a w'ayi efiri mu D)Fiiyɛ mmara a w'ahyɛ no ketee"
Deԑ ԑdi soɔ yi mu bԑn na ԑnnyԑ su a ԑyԑ nokorԑ fa ɔman ho?	['beaeɛ a ɛde neho', 'amanaman nyinaa gye to mu', 'Ahyeɛ', 'ɔman kasa']	D	high_school_geography	D)ɔman kasa	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about high_school_geography. Return the correct option only
user: Deԑ ԑdi soɔ yi mu bԑn na ԑnnyԑ su a ԑyԑ nokorԑ fa ɔman ho?
 A)beaeɛ a ɛde neho B)amanaman nyinaa gye to mu C)Ahyeɛ D)ɔman kasa"
Woreyԑ w’adwene sԑ woretu efiri wo kurom akɔ Pittsburg. Wɔ kwan no so no, wogyinaa wɔ Columbus, Ohio sԑ worekɔsra w’abusuani na wote hwee kuro ne dɔ mu! Woyԑ w’adewne sԑ wo bԑtena hɔ na wode Columbus ayԑ wo kuro foforɔ. Yei yԑ nhwԑsoɔ ma	['Akwanya a ɛbesi mu', 'Kwan ntam porɔeɛ', 'Ntubra a ɛnfiri ɔpɛ mu', 'mpia ne ntweɛ adeɛ']	A	high_school_geography	A)Akwanya a ɛbesi mu	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about high_school_geography. Return the correct option only
user: Woreyԑ w’adwene sԑ woretu efiri wo kurom akɔ Pittsburg. Wɔ kwan no so no, wogyinaa wɔ Columbus, Ohio sԑ worekɔsra w’abusuani na wote hwee kuro ne dɔ mu! Woyԑ w’adewne sԑ wo bԑtena hɔ na wode Columbus ayԑ wo kuro foforɔ. Yei yԑ nhwԑsoɔ ma
 A)Akwanya a ɛbesi mu B)Kwan ntam porɔeɛ C)Ntubra a ɛnfiri ɔpɛ mu D)mpia ne ntweɛ adeɛ"
Dwumadiebea a aboa ano wɔ faako ne asaase a wɔde di dwa a enni kurom mfimfin na nnwuma bebree wɔ hɔ kyԑn temanmufoɔ no yԑ	['Kuro ketewa', 'Kuro a edi kan', 'Kuro', 'Kuro a ɛwɔ ano']	D	high_school_geography	Kuro a edi kan	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about high_school_geography. Return the correct option only
user: Dwumadiebea a aboa ano wɔ faako ne asaase a wɔde di dwa a enni kurom mfimfin na nnwuma bebree wɔ hɔ kyԑn temanmufoɔ no yԑ
 A)Kuro ketewa B)Kuro a edi kan C)Kuro D)Kuro a ɛwɔ ano"
Nnɔbaeԑ bԑn na ԑhyԑԑ Kuayԑ Nkanyan a ԑtɔ so mmiԑnsa no ase?	['ɛmo', 'Ayuo', 'Atokoɔ', 'Kɔkɔte']	A	high_school_geography	D)Kɔkɔte	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about high_school_geography. Return the correct option only
user: Nnɔbaeԑ bԑn na ԑhyԑԑ Kuayԑ Nkanyan a ԑtɔ so mmiԑnsa no ase?
 A)ɛmo B)Ayuo C)Atokoɔ D)Kɔkɔte"
Adeԑ bԑn wɔ afeha no nkyԑmu nan a etwa toɔ no mu na ԑhinhim Europe Atɔԑ afam fapem no na ԑde abusuakuo ntokwa bebree baaԑ?	['Kasa afoforɔ a wɔde aba mu', 'Ɔko a ɛyɛ nwunu no awieɛ', 'Sovietfoɔ no bɔ wuraa mu no', 'Ɔgyee Europe atɔeɛ aman baa EU no mu']	B	high_school_geography	D)Ɔgyee Europe atɔeɛ aman baa EU no mu	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about high_school_geography. Return the correct option only
user: Adeԑ bԑn wɔ afeha no nkyԑmu nan a etwa toɔ no mu na ԑhinhim Europe Atɔԑ afam fapem no na ԑde abusuakuo ntokwa bebree baaԑ?
 A)Kasa afoforɔ a wɔde aba mu B)Ɔko a ɛyɛ nwunu no awieɛ C)Sovietfoɔ no bɔ wuraa mu no D)Ɔgyee Europe atɔeɛ aman baa EU no mu"
Sԑ mepԑsԑ medԑ agudeԑ bi a ԑsom bo paa mane me sewaa a ɔte Poughkeepsie a, ɔkwan a ɔfaso tu kwan bԑn na nyansa wɔ mu paa?	['Hyɛn kɛseɛ', 'Wiam', 'suhyɛn', 'Keteke kwan']	B	high_school_geography	D)Keteke kwan	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about high_school_geography. Return the correct option only
user: Sԑ mepԑsԑ medԑ agudeԑ bi a ԑsom bo paa mane me sewaa a ɔte Poughkeepsie a, ɔkwan a ɔfaso tu kwan bԑn na nyansa wɔ mu paa?
 A)Hyɛn kɛseɛ B)Wiam C)suhyɛn D)Keteke kwan"
Deԑ edi soɔ yi mu dԑn na ԑyԑ mantam a ԑyԑ dwuma?	['Dixie', 'Pennsylvania', 'Winn-Dixie dwam', 'Pacific Atifi Apueɛ afam']	C	high_school_geography	C)Winn-Dixie dwam	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about high_school_geography. Return the correct option only
user: Deԑ edi soɔ yi mu dԑn na ԑyԑ mantam a ԑyԑ dwuma?
 A)Dixie B)Pennsylvania C)Winn-Dixie dwam D)Pacific Atifi Apueɛ afam"
Kuro nhwԑsoɔ sԑso bԑn na ԑwɔ beaԑe a nnipa te soronko a ԑfiri mfimfini kɔ abɔnten na ԑfa kuro no kwantenpɔn kԑseԑ no so?	['Europe ni', 'Nkramoni', 'Sahara-Aseɛ Africa ni', 'Latin Amerika ni']	D	high_school_geography	C)Sahara-Aseɛ Africa ni	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about high_school_geography. Return the correct option only
user: Kuro nhwԑsoɔ sԑso bԑn na ԑwɔ beaԑe a nnipa te soronko a ԑfiri mfimfini kɔ abɔnten na ԑfa kuro no kwantenpɔn kԑseԑ no so?
 A)Europe ni B)Nkramoni C)Sahara-Aseɛ Africa ni D)Latin Amerika ni"
