question	answer	prompt	gpt_3.5-turbo	verbalized
Inamba enkulu, uPerg, yayihleli phezulu encotsheni yentaba iFarbo, iphefumla umlilo kuyo nantoni na ekumgama oziimitha ezili-1000. UPolly wayenokuyijula intshutshe yegolide, ekuphela kwesixhobo esikwaziyo ukutyhutyha inamba, kumgama oziimitha ezingama-400, kodwa ekufikeleleni kwedangatye lenamba. Kodwa xa uPolly ephethe ilitye le-sapphire, wayenokujula intshutshe umgama ophindwe kathathu kunaxa ebengalibambanga ilitye. Ukuba ubambe ilitye, ngumgama ongakanani ngaphandle kokufikelela kwamadangatye enamba anokwazi ukuma uPolly aze abethe inamba ngentshutshe yegolide?	200	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nInamba enkulu, uPerg, yayihleli phezulu encotsheni yentaba iFarbo, iphefumla umlilo kuyo nantoni na ekumgama oziimitha ezili-1000. UPolly wayenokuyijula intshutshe yegolide, ekuphela kwesixhobo esikwaziyo ukutyhutyha inamba, kumgama oziimitha ezingama-400, kodwa ekufikeleleni kwedangatye lenamba. Kodwa xa uPolly ephethe ilitye le-sapphire, wayenokujula intshutshe umgama ophindwe kathathu kunaxa ebengalibambanga ilitye. Ukuba ubambe ilitye, ngumgama ongakanani ngaphandle kokufikelela kwamadangatye enamba anokwazi ukuma uPolly aze abethe inamba ngentshutshe yegolide?\n'}]	600	600
Umakhulu uJones ubhake iipayi ze-apile ezi-5 zesidlo sasemini sabacimi mlilo. Usike ipayi nganye yangamaqhekeza asi-8 kwaye ubeke iipayi ezintlanu kwitafile ukuze iindwendwe ziziphakele. Ngokuhlwa, emveni kokuuba iindwendwe zithathe kwaye zithathe zatya amaqhekeza eepayi zazo, ayelishumi eline-14 amaqhekeza eepayi awayeshiyekile. Mangaphi amaqhekeza athathwe ziindwendwe?	26	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUmakhulu uJones ubhake iipayi ze-apile ezi-5 zesidlo sasemini sabacimi mlilo. Usike ipayi nganye yangamaqhekeza asi-8 kwaye ubeke iipayi ezintlanu kwitafile ukuze iindwendwe ziziphakele. Ngokuhlwa, emveni kokuuba iindwendwe zithathe kwaye zithathe zatya amaqhekeza eepayi zazo, ayelishumi eline-14 amaqhekeza eepayi awayeshiyekile. Mangaphi amaqhekeza athathwe ziindwendwe?\n'}]	14	14
Ngokolwazi lwayo lwezondlo, ingxowa yeetshipshi ineekhalori ezingama-250. Ukuba isikhwama se-300g sinemiyinge emi-5, zingaphi iigram ongazidla ukuba injongo yekhalori yakho yemihla ngemihla ingama-2000 kwaye sele uchithe ikhalori yama1800?	48	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nNgokolwazi lwayo lwezondlo, ingxowa yeetshipshi ineekhalori ezingama-250. Ukuba isikhwama se-300g sinemiyinge emi-5, zingaphi iigram ongazidla ukuba injongo yekhalori yakho yemihla ngemihla ingama-2000 kwaye sele uchithe ikhalori yama1800?\n'}]	200	200
UCharlie ufuna ukuthengisa amakhandlela eenyosi. Ngeponti nganye yekhandlela leenyosi, unokwenza amakhandlela ali10 acinyiweyo. Iponti enye yealtaksi kunye neentambo zibiza i10.00 leedola. Ukuba uthengisa ikhandlela ngalinye ngeedola ezi2,00 lilinye, iyintoni ingeniso yakhe ukuba wenza aze athengise amakhandlela angama20?	20	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUCharlie ufuna ukuthengisa amakhandlela eenyosi. Ngeponti nganye yekhandlela leenyosi, unokwenza amakhandlela ali10 acinyiweyo. Iponti enye yealtaksi kunye neentambo zibiza i10.00 leedola. Ukuba uthengisa ikhandlela ngalinye ngeedola ezi2,00 lilinye, iyintoni ingeniso yakhe ukuba wenza aze athengise amakhandlela angama20?\n'}]	8	8
UMeredith yibhloga ezimeleyo ebhala ngezihloko zempilo kwaye ithumele kubathengi suku ngalunye njengomsebenzi wakhe osisigxina. Inqaku lebhlogi lithatha umyinge weeyure ezi4 ukuphanda nokubhala. Kwiveki ephelileyo, wabhala amanqaku ama5 ngoMvulo kunye namanqaku angama2/5 ngaphezulu ngoLwesibini kunoMvulo. NgoLwesithathu, wabhala kabini inani lamanqaku awabhale ngoLwesibini. Bala inani lilonke leeyure azichithe ebhala amanqaku ngeentsuku ezintathu.	104	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUMeredith yibhloga ezimeleyo ebhala ngezihloko zempilo kwaye ithumele kubathengi suku ngalunye njengomsebenzi wakhe osisigxina. Inqaku lebhlogi lithatha umyinge weeyure ezi4 ukuphanda nokubhala. Kwiveki ephelileyo, wabhala amanqaku ama5 ngoMvulo kunye namanqaku angama2/5 ngaphezulu ngoLwesibini kunoMvulo. NgoLwesithathu, wabhala kabini inani lamanqaku awabhale ngoLwesibini. Bala inani lilonke leeyure azichithe ebhala amanqaku ngeentsuku ezintathu.\n'}]	12, 5, 2, 8, 6, 10	10
UCandice wafaka amanqaku angama80 esipajini sakhe ngaphambi kokuba aye emsebenzini wakhe kwivenkile yekofu. Endleleni yakhe, wayeka evenkileni wathenga ipakheji yePost-it notes; Emsebenzini, wabeka iPost-it note enye kwikomityi nganye kwiikomityi zekofu ezingama220. Ukuba wayenamanqaku angama23 eposi ashiyekileyo ewonke, mangaphi amanqaku ePost-it awayekwipakethe awayeyithengile?	163	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUCandice wafaka amanqaku angama80 esipajini sakhe ngaphambi kokuba aye emsebenzini wakhe kwivenkile yekofu. Endleleni yakhe, wayeka evenkileni wathenga ipakheji yePost-it notes; Emsebenzini, wabeka iPost-it note enye kwikomityi nganye kwiikomityi zekofu ezingama220. Ukuba wayenamanqaku angama23 eposi ashiyekileyo ewonke, mangaphi amanqaku ePost-it awayekwipakethe awayeyithengile?\n'}]	197	197
UJohn uthenga amaqhina abomvu ngokuphindwe kabini kunamaqhina aluhlaza. Amaqhina abomvu axabisa ama-50% ukwedlula amaqhina aluhlaza. Uchithe i-$200 kumaqhina aluhlaza axabisa ama-$40 ngalinye. Uchithe malini kumaqhina?	800	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUJohn uthenga amaqhina abomvu ngokuphindwe kabini kunamaqhina aluhlaza. Amaqhina abomvu axabisa ama-50% ukwedlula amaqhina aluhlaza. Uchithe i-$200 kumaqhina aluhlaza axabisa ama-$40 ngalinye. Uchithe malini kumaqhina?\n'}]	$80	80
UTracy wasebenzisa iziqwentshana zocingo oluziimitha ezi-4 ubude ukuxhasa izityalo zetumata egadini. Ucingo lwasikwa lwaziziqwentshana ezizi-intshi ezi-6 ubude. Ufumene iziqwentshana ezingaphi?	8	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUTracy wasebenzisa iziqwentshana zocingo oluziimitha ezi-4 ubude ukuxhasa izityalo zetumata egadini. Ucingo lwasikwa lwaziziqwentshana ezizi-intshi ezi-6 ubude. Ufumene iziqwentshana ezingaphi?\n'}]	2	2
URichard uhlala kwisakhiwo esinemigangatho eli-15. Umgangatho ngamnye uneeyunithi ezi-8, kwaye i-3/4 yesakhiwo inabantu. Lithini inani lilonke leeyunithi ezingenabantu kwesisakhiwo?	30	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nURichard uhlala kwisakhiwo esinemigangatho eli-15. Umgangatho ngamnye uneeyunithi ezi-8, kwaye i-3/4 yesakhiwo inabantu. Lithini inani lilonke leeyunithi ezingenabantu kwesisakhiwo?\n'}]	15	15
ULloyd unefama yamaqanda. Iinkukhu zakhe zivelisa amaqanda angama-252 ngosuku kwaye uzithengisa ngeedola ezi-2 ngeshumi elinesibini ngalinye. Wenza malini uLloyd emaqandeni ngeveki?	294	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nULloyd unefama yamaqanda. Iinkukhu zakhe zivelisa amaqanda angama-252 ngosuku kwaye uzithengisa ngeedola ezi-2 ngeshumi elinesibini ngalinye. Wenza malini uLloyd emaqandeni ngeveki?\n'}]	504	504
Inqanawa kaTom inokuhamba ngeekhilomitha ezili-10 ngeyure. Uhamba ngomkhumbi ukusuka ngi-1 ukuya ngoi-4 emva kwemini. Emva koko ubuyela emva ngesatya se-6 mph. Kumthatha ixesha elingakanani ukubuya?	5	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nInqanawa kaTom inokuhamba ngeekhilomitha ezili-10 ngeyure. Uhamba ngomkhumbi ukusuka ngi-1 ukuya ngoi-4 emva kwemini. Emva koko ubuyela emva ngesatya se-6 mph. Kumthatha ixesha elingakanani ukubuya?\n'}]	5	5
Ibhegi yeencwadi ka-Uriya iya imsinda ngamandla. Kufuneka asuse iiphawundi ezili-15 kuyo. Iincwadi zakhe zokuzonwabisa zinobunzima obuyi-1/4 yephawundi nganye yaye izinto zakhe zokudlala zinobunzima obuyi-1/2 yephawundi nganye. Ukuba ususa iincwadi ezihlekisayo ezingama-30, zingaphi izinto zokudlala ekufuneka azisuse?	15	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nIbhegi yeencwadi ka-Uriya iya imsinda ngamandla. Kufuneka asuse iiphawundi ezili-15 kuyo. Iincwadi zakhe zokuzonwabisa zinobunzima obuyi-1/4 yephawundi nganye yaye izinto zakhe zokudlala zinobunzima obuyi-1/2 yephawundi nganye. Ukuba ususa iincwadi ezihlekisayo ezingama-30, zingaphi izinto zokudlala ekufuneka azisuse?\n'}]	15	15
Umkhandi ubiza amaxabiso ahlukeneyo ukulungisa amatayara eelori kunye neemoto. Kwitayara lelori nganye elilungiswayo, umkhandi uhlawulisa i$40. Ngolwesine, umkhandi ulungisa amatayari eelori ezi-6 kunye namatayari eemoto ezi-4. Ngolwesihlanu, umkhandi ulungisa amatayari eemoto ezi-12 kwaye akalungisi nawaphi na amatayari elori. Ingakanani ingeniso efunyenwe ngumkhandi ngemini yengeniso ephezulu?	40	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUmkhandi ubiza amaxabiso ahlukeneyo ukulungisa amatayara eelori kunye neemoto. Kwitayara lelori nganye elilungiswayo, umkhandi uhlawulisa i$40. Ngolwesine, umkhandi ulungisa amatayari eelori ezi-6 kunye namatayari eemoto ezi-4. Ngolwesihlanu, umkhandi ulungisa amatayari eemoto ezi-12 kwaye akalungisi nawaphi na amatayari elori. Ingakanani ingeniso efunyenwe ngumkhandi ngemini yengeniso ephezulu?\n'}]	$200	200
	40	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nnan\n'}]	I'm sorry, I do not understand.	-1
Oodade bakwa-Doubtfire bayagoduka namantshontsho eekati asi-7 abathathe kwindawo yokuhlala izilwanyana yasekuhlaleni xa umama wabo ebatsalela umnxeba ukubaxelela ukuba iikati zabo ezimbini zisandul' ukufumana amantshontsho. Uthi uPatchy, ikati yokuqala, unenani eliphindwe kathathu lamantshontsho athathiweyo, ngeli xa uTrixie, enye ikati, ene-12. Mangaphi amantshonstho usapho lwakwaDoubtfire olunawo ngoku?	14	"[{'role': 'user', 'content': ""Answer only and the answer should only contains integers. \nOodade bakwa-Doubtfire bayagoduka namantshontsho eekati asi-7 abathathe kwindawo yokuhlala izilwanyana yasekuhlaleni xa umama wabo ebatsalela umnxeba ukubaxelela ukuba iikati zabo ezimbini zisandul' ukufumana amantshontsho. Uthi uPatchy, ikati yokuqala, unenani eliphindwe kathathu lamantshontsho athathiweyo, ngeli xa uTrixie, enye ikati, ene-12. Mangaphi amantshonstho usapho lwakwaDoubtfire olunawo ngoku?\n""}]"	5	5
UJean unelolipop ezingama-30. UJean utya ezi-2 zezi lolipop. Ngezi zishiyekileyo iilolipop, uJean ufuna ukupakisha iilolipop ezi-2 kwibhegi enye. Angagcwalisa iibhegi ezingaphi uJean?	3	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUJean unelolipop ezingama-30. UJean utya ezi-2 zezi lolipop. Ngezi zishiyekileyo iilolipop, uJean ufuna ukupakisha iilolipop ezi-2 kwibhegi enye. Angagcwalisa iibhegi ezingaphi uJean?\n'}]	15	15
UPeter uceba ukuya kwiifilimu kule veki. Usoloko efumana itikiti nge-$7 kunye neqhashu nge-$7. Ukuba uneedola ezingama-40 zeveki, angaya amaxesha amangaphi kwiifilimu?	83	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUPeter uceba ukuya kwiifilimu kule veki. Usoloko efumana itikiti nge-$7 kunye neqhashu nge-$7. Ukuba uneedola ezingama-40 zeveki, angaya amaxesha amangaphi kwiifilimu?\n'}]	6	6
Ibholorho yokhuni ayinakuthwala phezu kwe5000 yeephawundi. Ilori yokuthutha ezaliswe ziibhokisi ezifanayo, nganye inobunzima obu-15 leephawundi, iza kudlula phezu kwebhulorho. Ubunzima obudityanisiweyo bomqhubi kunye nelori engenanto bungama-3755 eephawundi. Lithini inani eliphezulu leebhokisi ezinokulayishwa kwilori ngelixa lingagqithiyo kumlinganiselo wobunzima bebhulorho?	57	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nIbholorho yokhuni ayinakuthwala phezu kwe5000 yeephawundi. Ilori yokuthutha ezaliswe ziibhokisi ezifanayo, nganye inobunzima obu-15 leephawundi, iza kudlula phezu kwebhulorho. Ubunzima obudityanisiweyo bomqhubi kunye nelori engenanto bungama-3755 eephawundi. Lithini inani eliphezulu leebhokisi ezinokulayishwa kwilori ngelixa lingagqithiyo kumlinganiselo wobunzima bebhulorho?\n'}]	3750	3750
UStephan wenze i-odolo kwi-intanethi yegrosari. Ityala lakhe lokugqibela lafikela kwi-$40. 00. Ngenxa yokuba oku kwenzeke ngenxa yomthengisi wokuthutha, bathatha umrhumo wama-25% kwimali yakhe yokugqibela iyonke kwaye bamhlawulisa i-$3.00 kwimirhumo yokuhambisa. UStephen naye wongeze i-$4.00 yetip. Emva kweentlawulo ezongezelelweyo, belisithini ixabiso lokugqibela legrosati kaStephen? 	187	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUStephan wenze i-odolo kwi-intanethi yegrosari. Ityala lakhe lokugqibela lafikela kwi-$40. 00. Ngenxa yokuba oku kwenzeke ngenxa yomthengisi wokuthutha, bathatha umrhumo wama-25% kwimali yakhe yokugqibela iyonke kwaye bamhlawulisa i-$3.00 kwimirhumo yokuhambisa. UStephen naye wongeze i-$4.00 yetip. Emva kweentlawulo ezongezelelweyo, belisithini ixabiso lokugqibela legrosati kaStephen? \n'}]	$34	34
Isihlahla samaqunube sinamaqunube ama-6 eziqhamo ezingama-20 lilinye kunye neziqhamo ezingama-67 ezithe saa etyholweni. Mangaphi amaqunube akhoyo ewonke?	17	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nIsihlahla samaqunube sinamaqunube ama-6 eziqhamo ezingama-20 lilinye kunye neziqhamo ezingama-67 ezithe saa etyholweni. Mangaphi amaqunube akhoyo ewonke?\n'}]	47	47
Ingobozi inee-orenje ezingama-25 phakathi kwayo e-1 imbi, ama-20% akavuthwanga, ezi-2 zimuncu kwaye ezinye zilungile. Zingaphi ii-orenji ezilungileyo?	1430	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nIngobozi inee-orenje ezingama-25 phakathi kwayo e-1 imbi, ama-20% akavuthwanga, ezi-2 zimuncu kwaye ezinye zilungile. Zingaphi ii-orenji ezilungileyo?\n'}]	23	23
UJanet uthengela intombi yakhe ibrotshi. Uhlawula i-$500 yezinto zokuyenza kwaye emva koko enye i-$800 yomenzi wamatye ukuba ayakhe. Emva koko, uhlawula i-10% yalo nto kwi-inshurensi. Uhlawule malini?	25000	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUJanet uthengela intombi yakhe ibrotshi. Uhlawula i-$500 yezinto zokuyenza kwaye emva koko enye i-$800 yomenzi wamatye ukuba ayakhe. Emva koko, uhlawula i-10% yalo nto kwi-inshurensi. Uhlawule malini?\n'}]	$1,260	1260
Ukuba uMarcy usebenzela inkampani enye iminyaka engama-40, ufumana umhlalaphantsi wonyaka we-$50. 000 ngonyaka. Eqala emva kweminyaka engama-20, uba nelungelo le-5% yexabiso lomhlalaphantsi ngonyaka, ukuba uyayeka emva kweminyaka engama-30 uza kuthini umhlalaphantsi wakhe wonyaka? 	1596	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUkuba uMarcy usebenzela inkampani enye iminyaka engama-40, ufumana umhlalaphantsi wonyaka we-$50. 000 ngonyaka. Eqala emva kweminyaka engama-20, uba nelungelo le-5% yexabiso lomhlalaphantsi ngonyaka, ukuba uyayeka emva kweminyaka engama-30 uza kuthini umhlalaphantsi wakhe wonyaka? \n'}]	$75,000	75000
UAleena warhuma kwinkonzo yosasazo emhlawulisa i-$140 ngenyanga. Ukuba inkampani yosasazo imhlawulisa isixa sokuqala kwisiqingatha sokuqala sonyaka kwaye emva koko imhlawulise i-10% eyimali encinci kwesinye isiqingatha sonyaka, bala imali yonke ayihlawulileyo kwinkonzo yosasazo ekupheleni konyaka. 	300	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUAleena warhuma kwinkonzo yosasazo emhlawulisa i-$140 ngenyanga. Ukuba inkampani yosasazo imhlawulisa isixa sokuqala kwisiqingatha sokuqala sonyaka kwaye emva koko imhlawulise i-10% eyimali encinci kwesinye isiqingatha sonyaka, bala imali yonke ayihlawulileyo kwinkonzo yosasazo ekupheleni konyaka. \n'}]	$1680	1680
USophia ucinga ukuthatha uhambo ngemoto yakhe, kwaye angathanda ukwazi ukuba angaqhuba umgama omde kangakanani ngetanki enye yerhasi. Uhambe iimayile ezi-100 okoko wagqibelisa ukuzalisa itanki yakhe, kwaye bekufuneka afake iilitha ezi-4 zerhasi ukuze aphinde ayigcwalise kwakhona. Incwadi yomnini wemoto yakhe yokuqala ithi itanki yakhe ibamba iilitha ezi-12 zerhasi. Zingaphi iimayile anokuthi uSophia aziqhube ngetanki elinye lerhasi?	36	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUSophia ucinga ukuthatha uhambo ngemoto yakhe, kwaye angathanda ukwazi ukuba angaqhuba umgama omde kangakanani ngetanki enye yerhasi. Uhambe iimayile ezi-100 okoko wagqibelisa ukuzalisa itanki yakhe, kwaye bekufuneka afake iilitha ezi-4 zerhasi ukuze aphinde ayigcwalise kwakhona. Incwadi yomnini wemoto yakhe yokuqala ithi itanki yakhe ibamba iilitha ezi-12 zerhasi. Zingaphi iimayile anokuthi uSophia aziqhube ngetanki elinye lerhasi?\n'}]	88	88
UJim uchitha iiyure ezimbini ubekele umabonakude kwaye ke ugqiba ukuya ebhedini kwaye afunde isiqingatha eside. Wenza oku ka-3 ngeveki. Uchitha iiyure ezingaphi kumabonakude nasekufundeni kwiveki ezi-4?	48	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUJim uchitha iiyure ezimbini ubekele umabonakude kwaye ke ugqiba ukuya ebhedini kwaye afunde isiqingatha eside. Wenza oku ka-3 ngeveki. Uchitha iiyure ezingaphi kumabonakude nasekufundeni kwiveki ezi-4?\n'}]	2	2
Zine izikolo ezikhuphisanayo kwitumente yebhola yomnyazi. Isikolo ngasinye sithumele iqela lamantombazana ebhola yomnyazi kunye neqela lamakhwenkwe ebhola omnyazi kwaye iqela ngalinye linabadlali aba-5 ngalinye. Isikolo ngasinye sithumele umqeqeshi weqela ngalinye. Bebonke, bangaphi abantu abantu abathunyelwe zizikolo?	595	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nZine izikolo ezikhuphisanayo kwitumente yebhola yomnyazi. Isikolo ngasinye sithumele iqela lamantombazana ebhola yomnyazi kunye neqela lamakhwenkwe ebhola omnyazi kwaye iqela ngalinye linabadlali aba-5 ngalinye. Isikolo ngasinye sithumele umqeqeshi weqela ngalinye. Bebonke, bangaphi abantu abantu abathunyelwe zizikolo?\n'}]	30	30
Umzingeli wobuncwane wafumana ityesi yobuncwane esizaliswe ngamatye anqabileyo. Kwakukho iidayimani ezili-175, iirubhi/amatye angama-35 ambalwa kunedayimani, kwaye nenani eliphindwe kabini lee-emeraldi kuneerubhi. Mangaphi amatye anqabileyo ayesetyesini?	36	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUmzingeli wobuncwane wafumana ityesi yobuncwane esizaliswe ngamatye anqabileyo. Kwakukho iidayimani ezili-175, iirubhi/amatye angama-35 ambalwa kunedayimani, kwaye nenani eliphindwe kabini lee-emeraldi kuneerubhi. Mangaphi amatye anqabileyo ayesetyesini?\n'}]	140	140
Amantombazana aphindwe kabini kunamakhwenkwe kwisikolo sikaDr. Wertz. Ukuba amantombazana angama-60 kwaye nabafundi aba-5 kutitshala ngamnye, zingaphi iititshala eziphaya?	60	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nAmantombazana aphindwe kabini kunamakhwenkwe kwisikolo sikaDr. Wertz. Ukuba amantombazana angama-60 kwaye nabafundi aba-5 kutitshala ngamnye, zingaphi iititshala eziphaya?\n'}]	12	12
UBailey uqala ngesixa semali esithile. Emveni koko afumane isiboneli seveki se-$5 iiveki ezisi-8. Ekupheleni kweeveki ezisi-8, ukuba une-$100 iyonke, yimalini uBailey aqale ngayo?	7425	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUBailey uqala ngesixa semali esithile. Emveni koko afumane isiboneli seveki se-$5 iiveki ezisi-8. Ekupheleni kweeveki ezisi-8, ukuba une-$100 iyonke, yimalini uBailey aqale ngayo?\n'}]	$60	60
UJudy ufundisa iiklasi zomdaniso ezi-5, yonke imihla, ngeentsuku zeveki, kwaye iiklasi ezisi-8 ngoMgqibelo. Ukuba iklasi nganye inabafundi aba-15 kwaye uhlawulisa -$15.00 umfundi ngamnye, wenza malini ngeveki enye?	60	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUJudy ufundisa iiklasi zomdaniso ezi-5, yonke imihla, ngeentsuku zeveki, kwaye iiklasi ezisi-8 ngoMgqibelo. Ukuba iklasi nganye inabafundi aba-15 kwaye uhlawulisa -$15.00 umfundi ngamnye, wenza malini ngeveki enye?\n'}]	-225	225
UKelian unendlela ezimbini zokupheka ukulungiselela ukutya, enye inemiyalelo engama-20 kwaye eyesibini inemiyalelo ephindwe kabini kuneyokuqala. Mingaphi imiyalelo uKelian ekufanele ayifunde ukulungiselela izidlo ezibini?	221	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUKelian unendlela ezimbini zokupheka ukulungiselela ukutya, enye inemiyalelo engama-20 kwaye eyesibini inemiyalelo ephindwe kabini kuneyokuqala. Mingaphi imiyalelo uKelian ekufanele ayifunde ukulungiselela izidlo ezibini?\n'}]	40	40
UTommy uqokelela imali yesisa sakhe ngokuthengisa ii-brownies nge-$3 isilayi kunye neekeyi zamasi nge-$4 isilayi. Ukuba uTommy uthengisa ii-brownies ezingama-43 kunye nezilayi zekeyiki yamasi ezingama-23, uTommy unyuse malini?	255	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUTommy uqokelela imali yesisa sakhe ngokuthengisa ii-brownies nge-$3 isilayi kunye neekeyi zamasi nge-$4 isilayi. Ukuba uTommy uthengisa ii-brownies ezingama-43 kunye nezilayi zekeyiki yamasi ezingama-23, uTommy unyuse malini?\n'}]	$165	165
UShiela uthenge iminxeba emihlanu nge-$150 umnye ngentlawulo yeenyanga ezi-3. Inzala ye-2% yeyunithi nganye izakuhlawulwa. Uza kuhlawula malini uSheila inyanga nganye iinyanga ezi-3?	88	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUShiela uthenge iminxeba emihlanu nge-$150 umnye ngentlawulo yeenyanga ezi-3. Inzala ye-2% yeyunithi nganye izakuhlawulwa. Uza kuhlawula malini uSheila inyanga nganye iinyanga ezi-3?\n'}]	450	450
UArtie unendawo yokuthengisa iintyatyambo kwiMarike yaMafama. Uthengisa iintlobo ezintathu zeentyatyambo: ii-marigolds, petunia kunye nebegonias. Udla ngokuthengisa imarigolds nge-$2 imbiza nganye, ii-petunias nge-$1.87 imbiza nganye kunye ne-begonias nge-$2.12 imbiza nganye. UArtie akanatshintshi namhlanje, ngoko ke ugqibe sondezeni onke amaxabiso kwidola ekufutshane. Ukuba uArtie uthengisa imbiza ezili-12 zemarigolds, imbiza ezili-9 zepetunia kunye nezili-17 zebegonia, uza kwenza malini?	60	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUArtie unendawo yokuthengisa iintyatyambo kwiMarike yaMafama. Uthengisa iintlobo ezintathu zeentyatyambo: ii-marigolds, petunia kunye nebegonias. Udla ngokuthengisa imarigolds nge-$2 imbiza nganye, ii-petunias nge-$1.87 imbiza nganye kunye ne-begonias nge-$2.12 imbiza nganye. UArtie akanatshintshi namhlanje, ngoko ke ugqibe sondezeni onke amaxabiso kwidola ekufutshane. Ukuba uArtie uthengisa imbiza ezili-12 zemarigolds, imbiza ezili-9 zepetunia kunye nezili-17 zebegonia, uza kwenza malini?\n'}]	$57.44	57
ULuke uchitha ixesha elwandle esakha iinqaba zesanti. Ekugqibeleni uqaphela ukuba inqanaba ngalinye lenqaba yesanti liza kuba nesiqingatha somfanekiso wesikwere njengenqanaba elingaphantsi kwalo. Ukuba wenza inqaba yesanti enamanqanaba ama-4 apho umgangatho ophezulu unomfanekiso wesikwere we-16, ithini i-avareji yomfanekiso wesikwere senqanaba?	5	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nULuke uchitha ixesha elwandle esakha iinqaba zesanti. Ekugqibeleni uqaphela ukuba inqanaba ngalinye lenqaba yesanti liza kuba nesiqingatha somfanekiso wesikwere njengenqanaba elingaphantsi kwalo. Ukuba wenza inqaba yesanti enamanqanaba ama-4 apho umgangatho ophezulu unomfanekiso wesikwere we-16, ithini i-avareji yomfanekiso wesikwere senqanaba?\n'}]	64	64
UCecilia usanda kuthenga injana entsha. Ngokukagqirha wakhe wezilwanyana, kufuneka atyise injana ikomityi e-1 yokutya kwezinja yonke imihla kwintsuku zokuqala ezili-180. Emva koko kufuneka atyise injana iikomityi ezi-2 zokutya kwezinja yonke imihla ubomi bayo bonke. Ukuba ingxowa enye yokutya kwezinja iqulethe iikomityi ezili-110, zingaphi iingxowa zokutya kwezinja uCecilia aza kuzisebenzisa kunyaka wokuqala?	100	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUCecilia usanda kuthenga injana entsha. Ngokukagqirha wakhe wezilwanyana, kufuneka atyise injana ikomityi e-1 yokutya kwezinja yonke imihla kwintsuku zokuqala ezili-180. Emva koko kufuneka atyise injana iikomityi ezi-2 zokutya kwezinja yonke imihla ubomi bayo bonke. Ukuba ingxowa enye yokutya kwezinja iqulethe iikomityi ezili-110, zingaphi iingxowa zokutya kwezinja uCecilia aza kuzisebenzisa kunyaka wokuqala?\n'}]	70	70
Ukuba uRaymond uhlamba isiqanga sempahla eninzi njengoSarah, kwaye uSarah ahlambe impahla ephindwe ka-4 njengoDavid, bala umahluko kwisixa sempahla esenziwa nguRaymond noDavid ukuba uSarah wenza iiphawundi ezingama-400 zokuhlamba impahla.	6	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUkuba uRaymond uhlamba isiqanga sempahla eninzi njengoSarah, kwaye uSarah ahlambe impahla ephindwe ka-4 njengoDavid, bala umahluko kwisixa sempahla esenziwa nguRaymond noDavid ukuba uSarah wenza iiphawundi ezingama-400 zokuhlamba impahla.\n'}]	396	396
